N	4gram	Losev_Dial	Freidism
1	в то же время	3	6
2	ни в чем не	1	4
3	одной и той же	4	3
4	но в то же	1	3
5	не чем иным как	1	2
6	заключается в том что	1	2
7	и пр и пр	1	2
8	и тем не менее	2	2
9	бы то ни было	1	2
10	на самом же деле	1	2
11	ни в каком случае	2	2
12	– это и есть	1	2
13	что в данном случае	1	1
14	и т д таким	1	1
15	нет ничего удивительного в	1	1
16	конечно с точки зрения	1	1
17	или по крайней мере	4	1
18	ни в коем случае	4	1
19	уже не может быть	1	1
20	и в вопросе о	1	1
21	это как мы уже	1	1
22	во что бы то	1	1
23	что с точки зрения	2	1
24	как мы уже сказали	1	1
25	бы то ни стало	1	1
26	мы имеем в виду	1	1
27	коем случае не может	1	1
28	– только одно из	1	1
29	т д таким образом	1	1
30	ничего что давало бы	1	1
31	одно и то же	2	1
32	не приходится принимать во	1	1
33	в коем случае не	4	1
34	что это вовсе не	1	1
35	ничего общего не имеет	1	1
36	и сама она есть	1	1
37	ничего удивительного в том	1	1
38	в данном случае в	1	1
39	в том что в	1	1
40	в самом деле что	2	1
41	удивительного в том что	1	1
42	в каком случае нельзя	1	1
43	приходится принимать во внимание	1	1
44	все это учение о	1	1
45	и пр – все	1	1
46	что бы то ни	1	1
47	не что иное как	6	1
48	и в то же	2	1
49	с научной точки зрения	2	1
50	и только он один	1	1
51	в самом деле если	1	1
52	есть не что иное	3	1
