N	2gram	Tiupa_Lite	KFilosof
1	может быть	24	45
2	в его	9	42
3	в нем	4	32
4	не может	10	29
5	и не	19	28
6	и в	26	28
7	в бытии	1	26
8	по отношению	6	26
9	в котором	1	24
10	не есть	2	22
11	отношению к	4	22
12	в себе	8	21
13	только в	8	18
14	и его	7	18
15	в своем	12	17
16	в ее	1	17
17	а не	28	17
18	в этом	19	15
19	для него	6	13
20	не в	11	13
21	точки зрения	8	13
22	к нему	1	12
23	мир в	5	12
24	и единственного	1	12
25	но не	8	12
26	в своей	5	11
27	все эти	2	11
28	во всех	4	11
29	в единственном	2	10
30	это не	4	10
31	с точки	4	10
32	и есть	3	10
33	бытия и	1	10
34	от себя	2	10
35	и для	1	10
36	в целом	10	10
37	в их	3	9
38	и все	1	9
39	единого и	1	9
40	но и	25	9
41	как бы	8	9
42	для нее	2	9
43	не было	5	8
44	если бы	1	8
45	в мире	9	8
46	со стороны	6	8
47	было бы	4	8
48	лишь в	4	8
49	в себя	5	8
50	смертного человека	1	8
51	жизни и	6	8
52	себя в	7	8
53	во всем	1	7
54	и здесь	1	7
55	со мной	2	7
56	что и	3	7
57	должен быть	2	7
58	вовсе не	3	7
59	уже не	9	7
60	совершенно не	1	7
61	то что	14	7
62	на основе	2	7
63	но лишь	4	7
64	для себя	6	7
65	и только	4	7
66	отнюдь не	4	7
67	ее и	1	6
68	должно быть	1	6
69	но все	1	6
70	в моем	1	6
71	я не	8	6
72	не имеет	2	6
73	и я	7	6
74	ко мне	1	6
75	в том	22	6
76	отношение к	1	6
77	жизнь как	1	6
78	действительного мира	2	6
79	он не	4	6
80	но это	2	6
81	мира в	4	6
82	проникает в	1	5
83	от его	1	5
84	со всем	1	5
85	со своего	1	5
86	то же	13	5
87	ко всему	4	5
88	мы имеем	2	5
89	не только	29	5
90	с ним	2	5
91	но как	3	5
92	в ценностном	1	5
93	его в	4	5
94	не знает	3	5
95	в основе	5	5
96	есть лишь	2	5
97	но в	5	5
98	именно в	1	5
99	бы быть	1	5
100	как и	13	5
101	все же	6	5
102	жизни в	5	5
103	себя и	3	5
104	еще не	4	5
105	бытия как	1	5
106	что я	4	5
107	хотя бы	3	5
108	в одном	2	5
