N	2gram	Bakhtin_Pr	Vladivir
1	и в	83	116
2	то что	14	71
3	и не	41	67
4	в году	2	65
5	у него	5	65
6	не только	14	65
7	в этом	24	53
8	в том	22	52
9	том что	9	51
10	что в	5	48
11	но и	16	47
12	в конце	5	41
13	в его	15	40
14	и с	10	39
15	то есть	86	37
16	и даже	5	36
17	сказать что	12	36
18	также и	5	36
19	учение о	1	35
20	так что	1	35
21	потому что	9	33
22	что он	6	32
23	еще и	4	32
24	не может	18	31
25	о том	3	30
26	только в	10	30
27	как мы	12	29
28	никогда не	10	29
29	для него	1	29
30	вовсе не	12	27
31	а в	4	27
32	не было	5	26
33	в себе	10	25
34	но в	12	25
35	в то	8	25
36	и то	2	25
37	и его	13	25
38	а также	4	24
39	даже и	3	24
40	точки зрения	17	23
41	он не	5	23
42	может быть	23	23
43	кроме того	6	22
44	он был	1	22
45	ни в	4	22
46	так как	12	22
47	об этом	3	22
48	в своей	5	21
49	вместе с	5	21
50	и что	3	20
51	в своем	2	20
52	прежде всего	20	20
53	не менее	4	19
54	в дальнейшем	8	19
55	и вообще	3	19
56	как раз	6	19
57	тем не	2	19
58	таким образом	9	19
59	в те	1	19
60	так и	9	19
61	и потому	6	19
62	как и	13	18
63	не в	10	18
64	не был	3	18
65	хотя и	10	18
66	как это	2	18
67	с его	4	18
68	в письме	1	17
69	то это	4	17
70	что и	4	17
71	в этой	3	17
72	и если	4	17
73	а не	19	17
74	у нас	2	17
75	все же	3	16
76	уже не	5	16
77	к тому	2	16
78	не есть	1	16
79	и все	14	16
80	было бы	6	16
81	того что	1	16
82	в котором	8	16
83	и к	13	15
84	то же	10	15
85	в своих	4	15
86	к этому	5	15
87	несмотря на	3	15
88	в связи	2	15
89	письме к	1	15
90	иной раз	1	15
91	разного рода	1	15
92	до конца	3	15
93	но это	7	15
94	это было	3	15
95	того же	5	14
96	все эти	9	14
97	раз и	2	14
98	тут же	1	14
99	его жизни	2	14
100	мы уже	9	14
101	и на	27	14
102	уже в	3	14
103	и как	1	14
104	во всем	5	13
105	в результате	2	13
106	можно сказать	12	13
107	так же	4	13
108	не просто	1	13
109	на этот	1	13
110	и от	4	13
111	что это	2	13
112	да и	3	13
113	дело в	3	13
114	жизни и	13	13
115	по себе	3	12
116	только на	3	12
117	и это	3	12
118	и у	8	12
119	и по	5	12
120	в нем	21	12
121	то в	1	12
122	всяком случае	1	12
123	ничего не	8	12
124	во всяком	2	12
125	связи с	1	12
126	при этом	6	11
127	него в	1	11
128	более или	3	11
129	всякого рода	3	11
130	в данном	1	11
131	хотя бы	6	11
132	тому же	3	11
133	в которой	2	11
134	я не	6	11
135	на то	2	11
136	он уже	1	11
137	и здесь	4	11
138	в основном	1	11
139	в отношении	3	11
140	еще в	1	11
141	все это	11	11
142	или менее	3	11
143	мы должны	4	11
144	и о	3	11
145	конце концов	1	11
146	в самом	7	10
147	даже в	3	10
148	вот что	2	10
149	что все	3	10
150	с точки	13	10
151	в качестве	1	10
152	можно было	2	10
153	что для	1	10
154	к нему	3	10
155	с ним	3	10
156	в россии	1	10
157	еще не	10	10
158	которую он	3	10
