N	3gram	Losev_Prob	Freidism
1	с точки зрения	13	15
2	не может быть	2	14
3	по отношению к	2	11
4	в самом деле	1	10
5	в том что	13	9
6	как мы видели	1	8
7	во всяком случае	6	8
8	и прежде всего	2	7
9	в то же	2	6
10	то же время	1	6
11	в большинстве случаев	1	5
12	с самого начала	3	5
13	можно сказать что	4	5
14	как мы уже	1	5
15	в свою очередь	2	4
16	это вовсе не	1	4
17	тем не менее	8	4
18	сам по себе	3	4
19	на самом деле	2	4
20	из тех же	1	4
21	в данном случае	5	4
22	в чем не	2	4
23	в таком случае	2	4
24	в этом отношении	4	4
25	ни в чем	2	4
26	ничего общего не	1	3
27	для того чтобы	3	3
28	о том что	14	3
29	до сих пор	3	3
30	не в его	1	3
31	далеко не всегда	3	3
32	бы то ни	4	3
33	и притом в	1	3
34	так и в	1	3
35	но в то	2	3
36	а вовсе не	1	3
37	не в силах	3	3
38	и тем не	1	2
39	ни о каком	1	2
40	ни в каком	1	2
41	равно как и	2	2
42	может быть это	1	2
43	в этом смысле	4	2
44	заключается в том	1	2
45	то или иное	1	2
46	ни в какой	4	2
47	вовсе не в	1	2
48	в конце концов	7	2
49	а с другой	3	2
50	в какой степени	1	2
51	мы могли бы	1	2
52	и ни в	2	2
53	по своему содержанию	1	2
54	не чем иным	3	2
55	чем иным как	3	2
56	у нас в	1	2
57	объективной точки зрения	1	2
58	жизни человека и	1	2
59	том что он	3	2
60	то ни было	2	2
61	то обстоятельство что	1	2
62	в таком виде	1	2
63	к тому что	1	2
64	это и есть	2	2
65	с одной стороны	5	2
66	во всех областях	1	2
67	как раз и	1	2
68	а также и	3	2
69	то же самое	2	2
70	и т д	1	1
71	все это является	1	1
72	даже тогда когда	1	1
73	относится с пренебрежением	1	1
74	а может быть	2	1
75	могут быть и	1	1
76	но тем не	1	1
77	еще на одну	1	1
78	того или иного	2	1
79	как будто бы	3	1
80	той или иной	4	1
81	всякий художественный образ	1	1
82	по аналогии с	1	1
83	который как мы	1	1
84	еще задолго до	1	1
85	и только в	1	1
86	то за что	1	1
87	и у русских	1	1
88	но и в	2	1
89	от того что	1	1
90	только в период	1	1
91	по крайней мере	8	1
92	то что это	1	1
93	мы имеем у	1	1
94	так и с	1	1
95	того что мы	1	1
96	что бы то	1	1
97	имеется в виду	1	1
98	за то за	1	1
99	может быть даже	1	1
100	отождествить себя с	1	1
101	и едва ли	1	1
102	не теряет своей	1	1
103	ни в каких	3	1
104	одной из своих	1	1
105	в жизни и	1	1
106	жизни таким образом	1	1
107	в том же	1	1
108	и дать ему	1	1
109	в коем случае	3	1
110	к выводу что	1	1
111	и не было	1	1
112	а именно что	1	1
113	жизни каждого человека	1	1
114	и об его	1	1
115	что в данном	2	1
116	с ним в	2	1
117	во что бы	1	1
118	в то время	4	1
119	только в таком	2	1
120	же время это	1	1
121	но даже и	4	1
122	там где нет	1	1
123	зависит от того	1	1
124	друг на друга	1	1
125	все же не	3	1
126	никогда не говорил	1	1
127	хотя и не	3	1
128	но не только	1	1
129	жизни и в	2	1
130	в одной из	1	1
131	в себе самом	1	1
132	не говорил о	1	1
133	каких бы то	1	1
134	ничего общего с	2	1
135	не что иное	3	1
136	начала до конца	2	1
137	то же что	1	1
138	вовсе не есть	2	1
139	теперь уже не	1	1
140	дело в том	4	1
141	в такой же	1	1
142	как и все	1	1
143	а есть только	1	1
144	ни в коем	3	1
145	или по крайней	1	1
146	и в дальнейшем	1	1
147	имея в виду	1	1
148	бросается в глаза	2	1
149	для искусства в	2	1
150	уже и в	1	1
151	смысле слова и	1	1
152	только потому что	1	1
153	это уже не	2	1
154	и таким образом	1	1
155	мы все время	1	1
156	но вместо этого	1	1
157	так и его	1	1
158	том что в	1	1
159	потому что оно	2	1
160	и никогда не	2	1
161	точки зрения в	1	1
162	какой степени не	1	1
163	и сама личность	1	1
164	она основана на	1	1
165	приходит в голову	1	1
166	он теперь уже	1	1
167	не только не	1	1
168	только он один	1	1
169	именно в области	1	1
170	но именно в	1	1
171	является для него	2	1
172	всяком случае не	1	1
173	надо было бы	1	1
174	были в ходу	1	1
175	жизни в ее	1	1
176	мы считаем излишним	1	1
177	в своем месте	1	1
178	том что даже	1	1
179	в борьбу с	1	1
180	на первый взгляд	1	1
181	общем можно сказать	1	1
182	и все прочие	1	1
183	и все же	1	1
184	можно сказать о	1	1
185	в наше время	1	1
186	в общем можно	1	1
187	такой точки зрения	1	1
188	все в нем	1	1
189	что иное как	3	1
190	а именно об	1	1
191	все же остается	1	1
192	что это не	1	1
193	но все же	2	1
194	и что он	1	1
195	мировой гармонии в	1	1
196	мы находим в	3	1
197	с большим трудом	1	1
198	едва ли не	1	1
199	в нем и	2	1
200	мы не будем	3	1
201	приходит к выводу	1	1
202	между тем как	1	1
203	жизни мы не	1	1
204	в своей знаменитой	1	1
205	общего не имеет	1	1
206	является одним из	1	1
207	что этот мотив	1	1
208	не то что	1	1
209	но никогда не	1	1
210	потому что самый	1	1
211	что он и	2	1
212	но так как	1	1
213	можно было бы	2	1
214	характерно именно для	1	1
215	коем случае не	1	1
216	если мы будем	1	1
217	в настоящее время	7	1
218	то ни стало	1	1
