N	3gram	Kanaev_Sov	VeschiIm
1	это значит что	1	25
2	не может быть	4	24
3	бы то ни	1	12
4	не что иное	1	12
5	то ни было	1	12
6	что иное как	1	12
7	тем не менее	2	11
8	по крайней мере	1	10
9	в том что	1	9
10	есть не что	1	8
11	в самом деле	1	7
12	с точки зрения	5	6
13	может быть только	1	6
14	в свою очередь	2	5
15	в то же	1	5
16	равно как и	1	4
17	в себе в	1	4
18	что в ней	1	4
19	значит что она	1	4
20	дело в том	1	4
21	то же время	1	4
22	мы видели что	3	3
23	сами по себе	1	3
24	она не может	1	3
25	мы не можем	6	3
26	можно было бы	1	3
27	и в то	1	3
28	и есть не	1	3
29	не может не	3	3
30	с одной стороны	1	3
31	в данной области	1	2
32	так же как	1	2
33	мы видим что	1	2
34	в данном случае	1	2
35	в свое время	1	2
36	в этом смысле	1	2
37	и что она	1	2
38	и есть то	1	2
39	друг с другом	2	2
40	и для ее	1	2
41	принципиально не может	1	2
42	в связи с	1	2
43	но все же	1	2
44	во всяком случае	2	2
45	и в этом	1	2
46	а не только	1	2
47	ни о каком	1	2
48	что необходимо для	1	1
49	и эта сторона	1	1
50	как и во	1	1
51	одной стороны и	1	1
52	и у нас	1	1
53	их в системе	1	1
54	и прежде всего	1	1
55	в деталях и	1	1
56	можем ли мы	1	1
57	только одна из	1	1
58	и может быть	1	1
59	к одному и	1	1
60	как и вся	1	1
61	в и в	1	1
62	один и тот	1	1
63	самый вопрос о	2	1
64	возможность и для	1	1
65	какой бы то	1	1
66	теория таким образом	1	1
67	в результате мы	1	1
68	и во всех	1	1
69	и не было	1	1
70	на этой стадии	1	1
71	и пр но	1	1
72	когда мы говорим	1	1
73	она и не	1	1
74	и тот же	1	1
75	не в том	1	1
76	принципиально не могут	1	1
77	же это не	1	1
78	они принципиально не	1	1
79	не было бы	1	1
80	до сих пор	1	1
81	такие-то и такие-то	1	1
82	может не быть	1	1
83	у нас есть	1	1
84	и еще более	1	1
85	и во всей	1	1
86	мы не знаем	1	1
87	и ничего не	1	1
88	как мы видим	1	1
89	быть и речи	1	1
90	то ни другое	1	1
91	в живом организме	1	1
92	в этом случае	1	1
93	по самому своему	1	1
94	все же это	1	1
95	в зависимости от	4	1
96	ни то ни	1	1
97	в новое время	1	1
98	то же самое	2	1
99	и все же	1	1
100	мы без труда	1	1
101	хотя и эта	1	1
102	в одном случае	1	1
103	точки зрения и	1	1
104	по его мнению	1	1
105	оно может быть	1	1
106	тот или иной	1	1
107	те или иные	1	1
108	и не может	1	1
109	может быть и	2	1
