N	2gram	Tiupa_Teor	Vladivir
1	и в	24	116
2	то что	6	71
3	и не	17	67
4	в году	2	65
5	у него	2	65
6	не только	24	65
7	в этом	12	53
8	в том	20	52
9	том что	11	51
10	что в	10	48
11	но и	14	47
12	в конце	2	41
13	в его	12	40
14	то есть	22	37
15	и даже	2	36
16	сказать что	4	36
17	также и	1	36
18	так что	1	35
19	потому что	3	33
20	что он	4	32
21	еще и	2	32
22	не может	8	31
23	о том	2	30
24	только в	9	30
25	как мы	1	29
26	никогда не	4	29
27	для него	5	29
28	вовсе не	3	27
29	а в	15	27
30	не было	1	26
31	в себе	14	25
32	но в	12	25
33	в то	9	25
34	и то	3	25
35	и его	11	25
36	а также	7	24
37	точки зрения	11	23
38	между прочим	1	23
39	он не	5	23
40	может быть	22	23
41	ни в	5	22
42	так как	1	22
43	об этом	2	22
44	в своей	8	21
45	вместе с	2	21
46	а именно	3	20
47	и что	4	20
48	в своем	7	20
49	для нас	1	20
50	прежде всего	3	20
51	не менее	6	19
52	по поводу	1	19
53	как раз	3	19
54	тем не	3	19
55	таким образом	3	19
56	так и	14	19
57	и потому	3	19
58	как и	6	18
59	не в	9	18
60	хотя и	4	18
61	как это	10	18
62	с его	6	18
63	что и	2	17
64	в этой	3	17
65	едва ли	1	17
66	а не	14	17
67	у нас	2	17
68	все же	1	16
69	уже не	6	16
70	к тому	4	16
71	не есть	1	16
72	совсем не	1	16
73	для себя	3	16
74	было бы	1	16
75	того что	5	16
76	в котором	1	16
77	и к	3	15
78	то же	12	15
79	в своих	1	15
80	несмотря на	2	15
81	в связи	3	15
82	иной раз	1	15
83	разного рода	1	15
84	до конца	1	15
85	это было	2	15
86	того же	4	14
87	все эти	3	14
88	раз и	1	14
89	его жизни	1	14
90	и на	2	14
91	и как	3	14
92	в результате	1	13
93	с тем	1	13
94	можно сказать	5	13
95	так же	2	13
96	не просто	2	13
97	и от	1	13
98	что это	1	13
99	то время	1	13
100	да и	1	13
101	дело в	2	13
102	жизни и	1	13
103	по себе	2	12
104	только на	2	12
105	некоторого рода	1	12
106	и это	2	12
107	и по	3	12
108	в нем	7	12
109	то в	2	12
110	содержит в	1	12
111	если не	1	12
112	связи с	3	12
113	при этом	20	11
114	более или	6	11
115	в данном	9	11
116	тому же	1	11
117	в которой	3	11
118	я не	2	11
119	на то	1	11
120	он уже	1	11
121	и здесь	2	11
122	никак не	1	11
123	в отношении	4	11
124	все это	2	11
125	или менее	6	11
126	и о	5	11
127	в самом	7	10
128	даже в	3	10
129	что все	1	10
130	такого рода	13	10
131	с точки	3	10
132	в качестве	33	10
133	что его	1	10
134	можно было	1	10
135	что для	1	10
136	отнюдь не	3	10
137	к нему	2	10
138	с ним	1	10
139	еще не	6	10
140	собственно говоря	2	10
141	в истории	1	10
142	здесь не	2	10
143	он и	2	10
144	но не	13	10
145	о чем	3	9
146	и сам	4	9
147	именно в	3	9
