N	4gram	Losev_Prob	Myslijsy
1	одного и того же	1	9
2	только в том что	1	8
3	одной и той же	1	7
4	одно и то же	3	7
5	один и тот же	1	4
6	в то время как	6	4
7	или по крайней мере	6	4
8	в том смысле что	4	4
9	не что иное как	6	4
10	все более и более	1	4
11	дело в том что	3	4
12	одним и тем же	1	4
13	в том что он	1	3
14	заключается в том что	4	3
15	и то и другое	1	3
16	и в таком случае	1	3
17	с этой точки зрения	1	3
18	и в этом случае	3	3
19	с одной стороны и	1	3
20	тем не менее в	3	3
21	и как бы ни	1	2
22	во всяком случае не	2	2
23	может быть не только	1	2
24	то же самое нужно	1	2
25	мы в то же	2	2
26	по себе еще не	1	2
27	то есть то что	1	2
28	но с другой стороны	2	2
29	бы то ни было	4	2
30	само по себе не	1	1
31	то это было бы	1	1
32	самое нужно сказать и	1	1
33	сам по себе или	1	1
34	до того что не	1	1
35	друг к другу и	1	1
36	здесь не только в	1	1
37	значение сама по себе	1	1
38	то есть не в	1	1
39	в том что и	1	1
40	по крайней мере для	2	1
41	и т д в	1	1
42	с тем что мы	1	1
43	же в таком случае	2	1
44	сам по себе еще	1	1
45	же самое нужно сказать	1	1
46	по себе а как	1	1
47	что бы то ни	1	1
48	само по себе может	1	1
49	как мы видели выше	1	1
50	но это не значит	1	1
51	здесь только в том	1	1
52	по самой своей природе	1	1
53	как и в других	1	1
54	только о том что	1	1
55	хотя бы и очень	1	1
56	с другой стороны и	1	1
57	этот вопрос мы не	1	1
58	во что бы то	1	1
59	имеет ничего общего с	1	1
60	только в очень редких	1	1
61	тем не менее и	1	1
62	и т д можно	1	1
63	дело вовсе не в	1	1
64	еще и потому что	1	1
65	не может обойтись без	2	1
66	здесь мы имеем дело	1	1
67	можно было бы сказать	1	1
68	в очень редких случаях	1	1
69	когда мы говорим что	1	1
70	бы то ни стало	1	1
71	точно так же и	1	1
72	именно потому что он	1	1
73	здесь как и в	1	1
74	тем не менее он	1	1
75	есть то что мы	1	1
76	как бы она ни	2	1
77	себе отчет в том	2	1
78	здесь дело не в	1	1
79	будет сказать несколько слов	1	1
80	потому что оно есть	1	1
81	в том числе и	1	1
82	бы она ни была	2	1
83	мы до сих пор	1	1
84	сказать что и в	1	1
85	отчет в том что	2	1
86	и т д и	5	1
87	не имеет ничего общего	3	1
88	хотя бы даже и	1	1
89	в том что этот	1	1
90	нужно сказать и о	1	1
91	а в том числе	1	1
92	указывает нам на то	1	1
93	здесь мы могли бы	1	1
94	так же как и	3	1
95	даже и в таком	1	1
96	искусство имеет своим предметом	1	1
97	д и т д	5	1
98	есть не что иное	6	1
