N	4gram	Losev_Prob	Freidism
1	в то же время	1	6
2	ни в чем не	2	4
3	но в то же	2	3
4	не чем иным как	3	2
5	в том что он	2	2
6	и тем не менее	1	2
7	бы то ни было	2	2
8	ни в какой степени	1	2
9	что в данном случае	1	1
10	но тем не менее	1	1
11	или по крайней мере	1	1
12	приходит к выводу что	1	1
13	ни в коем случае	3	1
14	во что бы то	1	1
15	бы то ни стало	1	1
16	и ни в чем	1	1
17	и только в таком	1	1
18	в жизни и в	1	1
19	каких бы то ни	1	1
20	в коем случае не	1	1
21	дело в том что	4	1
22	ничего общего не имеет	1	1
23	только в таком виде	1	1
24	о том что даже	1	1
25	в том что в	1	1
26	то же время это	1	1
27	в одной из своих	1	1
28	в общем можно сказать	1	1
29	что бы то ни	1	1
30	за то за что	1	1
31	не что иное как	3	1
32	общем можно сказать что	1	1
33	во всяком случае не	1	1
34	в какой степени не	1	1
35	никогда не говорил о	1	1
