N	3gram	Voloshinov	TeoriaLi
1	в том что	1	10
2	по отношению к	2	10
3	в то же	9	8
4	то же время	7	8
5	того или иного	5	6
6	в конечном счете	1	6
7	с другой стороны	1	6
8	более или менее	1	6
9	не может быть	2	5
10	для того чтобы	7	5
11	одного и того	1	4
12	и того же	1	4
13	в свою очередь	4	3
14	той или иной	4	3
15	с точки зрения	5	3
16	тем не менее	1	3
17	можно сказать что	2	3
18	тех или иных	3	3
19	мы имеем в	1	3
20	несет в себе	1	3
21	в связи с	2	3
22	тот или иной	2	3
23	в нашем случае	1	2
24	в русской литературе	1	2
25	по большей части	1	2
26	как и в	1	2
27	в самом деле	2	2
28	и то же	5	2
29	внутренней и внешней	3	2
30	одно и то	5	2
31	но в то	2	2
32	и тем самым	3	2
33	и в то	2	2
34	не только не	1	2
35	не в самом	1	2
36	к тому что	2	2
37	ту или иную	4	2
38	в значительной степени	2	2
39	и в жизни	1	1
40	в том и	1	1
41	не что иное	2	1
42	в одном и	1	1
43	все то что	2	1
44	есть в зависимости	1	1
45	в иной ситуации	1	1
46	и том же	2	1
47	иметь в виду	1	1
48	и тем же	2	1
49	является как бы	1	1
50	человека с человеком	1	1
51	вследствие того что	1	1
52	ни к чему	2	1
53	к чему не	2	1
54	больше и больше	2	1
55	в большинстве случаев	1	1
56	по крайней мере	1	1
57	о том что	2	1
58	то или иное	4	1
59	заключает в себе	4	1
60	во внутренней речи	3	1
61	в себе и	1	1
62	как бы в	3	1
63	он не будет	1	1
64	перед тем как	1	1
65	здесь как бы	1	1
66	не является ни	1	1
67	и тем более	1	1
68	и здесь остается	1	1
69	связи с этим	2	1
70	на вопрос о	1	1
71	при этом не	1	1
72	и как бы	2	1
73	перед нами не	1	1
74	несмотря на свою	1	1
75	как это ни	1	1
76	именно потому что	1	1
77	и здесь мы	1	1
78	одним и тем	1	1
79	содержит в себе	1	1
80	в зависимости от	7	1
81	и процесс их	1	1
82	по ту сторону	1	1
83	в этом случае	3	1
84	своей жизни как	1	1
85	сознания при этом	1	1
86	и по отношению	1	1
87	не только на	1	1
88	есть не что	2	1
89	в своей жизни	1	1
90	заключать в себе	1	1
91	между внутренней и	2	1
92	на первый взгляд	2	1
93	же время эти	1	1
94	в хх веке	1	1
95	то же самое	4	1
96	высказывание как это	1	1
97	между тем в	1	1
98	что представляет собой	1	1
99	та или иная	1	1
100	что иное как	2	1
101	форма внутренней речи	1	1
102	к языку в	1	1
103	точки зрения и	1	1
104	одном и том	2	1
105	в виду что	1	1
106	что несмотря на	1	1
