N	2gram	Losev_Vesc	KulturaY
1	и т	37	143
2	т е	79	102
3	и в	44	84
4	в том	15	74
5	потому что	25	68
6	не только	48	60
7	точки зрения	10	59
8	в этом	17	57
9	было бы	24	53
10	и не	57	52
11	может быть	37	47
12	что в	11	44
13	том что	13	44
14	того чтобы	4	44
15	т д	36	42
16	в самом	13	41
17	для того	3	41
18	у нас	9	38
19	хотя бы	9	37
20	самом деле	7	37
21	так как	17	36
22	с точки	6	36
23	таким образом	16	33
24	а не	34	33
25	если бы	8	32
26	можно было	6	32
27	не в	14	30
28	и пр	10	30
29	в его	5	30
30	прежде всего	17	30
31	все же	18	29
32	не менее	11	28
33	того что	16	28
34	все эти	5	28
35	уже не	15	26
36	в языке	1	26
37	в силу	4	26
38	то что	47	25
39	вовсе не	11	25
40	не может	44	25
41	вопрос о	6	24
42	с другой	8	24
43	еще не	12	24
44	то же	12	23
45	только в	23	23
46	так и	4	23
47	языка в	1	22
48	тем не	11	21
49	по себе	22	20
50	во всяком	4	20
51	и что	22	20
52	но и	19	20
53	тем что	7	19
54	о том	11	19
55	обстоятельство что	1	19
56	что он	7	19
57	зависимости от	1	19
58	что же	17	19
59	всяком случае	2	19
60	но в	8	19
61	то обстоятельство	1	19
62	и с	11	18
63	с тем	8	18
64	к тому	3	18
65	в сущности	7	18
66	в качестве	4	18
67	связи с	1	18
68	вместе с	4	18
69	как бы	19	18
70	все это	7	18
71	в той	6	17
72	можно говорить	2	17
73	другой стороны	3	17
74	как это	4	17
75	что это	18	17
76	слова и	7	17
77	как раз	16	17
78	это не	9	17
79	в виду	2	16
80	в зависимости	1	16
81	что и	11	16
82	что не	11	16
83	тот же	4	16
84	ничего не	12	16
85	но не	9	16
86	при этом	1	15
87	именно в	2	15
88	в данном	6	15
89	том чтобы	2	15
90	не было	4	15
91	и тем	7	15
92	один из	5	15
93	ни к	3	15
94	только потому	1	15
95	а в	6	15
96	лишь в	1	15
97	должно быть	8	15
98	в них	1	14
99	и на	2	14
100	сказать что	21	14
101	хотя и	5	14
102	что такое	20	14
103	в связи	1	14
104	я не	7	14
105	сих пор	1	14
106	в ней	14	14
107	до сих	1	14
108	если мы	12	14
109	как мы	6	14
110	мы имеем	8	14
111	также и	9	14
112	что она	23	13
113	к языку	1	13
114	крайней мере	10	13
115	между прочим	4	13
116	в этой	4	13
117	не случайно	2	13
118	не могут	1	13
119	в которых	1	13
120	по крайней	10	13
121	той же	2	13
122	для нас	2	13
123	это и	12	13
124	по существу	3	13
125	в пределах	1	13
126	и его	4	13
127	с этой	6	12
128	говорить о	9	12
129	в результате	9	12
130	язык есть	2	12
131	но также	1	12
132	того же	5	12
133	ясно что	10	12
134	а только	3	12
135	вопроса о	3	12
136	этот вопрос	6	12
137	могут быть	1	12
138	тогда когда	5	12
139	как в	3	12
140	этого слова	1	12
141	однако не	4	12
142	для этого	5	12
143	должен быть	5	11
144	языка как	2	11
145	в своем	9	11
146	на себе	5	11
147	он не	4	11
148	в нем	6	11
149	и здесь	5	11
150	должна быть	8	11
151	и то	14	11
152	еще и	11	11
153	совершенно не	11	11
154	из этих	1	11
155	и если	5	11
156	этом отношении	2	11
157	уже в	2	11
158	слова в	2	11
159	в их	4	11
160	в какой	1	11
161	или иной	1	11
162	в особенности	3	10
163	в первом	2	10
164	как и	15	10
165	речь идет	1	10
166	так же	4	10
167	конечно не	2	10
168	к этому	2	10
169	несмотря на	6	10
