N	3gram	Berdyaev_O	Myshleni
1	в том что	1	133
2	для того чтобы	3	78
3	по сравнению с	1	45
4	друг с другом	1	35
5	в этом отношении	1	30
6	на то что	1	25
7	о том что	1	25
8	не может быть	2	23
9	смысле этого слова	1	22
10	в самом деле	1	19
11	во всяком случае	1	18
12	и то что	1	15
13	в другом месте	1	13
14	том что в	1	11
15	то что в	1	10
16	от того что	1	10
17	в самом начале	1	10
18	вместо того чтобы	1	10
19	как и в	1	9
20	с тем что	2	9
21	само по себе	1	9
22	друг к другу	1	9
23	сам по себе	1	8
24	не могут быть	2	8
25	о том как	1	7
26	в этот период	1	6
27	заключает в себе	1	6
28	потому что в	1	6
29	и не может	1	6
30	того чтобы сделать	1	5
31	прежде всего в	1	5
32	и в этом	2	5
33	между этими двумя	1	5
34	но и в	2	4
35	как и все	2	4
36	потому что у	1	4
37	в силу чего	1	4
38	после того как	1	4
39	это было бы	2	3
40	в совершенно ином	1	3
41	и в самом	1	3
42	до самого конца	2	2
43	это вопрос о	1	2
44	в самой природе	1	2
45	но он еще	1	2
46	как это часто	1	2
47	сказать что они	2	2
48	и все же	1	2
49	как бы в	1	2
50	он еще не	1	2
51	что у него	2	2
52	в том случае	1	2
53	в силе и	1	2
54	там и здесь	1	2
55	и никогда не	2	2
56	и в его	1	2
57	том случае если	1	2
58	и вопрос о	1	2
59	глубоко отличается от	1	1
60	этой и в	1	1
61	есть не только	1	1
62	с вопросом о	1	1
63	но вопрос о	1	1
64	у него в	5	1
65	бы и не	1	1
66	это подтверждается всем	1	1
67	с той стороны	1	1
68	а не только	1	1
69	но никогда не	1	1
70	хотя бы самый	1	1
71	он попал в	1	1
72	он указывает на	1	1
73	в этих словах	1	1
74	ни у кого	2	1
75	еще не овладел	1	1
76	все та же	1	1
77	в виду не	1	1
78	исключительно со стороны	1	1
79	ничего не хочет	1	1
80	ничто не может	1	1
81	у кого не	1	1
82	видеть в том	1	1
83	не есть просто	1	1
84	то что говорит	1	1
85	стоящего над ними	1	1
86	он должен был	1	1
87	он никогда не	1	1
88	и характер его	1	1
89	и не быть	1	1
90	бы он ни	1	1
91	в противоречии с	1	1
92	но еще более	1	1
93	говорят о том	1	1
94	нет у него	1	1
95	что он был	1	1
96	не в том	1	1
97	в строгом смысле	1	1
98	к чему бы	1	1
99	отношение человека к	1	1
100	как например в	1	1
101	хотя бы даже	1	1
102	а не в	2	1
103	не в силах	1	1
104	это потому что	1	1
105	и заключается в	1	1
106	и в том	1	1
107	не может привести	1	1
108	открылся совершенно новый	1	1
109	но и там	1	1
110	самой мысли он	1	1
111	считать установленным что	1	1
112	свое учение о	1	1
113	что же это	2	1
114	к ней не	1	1
115	говорит все время	1	1
116	и остаются на	1	1
117	хотя и не	1	1
118	самое главное и	1	1
119	всегда представляет собой	1	1
120	ли может быть	1	1
121	одно из самых	1	1
122	он прежде всего	2	1
123	должен был бы	1	1
124	или лучше сказать	1	1
125	от всех тех	1	1
126	можно было сделать	1	1
127	человека не только	1	1
128	и там и	1	1
