N	2gram	Vinokur_Vv	Sotsiolo
1	истории литературы	3	10
2	все это	6	7
3	в том	38	5
4	в этом	35	5
5	не только	26	3
6	как же	1	3
7	не в	10	3
8	и в	35	3
9	но ведь	4	3
10	методологии истории	1	3
11	в его	12	3
12	о литературе	3	3
13	для нас	1	3
14	литературы и	2	2
15	что в	13	2
16	ведь это	1	2
17	то что	19	2
18	таким образом	21	2
19	том что	30	2
20	или даже	1	2
21	дело не	5	2
22	как бы	7	2
23	в результате	4	2
24	было бы	7	2
25	как будто	3	2
26	очевидно что	1	2
27	в частности	3	2
28	нужно было	1	2
29	но и	7	2
30	конце концов	2	2
31	может быть	30	2
32	идей и	1	2
33	по существу	2	2
34	она может	1	2
35	главным образом	1	2
36	и что	6	2
37	это и	1	2
38	исторической жизни	1	2
39	за пределы	1	2
40	по отношению	4	2
41	и заключается	4	2
42	в конце	3	2
43	как только	2	2
44	отношению к	4	2
45	должна быть	2	2
46	далеко не	1	2
47	тем более	2	2
48	только в	16	2
49	к которому	1	2
50	только как	7	2
51	законы развития	1	2
52	то же	11	2
53	одно дело	2	2
54	еще не	4	2
55	а в	6	1
56	что он	5	1
57	и границы	1	1
58	художественных произведений	2	1
59	образом в	1	1
60	в конечном	3	1
61	литературы как	1	1
62	науки о	9	1
63	быть не	1	1
64	в таких	2	1
65	в целом	5	1
66	в силу	3	1
67	вряд ли	3	1
68	и самые	1	1
69	на этот	6	1
70	исторического характера	1	1
71	это значит	1	1
72	что эти	1	1
73	все эти	3	1
74	не было	2	1
75	представить себе	7	1
76	когда мы	2	1
77	связи с	3	1
78	области знания	5	1
79	его исследования	1	1
80	только то	1	1
81	не мешает	1	1
82	в своей	4	1
83	что без	1	1
84	во всяком	5	1
85	и потому	2	1
86	дает нам	1	1
87	все же	9	1
88	научного исследования	4	1
89	что это	3	1
90	или не	1	1
91	еще и	4	1
92	по крайней	4	1
93	с другой	8	1
94	мы должны	2	1
95	и стало	1	1
96	в соответствующих	2	1
97	это как	1	1
98	с ним	1	1
99	читать в	2	1
100	между тем	10	1
101	собой не	1	1
102	как совокупность	2	1
103	и более	1	1
104	но как	2	1
105	в этой	3	1
106	что таким	1	1
107	основании таких	1	1
108	время в	2	1
109	из себя	1	1
110	и его	6	1
111	именно такого	1	1
112	никак не	1	1
113	в данном	11	1
114	которая должна	1	1
115	в области	4	1
116	история литературы	3	1
117	с помощью	2	1
118	же самое	3	1
119	один из	6	1
120	так и	2	1
121	только тогда	1	1
122	в то	6	1
123	темы и	1	1
124	понимать что	1	1
125	может не	1	1
126	наука о	5	1
127	слова но	1	1
128	в котором	4	1
129	как искусство	2	1
130	потому его	1	1
131	поэта и	1	1
132	именно на	2	1
133	между собой	1	1
134	должно было	1	1
135	же это	2	1
136	и не	13	1
137	всяком случае	5	1
138	тем именно	2	1
139	иначе говоря	1	1
140	том как	1	1
141	настоящее время	1	1
142	или нет	2	1
143	исторического изучения	2	1
144	и о	1	1
145	и история	4	1
146	но не	9	1
147	может служить	3	1
148	общие законы	1	1
149	они не	1	1
150	работы как	2	1
151	лучшем случае	1	1
152	диалектического материализма	1	1
153	этой области	3	1
154	для этого	3	1
155	прежде всего	10	1
156	наукой в	2	1
157	тем что	6	1
158	что она	3	1
159	не наука	1	1
160	в каждом	4	1
161	литературного развития	1	1
162	он по	1	1
163	в строгом	3	1
164	связь между	5	1
165	и цельного	1	1
166	на общие	1	1
167	в чем	4	1
168	на основании	5	1
169	а с	2	1
170	ними в	1	1
171	а между	2	1
172	и будет	1	1
173	не дает	1	1
174	значении слова	1	1
175	в лучшем	1	1
176	в сущности	3	1
177	в область	1	1
178	психологии и	1	1
179	факта что	1	1
180	его в	6	1
181	не от	1	1
182	зависит от	3	1
183	писателя не	1	1
184	крайней мере	4	1
185	но одно	1	1
186	теоретической мысли	1	1
187	я и	1	1
188	новое и	1	1
189	этого и	1	1
190	вовсе не	6	1
191	основной вопрос	1	1
192	с одной	4	1
193	наука а	1	1
194	для изучения	1	1
195	каждом своем	1	1
196	о том	16	1
197	как науки	4	1
198	мы не	2	1
199	тому что	2	1
200	в заключение	1	1
201	мысли в	1	1
202	и затем	1	1
203	в этих	3	1
204	сама по	3	1
205	у него	1	1
206	по себе	11	1
207	на отдельные	1	1
208	без необходимости	1	1
209	не место	2	1
210	без этого	1	1
211	это дает	1	1
212	историю литературы	1	1
213	литературе и	1	1
214	все то	1	1
215	хотя бы	6	1
216	же время	6	1
217	наконец в	1	1
218	что на	1	1
219	это не	8	1
220	одной стороны	4	1
221	в связи	2	1
222	бы в	2	1
223	и должно	2	1
224	работы в	3	1
225	в виде	4	1
226	в настоящее	1	1
227	именно в	8	1
228	никогда не	3	1
229	и есть	3	1
230	не может	19	1
231	между ними	3	1
232	и как	9	1
233	принять его	1	1
234	что все	1	1
235	место в	1	1
236	как и	7	1
237	ничего не	2	1
238	в них	5	1
