N	3gram	Tiupa_Narr	Formalny
1	с точки зрения	2	40
2	не может быть	6	29
3	на самом деле	1	21
4	то же время	7	20
5	в то же	7	20
6	и т д	1	19
7	и т п	2	18
8	в связи с	3	16
9	во всяком случае	2	16
10	по отношению к	5	12
11	в самом деле	3	11
12	так и в	1	11
13	в этом отношении	5	11
14	бы то ни	1	10
15	в зависимости от	3	10
16	в большинстве случаев	1	9
17	с другой стороны	1	9
18	и не может	3	9
19	для того чтобы	4	8
20	до сих пор	3	8
21	как мы видели	1	8
22	с одной стороны	5	8
23	более или менее	2	7
24	того или иного	3	7
25	сами по себе	2	7
26	то ни было	1	7
27	в свою очередь	2	7
28	в том что	11	6
29	и в то	2	6
30	сам по себе	1	6
31	в данном случае	12	6
32	не только не	2	6
33	может быть и	1	6
34	одной стороны и	1	5
35	в этом смысле	1	5
36	в отличие от	6	5
37	к тому что	4	5
38	в значительной степени	1	5
39	до известной степени	1	5
40	связи с этим	1	5
41	мы не можем	1	5
42	в той же	1	4
43	тем не менее	6	4
44	не в том	1	4
45	как раз и	1	4
46	не входит в	1	4
47	но все же	1	4
48	а не в	1	4
49	но и в	4	4
50	как и все	1	4
51	подобно тому как	4	4
52	по аналогии с	1	4
53	и тот же	1	3
54	мы уже знаем	1	3
55	в отвлечении от	1	3
56	в том числе	1	3
57	так или иначе	1	3
58	друг с другом	1	3
59	не только на	2	3
60	не сводится к	7	3
61	вместо того чтобы	1	3
62	том числе и	1	3
63	то же самое	3	3
64	только то что	1	3
65	в том смысле	1	3
66	один и тот	1	3
67	в противном случае	1	3
68	как мы увидим	1	3
69	с установкой на	2	3
70	мере в какой	1	2
71	и столь же	1	2
72	по себе а	1	2
73	в той мере	1	2
74	отношение к миру	1	2
75	том что искусство	1	2
76	и со стороны	1	2
77	в предыдущей главе	1	2
78	с этой точки	1	2
79	произведение в его	1	2
80	в этом процессе	1	2
81	всех без исключения	1	2
82	друг от друга	1	2
83	в строгом смысле	1	2
84	но и с	1	2
85	но при этом	3	2
86	в том случае	1	2
87	иметь в виду	1	2
88	и тем самым	6	2
89	в окружающей действительности	1	2
90	в том или	1	2
91	не было и	2	2
92	внешнего и внутреннего	1	2
93	и в других	1	2
94	той мере в	1	2
95	как если бы	2	2
96	но в этом	1	2
97	в таком случае	1	2
98	из того что	1	2
99	на то чтобы	2	2
100	может быть только	1	2
101	и все же	4	2
102	именно в этом	1	2
103	связаны между собой	1	2
104	и тем же	1	2
105	как со стороны	1	2
106	как это было	1	2
107	говорить не приходится	1	2
108	так и не	2	2
109	этой точки зрения	1	2
110	том или ином	1	2
111	как и в	1	2
112	какой бы то	1	2
113	как один из	1	2
114	быть и не	1	2
115	особое место в	2	2
116	на этот вопрос	1	2
117	еще в самом	1	2
118	да и не	1	2
119	одним и тем	1	2
120	дело в том	2	2
121	так и со	1	2
122	в отрыве от	1	2
123	не только в	12	2
124	так же как	1	2
125	или хотя бы	1	2
126	в следующей главе	1	2
127	ни в чем	1	2
128	с другой как	1	1
129	как она есть	1	1
130	в самом начале	1	1
131	возникающие в сознании	1	1
132	и в жизни	2	1
133	это то что	1	1
134	тем более не	1	1
135	и как бы	1	1
136	и его смысла	1	1
137	а не иначе	1	1
138	по себе но	1	1
139	лишь в том	1	1
140	иной идеологической сферой	1	1
