N	4gram	Bakhtin_Pr	Vvedenie
1	в то же время	8	6
2	не что иное как	1	5
3	дело в том что	2	3
4	но в то же	3	3
5	есть не что иное	1	3
6	состоит в том что	1	2
7	по самой своей природе	1	2
8	в широком смысле этого	1	2
9	одно и то же	1	2
10	одной и той же	1	2
11	можно сказать что в	1	1
12	этому нисколько не мешает	1	1
13	как если бы оно	1	1
14	в том что самая	1	1
15	в очень широком смысле	1	1
16	в этом смысле и	1	1
17	по крайней мере не	1	1
18	по отношению к нему	1	1
19	то что можно назвать	1	1
20	большей или меньшей степени	5	1
21	так как если бы	1	1
22	и в разной степени	1	1
23	в этом смысле не	1	1
24	и до наших дней	2	1
25	в большей или меньшей	5	1
26	в собственном смысле слова	1	1
27	и в конце концов	1	1
28	мы имеем в виду	3	1
29	в той или иной	1	1
30	если бы оно было	1	1
31	особое отношение к действительности	1	1
32	мы имеем дело с	1	1
33	в каждом из них	2	1
