N	3gram	Losev_Dial	VerxiiNi
1	с одной стороны	3	7
2	с точки зрения	25	6
3	во всяком случае	3	6
4	по крайней мере	10	5
5	до сих пор	1	5
6	для того чтобы	1	5
7	более или менее	1	5
8	и вместе с	1	4
9	о том что	6	4
10	к тому же	2	4
11	в том что	12	3
12	в конце концов	1	3
13	и таким образом	1	3
14	так же как	2	3
15	в связи с	3	3
16	точно так же	3	3
17	а так как	1	3
18	тем не менее	10	3
19	так или иначе	2	3
20	должны признать что	1	2
21	той или иной	2	2
22	на то что	3	2
23	с самого начала	1	2
24	то ясно что	3	2
25	может быть даже	1	2
26	то или иное	4	2
27	то ни было	1	2
28	этой точки зрения	4	2
29	то же самое	1	2
30	так и от	1	2
31	с тех пор	2	2
32	по сравнению с	1	2
33	можно сказать что	1	2
34	бы то ни	2	2
35	в этом отношении	2	2
36	то же время	3	2
37	в то же	3	2
38	с этой точки	4	2
39	друг на друга	1	2
40	и в этом	4	2
41	пор как этот	1	1
42	это есть продукт	1	1
43	не должны быть	1	1
44	сами по себе	3	1
45	точки зрения подлинной	1	1
46	из себя не	1	1
47	отдельных единиц в	1	1
48	но при этом	1	1
49	в силу этого	3	1
50	не похоже на	1	1
51	оно превращается в	1	1
52	совершенно ясно что	1	1
53	потому что в	1	1
54	не потому что	2	1
55	что он существует	1	1
56	сказать что в	1	1
57	с тем или	1	1
58	есть не более	1	1
59	не только не	7	1
60	только в силу	1	1
61	не отличаются от	1	1
62	иметь в виду	3	1
63	том есть ли	1	1
64	а вместе с	1	1
65	может и не	1	1
66	том что все	1	1
67	но в то	1	1
68	что это есть	4	1
69	речь идет о	1	1
70	как на нечто	1	1
71	говорить лишь о	1	1
72	он как бы	1	1
73	к чему не	1	1
74	мы видим что	2	1
75	не может быть	12	1
76	и ничто не	1	1
77	и в то	2	1
78	одно из таких	1	1
79	в данном случае	3	1
80	мы имеем в	1	1
81	который можно назвать	1	1
82	из двух или	3	1
83	и живых существ	1	1
84	таком случае эта	1	1
85	а потому что	1	1
86	в отличие от	1	1
87	и никогда не	1	1
88	ничем не отличаются	1	1
89	силу этого и	1	1
90	не имеет никакого	3	1
91	в себе не	2	1
92	только он один	2	1
93	одно из двух	3	1
94	не более как	1	1
95	не может не	3	1
96	имеем в виду	1	1
97	том что они	1	1
98	с тем что	1	1
99	и есть то	1	1
100	чтобы она была	3	1
101	хотя бы например	1	1
102	она и при	1	1
103	может быть в	1	1
104	в самом деле	6	1
105	тех пор как	1	1
106	в таком случае	11	1
107	то в силу	1	1
108	или по крайней	4	1
109	тот факт что	1	1
110	в одном из	1	1
111	а следовательно и	1	1
112	что учение о	2	1
113	чем именно заключается	1	1
114	сама жизнь это	1	1
115	и что он	1	1
116	только то что	1	1
117	крайней мере в	3	1
118	и что она	2	1
119	в чем именно	1	1
120	крайней мере до	1	1
121	как бы в	1	1
122	и в этой	1	1
123	можно говорить лишь	1	1
124	с другой стороны	3	1
125	здесь идет речь	1	1
126	рождение и смерть	1	1
127	о том как	2	1
128	не в том	5	1
129	ни к чему	1	1
130	и у них	1	1
131	в то время	6	1
132	самом деле если	1	1
133	все в мире	1	1
134	только тогда когда	6	1
135	из которых каждый	1	1
136	это и есть	4	1
137	но они не	2	1
138	очень много но	1	1
139	что и в	1	1
140	из этих трех	1	1
141	до самого основания	1	1
142	да и сами	1	1
143	о мире как	1	1
