N	2gram	Medvedev_I	DiskursI
1	и в	1	49
2	и не	2	44
3	в этом	2	38
4	так и	1	28
5	а также	1	20
6	в основе	1	18
7	с другой	1	17
8	по отношению	1	17
9	отношению к	1	17
10	для него	1	13
11	в целом	1	13
12	того же	1	12
13	что в	2	11
14	а с	1	10
15	а в	1	10
16	в них	1	9
17	себя в	1	9
18	он не	2	8
19	и о	1	8
20	другой стороны	1	7
21	а позднее	1	7
22	никогда не	1	6
23	в первую	1	5
24	говорить о	1	5
25	тем что	1	5
26	первую очередь	1	5
27	в значительной	1	5
28	ничего не	2	5
29	того что	1	5
30	я не	1	4
31	автор и	1	4
32	более чем	1	4
33	и др	1	4
34	а по	1	4
35	и сам	1	3
36	о ней	1	3
37	вплоть до	1	3
38	не случайно	1	3
39	автора и	1	3
40	то она	1	3
41	и без	1	3
42	все эти	1	3
43	жизни и	1	3
44	и с	3	2
45	с рассказчиком	1	2
46	для того	1	2
47	по поводу	1	2
48	очевидно что	1	2
49	оба они	2	2
50	бы его	1	2
51	если бы	1	2
52	преступления и	1	2
53	пушкина и	1	2
54	тех же	1	2
55	и и	1	2
56	все это	1	2
57	по существу	1	2
58	это было	1	2
59	с литературными	1	2
60	же это	1	2
61	с героем	1	1
62	самого себя	2	1
63	другое дело	1	1
64	своего исследования	1	1
65	введение в	1	1
66	и еще	1	1
67	следующим образом	1	1
68	художественного творчества	1	1
69	на котором	1	1
70	могло бы	1	1
71	в художественном	1	1
72	не остается	1	1
73	с жизнью	1	1
74	человеке и	1	1
75	от этого	1	1
76	а для	1	1
77	бы в	1	1
78	не дает	1	1
79	стороны он	1	1
80	от нее	1	1
81	утверждает что	1	1
82	как о	1	1
83	со всеми	1	1
84	странное и	1	1
85	то и	1	1
86	того чтобы	1	1
87	произведения и	1	1
88	о жизни	1	1
89	цель и	1	1
90	и со	1	1
91	должен быть	2	1
92	стало быть	1	1
