N	4gram	Savitsky_E	Narrotol
1	в то же время	14	8
2	дело в том что	1	3
3	и в то же	8	2
4	одного и того же	1	2
5	в той или иной	3	2
6	с этой точки зрения	5	1
7	в том смысле что	1	1
8	например в том что	1	1
9	с одной стороны и	6	1
10	так и со стороны	1	1
11	в качестве одного из	1	1
12	в качестве одной из	1	1
13	одна и та же	1	1
14	бы то ни было	4	1
15	может быть сведена к	1	1
16	и не только в	1	1
17	в то время как	1	1
18	той или иной степени	1	1
19	один и тот же	1	1
20	к тому или иному	1	1
21	в том числе и	1	1
22	как же обстоит дело	1	1
23	в себе не только	1	1
24	в связи с этим	1	1
25	в том случае если	1	1
26	и с точки зрения	1	1
27	с точки зрения развития	1	1
