N	4gram	Ircho_Kome	Problema
1	в то время как	3	12
2	не имеет ничего общего	1	9
3	не говоря уже о	2	7
4	и в этом случае	1	6
5	бы то ни было	3	6
6	имеет ничего общего с	1	5
7	в том виде как	1	5
8	ни в чем не	2	5
9	тем не менее в	1	5
10	в собственном смысле слова	1	4
11	в том числе и	2	4
12	в тех случаях когда	1	3
13	и в то же	2	3
14	одного и того же	1	3
15	несмотря на то что	1	3
16	с этой точки зрения	1	3
17	с одной стороны и	2	3
18	у того же автора	1	3
19	в том что в	1	2
20	о том что он	1	2
21	один и тот же	3	2
22	и там и здесь	3	2
23	мы имеем в виду	2	2
24	iii в н э	1	2
25	и о том что	1	2
26	в до н э	1	2
27	только в том что	1	2
28	и до сих пор	1	1
29	до поры до времени	1	1
30	который в свою очередь	1	1
31	с точки зрения самого	1	1
32	сказать несколько слов о	1	1
33	то по крайней мере	1	1
34	там и здесь не	1	1
35	для того чтобы не	1	1
36	в самой общей форме	1	1
37	в то же время	11	1
38	отдать себе отчет в	1	1
39	и в самом деле	7	1
40	в каждой из них	1	1
41	по самой своей природе	1	1
42	равно как и те	1	1
43	вместе с тем он	1	1
44	тем не менее и	1	1
45	до сих пор не	2	1
46	состоит в том что	1	1
47	с самого начала не	1	1
48	если бы он был	1	1
49	даже как будто бы	1	1
50	в трагедии и в	1	1
51	в каждом из нас	1	1
52	подобно тому как мы	1	1
53	к тому же он	1	1
54	похожих друг на друга	1	1
55	в середине iv в	1	1
56	таким же образом как	1	1
57	ни у кого не	1	1
58	вопрос о том как	1	1
59	даже если бы он	1	1
60	и к тому же	2	1
61	с одной стороны он	1	1
62	именно потому что он	1	1
63	только для того чтобы	2	1
64	в том что его	1	1
65	ни малейшего намека на	1	1
66	может быть даже в	1	1
67	само собой разумеется что	3	1
