N	4gram	Bakhtin_Fr	Psycholo
1	заключается в том что	1	23
2	не что иное как	1	6
3	одним и тем же	1	4
4	одного и того же	1	4
5	в то же время	12	3
6	о том что он	1	3
7	дело в том что	2	3
8	в том или ином	2	3
9	в том что они	1	2
10	то мы увидим что	1	2
11	за то что он	1	2
12	правильнее было бы сказать	1	2
13	с одной стороны и	1	2
14	все дело в том	1	2
15	что в конце концов	1	2
16	и в этом отношении	1	2
17	есть не что иное	1	2
18	таким образом все то	1	1
19	мы найдем целый ряд	1	1
20	как мы уже говорили	3	1
21	том или ином виде	2	1
22	мы уже знаем что	1	1
23	и до наших дней	2	1
24	мы уже говорили о	2	1
25	и то обстоятельство что	1	1
26	с другой стороны в	1	1
27	мы видим что в	1	1
28	по самому своему существу	1	1
29	мы не в состоянии	1	1
30	и целый ряд других	1	1
31	трудно провести границу между	1	1
32	мы не знаем но	1	1
33	так же трудно как	1	1
34	образом все то что	1	1
35	как это было и	1	1
36	в этом отношении не	1	1
37	на другой день после	1	1
38	то же что и	1	1
39	взятый сам по себе	1	1
40	в конце концов оказывается	1	1
41	которые с точки зрения	1	1
42	все то что в	2	1
43	мы найдем в ней	1	1
44	по существу она не	1	1
45	с точки зрения их	1	1
46	это в самом деле	1	1
47	совершенно иначе чем это	1	1
48	можно прямо сказать что	1	1
49	в том числе и	2	1
50	сам по себе и	1	1
51	мы уже говорили что	3	1
52	проникать во все тайны	1	1
53	но по существу она	1	1
