N	2gram	Medvedev_I	Morfolog
1	в этом	2	18
2	и в	1	17
3	и не	2	16
4	по существу	1	13
5	и др	1	12
6	что в	2	10
7	так и	1	10
8	с другой	1	9
9	а в	1	8
10	по отношению	1	7
11	а также	1	7
12	отношению к	1	7
13	другой стороны	1	5
14	ничего не	2	5
15	все эти	1	5
16	он не	2	5
17	в целом	1	5
18	тем что	1	4
19	а если	1	4
20	тех же	1	4
21	того чтобы	1	4
22	говорить о	1	4
23	следующим образом	1	4
24	на котором	1	4
25	в руки	1	4
26	только что	1	3
27	для того	1	3
28	что при	1	3
29	не слишком	1	3
30	того что	1	3
31	это было	1	3
32	если бы	1	3
33	а по	1	3
34	не так	1	2
35	с героем	1	2
36	самого себя	2	2
37	и тот	1	2
38	только для	1	2
39	в основе	1	2
40	себя в	1	2
41	для него	1	2
42	все это	1	2
43	то получается	1	2
44	бы в	1	2
45	а с	1	2
46	первая жена	1	1
47	со всеми	1	1
48	в них	1	1
49	и с	3	1
50	следовательно в	1	1
51	и очень	1	1
52	и многое	1	1
53	наоборот не	1	1
54	после смерти	1	1
55	точно и	1	1
56	так то	1	1
57	свою жену	1	1
58	то она	1	1
59	а для	1	1
60	многое другое	1	1
61	видит в	1	1
62	литература о	1	1
63	этим и	1	1
64	о жизни	1	1
65	и со	1	1
66	нисколько не	1	1
67	в эту	1	1
68	могло бы	1	1
69	более чем	1	1
70	исследователь должен	1	1
71	и дети	1	1
72	и задача	1	1
73	не дает	1	1
74	них не	1	1
75	вплоть до	1	1
