1	в то же время	6	11
2	и в самом деле	3	4
3	только в том что	1	3
4	состоит в том что	2	3
5	но в то же	3	3
6	в связи с этим	1	2
7	дело не только в	1	2
8	не только в том	1	2
9	то же самое что	2	2
10	что он вовсе не	1	1
11	совсем не похожи на	1	1
12	с одной стороны и	3	1
13	и в этом смысле	1	1
14	но с другой стороны	1	1
15	в том что в	1	1
16	мы имеем дело с	1	1
17	точно так же как	1	1
18	еще и потому что	1	1
19	заключается в том что	2	1
20	в том что он	1	1
21	дело в том что	3	1
22	с этой точки зрения	2	1
23	и в этом отношении	1	1
24	именно в связи с	1	1
