N	3gram	Bakhtin_Pr	NovoeSre
1	в высшей степени	5	6
2	не может быть	11	4
3	со всех сторон	2	3
4	подобно тому как	1	3
5	лицом к лицу	1	3
6	вопрос о том	1	2
7	в том и	1	2
8	равно как и	1	2
9	и должно быть	1	2
10	в нем нет	1	2
11	в этом смысле	3	2
12	с одной стороны	3	2
13	с другой стороны	4	2
14	в свои права	1	2
15	она не может	1	2
16	быть не может	1	1
17	должен прежде всего	1	1
18	сами по себе	1	1
19	в том что	3	1
20	не в том	1	1
21	до сих пор	1	1
22	другой же стороны	2	1
23	и не ставит	1	1
24	должна быть понята	1	1
25	и быть не	1	1
26	что вся культура	1	1
27	которая обращена к	1	1
28	с другой же	2	1
29	можно было бы	3	1
30	и не менее	1	1
31	не только в	2	1
32	но и в	2	1
33	в большинстве случаев	5	1
34	которые могут быть	1	1
35	в том смысле	1	1
36	в отличие от	5	1
37	должен быть признан	1	1
38	в значительной степени	1	1
39	быть понята как	1	1
40	в нем не	1	1
41	бытия в этом	1	1
42	не может осуществить	2	1
43	и пр в	1	1
44	не могут быть	2	1
45	и у в	1	1
46	познания и не	1	1
47	выходит за пределы	1	1
48	быть отнесены к	1	1
49	как и в	1	1
50	то что в	1	1
51	может осуществить своих	1	1
52	и не в	1	1
53	а не с	1	1
54	та или иная	1	1
55	и во всех	2	1
56	ни в одну	1	1
57	к вопросу о	1	1
58	конечно не в	1	1
59	с миром а	1	1
60	все свои возможности	1	1
61	одна из сторон	1	1
62	в то время	1	1
63	это и есть	1	1
64	то время как	1	1
65	ни в чем	2	1
66	и не может	2	1
67	формы к содержанию	1	1
68	может быть только	3	1
