N	2gram	Tiupa_Narr	Poddanst
1	не только	32	17
2	и в	19	14
3	и не	20	12
4	в области	2	11
5	в этом	17	10
6	в том	18	9
7	то же	4	9
8	в качестве	21	9
9	но в	6	9
10	хотя бы	4	8
11	в пределах	2	8
12	только в	4	7
13	же время	4	7
14	в обстановке	1	7
15	в то	3	7
16	в ней	3	6
17	быть может	2	6
18	было бы	4	6
19	но и	23	6
20	в смысле	1	6
21	и пр	1	5
22	может быть	25	5
23	с другой	8	5
24	не в	14	5
25	в которых	1	5
26	в русской	1	4
27	и к	1	4
28	что в	3	4
29	в котором	1	4
30	по себе	5	4
31	тех кто	1	4
32	и потому	2	4
33	но также	1	4
34	не может	10	4
35	а в	11	4
36	то что	11	4
37	как бы	4	4
38	если бы	1	4
39	а также	7	4
40	в своем	2	4
41	же в	4	4
42	том что	14	4
43	наряду с	2	3
44	в себе	8	3
45	что мы	2	3
46	ей в	1	3
47	с одной	7	3
48	мы не	1	3
49	это не	2	3
50	одной стороны	7	3
51	между тем	3	3
52	с точки	2	3
53	хотя и	3	3
54	потому что	1	3
55	прежде всего	4	3
56	вслед за	4	3
57	сводится к	3	3
58	тем самым	6	3
59	сами по	2	3
60	в россии	1	3
61	но не	6	3
62	могут быть	3	3
63	и как	5	3
64	с ними	1	3
65	столь же	3	3
66	в нем	4	3
67	тот же	1	3
68	точки зрения	10	3
69	во всех	1	2
70	именно как	1	2
71	является в	1	2
72	осуществляется в	1	2
73	было в	2	2
74	ней не	1	2
75	если в	3	2
76	время в	2	2
77	в значительной	2	2
78	том числе	6	2
79	не будем	1	2
80	церкви и	1	2
81	по-видимому не	1	2
82	начала и	1	2
83	в ее	3	2
84	и тем	4	2
85	того что	2	2
86	как раз	2	2
87	в частности	14	2
88	в его	9	2
89	в глубинах	1	2
90	не о	3	2
91	а не	12	2
92	но о	3	2
93	для нас	1	2
94	говорить о	2	2
95	может и	1	2
96	и есть	2	2
97	в них	1	2
98	не было	2	2
99	и с	4	2
100	в начале	1	2
101	в общем	1	2
102	мысль о	1	2
103	которое в	1	2
104	именно в	6	2
105	отношения к	2	2
106	в последние	2	2
107	взгляда на	1	2
108	во всей	2	2
109	есть нечто	1	2
110	в силу	4	2
111	одна из	3	2
112	в мире	9	2
113	например в	2	2
114	не менее	3	2
115	где бы	1	2
116	не столько	4	2
117	отнюдь не	5	2
118	со стороны	9	2
119	да и	4	2
120	точек зрения	2	2
121	культуры в	1	2
122	из них	3	2
123	есть не	1	2
124	тем более	2	2
125	есть в	2	2
126	образом на	1	2
127	переход от	4	2
128	мира с	1	2
129	поскольку не	1	1
130	что было	1	1
131	этих двух	1	1
132	нет ничего	1	1
133	как к	2	1
134	и тех	1	1
135	могли бы	1	1
136	не есть	3	1
137	и то	1	1
138	но как	2	1
139	выступает в	2	1
140	мы можем	1	1
141	а с	3	1
142	в данном	5	1
143	с его	6	1
144	что оно	1	1
145	и более	1	1
146	те же	4	1
147	и здесь	1	1
148	вечности и	1	1
149	и на	3	1
150	отличие от	5	1
151	в самом	1	1
152	мир в	1	1
153	времени эта	1	1
154	они не	2	1
155	может не	3	1
156	восходит к	3	1
157	них в	1	1
158	поскольку мы	1	1
159	и главное	1	1
160	бы она	1	1
161	церкви в	1	1
162	политического и	1	1
163	выборе и	1	1
164	и который	1	1
165	исторического бытия	1	1
166	она не	2	1
167	уже в	3	1
168	как условие	1	1
169	должна быть	2	1
170	человеческого бытия	1	1
171	при отсутствии	1	1
172	внутреннего зрения	4	1
173	более или	2	1
174	есть прежде	1	1
175	не одной	1	1
176	и конца	1	1
177	живет в	1	1
178	и иных	1	1
179	представляет собой	13	1
180	как известно	2	1
181	отрыве от	1	1
182	и должна	1	1
183	мира но	1	1
184	формы в	1	1
185	что это	3	1
186	ни на	1	1
187	которой в	1	1
188	в напряжении	1	1
189	и уже	1	1
190	мысли и	1	1
191	все основные	1	1
192	какой бы	1	1
193	из этих	3	1
194	что если	1	1
195	не как	2	1
196	где он	1	1
197	и через	1	1
198	бытия как	1	1
199	не с	3	1
200	может оказаться	2	1
201	не об	1	1
202	и при	1	1
203	в различных	1	1
204	не могла	1	1
205	с богом	1	1
206	что и	1	1
207	кто не	1	1
208	другой стороны	4	1
209	в мир	1	1
210	как ни	2	1
211	от церкви	1	1
212	этом смысле	1	1
213	к жизни	1	1
214	далеко не	5	1
215	только то	1	1
216	в современной	1	1
217	составляющих ее	2	1
218	что все	1	1
219	в историческом	1	1
220	так же	2	1
221	человека с	1	1
222	также и	1	1
223	его в	2	1
224	в церковь	1	1
225	над ним	1	1
226	каждый из	2	1
227	который не	1	1
228	было и	1	1
229	все же	7	1
230	теми же	1	1
231	но на	1	1
232	в результате	2	1
233	в рамках	12	1
234	от тех	1	1
235	идти в	1	1
236	в прошлом	3	1
237	в отрыве	1	1
238	в этой	5	1
239	числе и	4	1
240	этом не	1	1
241	из нее	1	1
242	тот или	1	1
243	что по	2	1
244	в отличие	5	1
245	и где	1	1
246	история не	1	1
247	себя в	5	1
248	из двух	3	1
249	само по	1	1
250	оно есть	1	1
251	известном смысле	2	1
252	на две	1	1
253	же как	3	1
254	на себя	3	1
255	она может	2	1
256	что не	4	1
257	мы и	1	1
258	по стилю	1	1
259	реальность в	1	1
260	может идти	1	1
261	в ходе	1	1
262	или хотя	1	1
263	церковь и	1	1
264	сливаются в	1	1
265	на наш	1	1
266	отношением к	1	1
267	происходящего в	2	1
268	более что	1	1
269	происходит и	2	1
270	религиозные и	1	1
271	рамках этого	1	1
272	это ощущение	1	1
273	мыслилась как	1	1
274	представляют собой	2	1
275	в какой	2	1
276	место в	1	1
277	как и	7	1
278	с которым	1	1
279	на будущее	3	1
280	в некотором	1	1
281	следует понимать	1	1
282	или иной	5	1
283	в собственном	2	1
284	от первой	1	1
285	случаях когда	1	1
286	факты в	1	1
287	личный опыт	1	1
288	последней в	1	1
289	наш взгляд	1	1
290	все еще	1	1
291	на фоне	1	1
292	мира который	1	1
293	когда-то и	1	1
294	и по	1	1
295	чем было	1	1
296	он живет	1	1
297	и только	2	1
298	что именно	2	1
299	к предмету	1	1
300	друг с	1	1
301	в иной	2	1
302	о котором	1	1
303	не все	5	1
304	когда в	1	1
305	от наиболее	1	1
306	в себя	6	1
307	распадается на	1	1
308	в это	1	1
309	с ее	3	1
310	в известном	2	1
311	с другом	1	1
312	во времени	8	1
313	к иным	1	1
314	не имеет	2	1
315	историю в	1	1
316	одно из	2	1
317	или менее	2	1
318	и ее	2	1
319	особенно в	3	1
320	в развитии	1	1
321	собой его	1	1
322	связаны с	1	1
323	грань между	1	1
324	обратиться к	1	1
325	сознания к	2	1
326	и быть	1	1
327	никогда не	3	1
328	еще не	7	1
329	если будет	1	1
