N	2gram	Voloshinov	UchenyiS
1	и в	28	14
2	не только	10	10
3	а не	9	10
4	и не	34	8
5	прежде всего	26	8
6	то что	17	7
7	в этом	28	7
8	не может	30	7
9	может быть	28	6
10	в искусстве	3	6
11	хотя бы	7	5
12	то же	12	5
13	художественного творчества	1	5
14	и только	6	5
15	все это	12	5
16	в конечном	3	4
17	с другой	2	4
18	в этой	7	4
19	конечном счете	3	4
20	конечно не	10	4
21	что такое	6	4
22	но и	10	4
23	в их	2	4
24	к сожалению	1	3
25	бы то	3	3
26	было бы	8	3
27	и то	3	3
28	и формы	1	3
29	и т.д	1	3
30	этой области	4	3
31	для этого	6	3
32	это не	5	3
33	как и	13	3
34	то ни	4	3
35	для него	12	3
36	в своей	14	3
37	все же	8	3
38	ни было	2	3
39	в области	4	3
40	в то	7	3
41	не как	2	3
42	у нас	3	3
43	не следует	2	3
44	но в	13	3
45	же время	6	3
46	все они	2	2
47	художественной формы	2	2
48	таким образом	34	2
49	в самом	12	2
50	же не	1	2
51	не приходится	3	2
52	материал для	2	2
53	могли бы	2	2
54	его и	2	2
55	если бы	4	2
56	самом деле	14	2
57	могут быть	9	2
58	не в	10	2
59	это было	2	2
60	бы и	2	2
61	для всех	3	2
62	и с	10	2
63	до сих	3	2
64	их и	1	2
65	же самое	2	2
66	одним из	3	2
67	еще ничего	1	2
68	крайней мере	1	2
69	но не	7	2
70	по существу	1	2
71	форму и	1	2
72	мы и	4	2
73	тем что	1	2
74	в себе	7	2
75	в его	25	2
76	в конце	2	2
77	т.е в	5	2
78	даже и	1	2
79	должна быть	2	2
80	мы не	9	2
81	и роль	1	2
82	ничего не	5	2
83	всех этих	6	2
84	между тем	3	2
85	что она	5	2
86	не есть	2	2
87	что он	12	2
88	в широком	2	2
89	конце концов	2	2
90	при таком	1	2
91	этом отношении	4	2
92	фактов и	2	2
93	как раз	6	2
94	а его	2	2
95	в некоторых	2	2
96	пишет он	2	2
97	не могут	7	2
98	а как	3	2
99	что мы	3	2
100	сводится к	4	2
101	в том	10	2
102	представляется нам	3	2
103	это уже	3	2
104	том что	12	2
105	и через	2	2
106	надо было	1	2
107	нас в	2	2
