N	2gram	Kanaev_Sov	PoTuStor
1	может быть	12	17
2	и в	7	16
3	и пр	2	12
4	таким образом	11	9
5	в этом	7	9
6	прежде всего	5	9
7	мы можем	6	9
8	и только	1	9
9	совершенно не	2	8
10	точки зрения	12	8
11	не может	17	8
12	и его	1	8
13	не только	4	7
14	сказать что	1	7
15	с его	1	7
16	и к	3	6
17	при этом	3	6
18	самом деле	2	6
19	и это	1	6
20	конечно не	1	6
21	с точки	5	6
22	что такое	2	5
23	ни в	1	5
24	все эти	5	5
25	еще не	3	5
26	как бы	4	5
27	а потому	1	4
28	все что	1	4
29	так как	4	4
30	все это	3	4
31	в его	2	4
32	на самом	1	4
33	его в	1	4
34	и даже	2	4
35	и все	3	4
36	только в	1	4
37	и не	6	4
38	но мы	3	4
39	с самого	3	4
40	и может	1	4
41	и их	1	4
42	самого начала	3	4
43	в этой	3	4
44	как мы	2	4
45	отнюдь не	3	4
46	в нем	3	4
47	с ее	1	4
48	в один	2	4
49	и наконец	5	4
50	но в	3	4
51	до сих	1	3
52	на язык	1	3
53	в том	4	3
54	мы знаем	2	3
55	те же	1	3
56	на этой	3	3
57	между ними	1	3
58	в конечном	1	3
59	их в	4	3
60	этом смысле	1	3
61	что в	2	3
62	том что	1	3
63	вместе с	4	3
64	на этом	2	3
65	во всех	1	3
66	во всяком	2	3
67	и потому	3	3
68	по крайней	1	3
69	только на	1	3
70	в одном	3	3
71	а в	4	3
72	в большинстве	1	3
73	на две	3	3
74	могут быть	2	3
75	и есть	2	3
76	сих пор	1	3
77	жизни и	4	3
78	в области	3	3
79	всяком случае	2	3
80	крайней мере	1	3
81	в самом	2	2
82	в свое	1	2
83	мы видим	2	2
84	это делает	1	2
85	и мы	3	2
86	они не	1	2
87	почти не	1	2
88	мы не	9	2
89	ни было	1	2
90	что это	2	2
91	аналогии с	1	2
92	в область	1	2
93	может иметь	2	2
94	для нас	3	2
95	но как	1	2
96	у него	2	2
97	не могут	2	2
98	со всеми	2	2
99	а на	2	2
100	не знает	1	2
101	так называемый	1	2
102	по аналогии	1	2
103	и действительно	1	2
104	конечном счете	1	2
105	можно назвать	2	2
106	но ведь	1	2
107	как и	6	2
108	же как	1	2
109	только и	1	2
110	знаем что	2	2
111	не менее	2	2
112	этот остаток	1	2
113	и вообще	1	2
114	на них	1	2
115	с этим	2	2
116	к этому	1	2
117	между собой	3	2
118	это последнее	1	2
119	мы уже	1	2
120	да еще	1	2
121	из этих	2	2
122	на друга	1	2
123	совсем не	1	2
124	а может	1	2
125	в этот	1	2
126	он не	1	2
127	он ищет	1	2
128	и т.п	1	2
129	в развитии	4	2
130	с помощью	4	2
131	не будет	1	2
132	и вся	1	2
133	говорить о	2	2
134	в науке	2	2
135	в начале	1	2
136	но отнюдь	1	2
137	почти совершенно	1	2
138	так же	1	2
139	друг на	1	2
140	было бы	3	2
141	нет и	4	2
142	если мы	4	2
143	о том	1	2
144	во всей	1	2
145	можем сказать	1	2
146	один из	1	2
147	и по	2	2
148	с ним	1	2
149	нет никаких	1	2
150	но это	1	2
151	и для	1	2
152	того же	1	2
153	понятия и	1	2
154	то же	3	2
155	не можем	7	2
156	никогда не	1	2
157	жизни но	1	1
158	бы то	1	1
159	несколько слов	1	1
160	по мнению	2	1
161	дает нам	2	1
162	но никогда	1	1
163	только из	1	1
164	та же	1	1
165	зрения может	1	1
166	его мнению	1	1
167	этого направления	1	1
168	нельзя сказать	1	1
169	ведь именно	1	1
170	данном случае	1	1
171	помним что	1	1
172	приходится сказать	1	1
173	живое существо	1	1
174	с одной	2	1
175	уже в	3	1
176	на ее	1	1
177	ним и	1	1
178	не будем	2	1
179	одна и	1	1
180	мы имеем	1	1
181	еще более	2	1
182	это и	1	1
183	потом и	1	1
184	несмотря на	1	1
185	уже знаем	1	1
186	хотя и	1	1
187	а это	1	1
188	может совершенно	1	1
189	что при	2	1
190	через некоторое	2	1
191	только не	1	1
192	никакому сомнению	1	1
193	ищет для	1	1
194	в некоторых	2	1
195	времени не	1	1
196	возможного и	1	1
197	в стадии	5	1
198	и всегда	1	1
199	быть поняты	1	1
200	для объяснения	1	1
201	объяснения всех	1	1
202	у нас	3	1
203	здесь в	1	1
204	для них	1	1
205	быть сведен	1	1
206	другую и	1	1
207	основной вопрос	3	1
208	переносятся на	1	1
209	весь мир	1	1
210	можно было	1	1
211	это маленькое	1	1
212	несводимый к	1	1
213	метод до	1	1
214	современной нам	1	1
215	ведь это	3	1
216	в своих	1	1
217	наконец мы	1	1
218	не опирается	1	1
219	связи с	1	1
220	мы вправе	1	1
221	на этот	2	1
222	не более	1	1
223	если бы	1	1
224	без остатка	1	1
225	что его	1	1
226	на такой	1	1
227	но эта	1	1
228	теперь мы	1	1
229	дело в	1	1
230	он может	3	1
231	но не	1	1
232	а три	1	1
233	и эта	1	1
234	форму и	1	1
235	быть только	1	1
236	как его	1	1
237	и им	1	1
238	органической жизни	9	1
239	развития в	2	1
240	уже совершенно	1	1
241	и начало	1	1
242	времени и	2	1
243	в конце	3	1
244	случае не	1	1
245	вражда к	1	1
246	в корне	1	1
247	на другую	1	1
248	в связи	1	1
249	жизненные отношения	1	1
250	и они	2	1
251	случае только	1	1
252	не подлежит	3	1
253	может стать	1	1
254	обходиться без	1	1
255	в мире	1	1
256	все же	3	1
257	всеми его	1	1
258	при таком	3	1
259	жизни в	1	1
260	не что	1	1
261	себе даже	1	1
262	науки в	1	1
263	приводит к	2	1
264	не имеет	1	1
265	и могут	1	1
266	по его	1	1
267	органических процессов	1	1
268	по самому	1	1
269	давая себе	1	1
270	зависимости от	4	1
271	к логическому	1	1
272	роль в	2	1
273	пока не	1	1
274	на его	2	1
275	с другом	2	1
276	свой основной	1	1
277	но если	1	1
278	вовсе не	1	1
279	уже не	2	1
280	жизни мы	2	1
281	признать за	1	1
282	той или	1	1
283	свое время	1	1
284	а потом	1	1
285	этих двух	2	1
286	но этим	1	1
287	зародыша в	2	1
288	жизнь человека	1	1
289	совершенно готовом	1	1
290	не давая	1	1
291	достаточно для	1	1
292	его и	1	1
293	виде мы	1	1
294	искать в	1	1
295	человека в	1	1
296	и снова	1	1
297	для его	2	1
298	в данном	1	1
299	за шагом	1	1
300	вытекает из	1	1
301	отличается от	3	1
302	вопрос о	4	1
303	этой высшей	1	1
304	не имеют	1	1
305	быть при	1	1
306	и т.д	3	1
307	то и	2	1
308	она не	1	1
309	в течение	1	1
310	в свою	2	1
311	одной стороны	1	1
312	как известно	2	1
313	шаг за	1	1
314	и ни	1	1
315	не дает	2	1
316	ничто не	1	1
317	в другом	1	1
318	то ни	2	1
319	это только	1	1
320	в ней	1	1
321	человека как	1	1
322	с совершенно	2	1
323	организм если	1	1
324	общего не	1	1
325	а не	3	1
326	есть то	1	1
327	увидим что	1	1
328	эта сторона	1	1
329	переоценить все	1	1
330	в которую	2	1
331	мы снова	1	1
332	и та	1	1
333	и что	2	1
334	как он	3	1
335	совершенно так	1	1
336	центр тяжести	1	1
337	конечно в	2	1
338	еще в	1	1
339	на другой	1	1
340	сомнению что	1	1
341	к чему	2	1
342	она по	1	1
343	прикрепляется к	1	1
344	конечно нет	1	1
345	чего же	1	1
346	из одного	2	1
347	человека и	1	1
348	отметить что	1	1
349	мы по	1	1
350	очень мало	1	1
351	счете только	1	1
352	на это	1	1
353	с другой	1	1
354	всех трех	1	1
355	на которые	1	1
356	некоторое время	2	1
357	ничего общего	1	1
358	что же	5	1
359	и еще	1	1
360	же самое	2	1
361	каждого из	2	1
362	в эту	1	1
363	она может	2	1
364	и благодаря	1	1
365	той же	2	1
366	только одна	6	1
367	которые в	1	1
368	теоретического познания	1	1
369	нам важен	1	1
370	в нашем	2	1
371	может оказаться	1	1
372	от объективной	1	1
373	все время	1	1
374	в духе	1	1
375	или иной	2	1
376	же в	1	1
377	что она	3	1
378	и прежде	1	1
379	говорить об	2	1
380	одна из	3	1
381	же мы	2	1
382	же делает	1	1
383	наконец все	1	1
384	их на	1	1
385	биологическое значение	1	1
386	это просто	1	1
387	друг с	2	1
388	это уже	1	1
389	свои построения	1	1
390	в биологии	1	1
391	так называемое	1	1
392	что иное	1	1
393	мы должны	4	1
394	не случайно	1	1
395	и особенно	1	1
396	точку зрения	4	1
397	тот же	2	1
398	ничего не	6	1
399	иное как	1	1
400	своего развития	1	1
401	к нему	1	1
402	сведен без	1	1
