N	4gram	Voloshinov	Hudozhes
1	в то же время	1	7
2	имеем в виду не	1	3
3	мы имеем в виду	1	3
4	одно и то же	2	3
5	ни в коем случае	1	2
6	бы то ни было	3	2
7	по отношению к герою	1	2
8	должен занимать особую притом	1	1
9	бы они ни были	1	1
10	автору и по отношению	1	1
11	отношению к автору и	1	1
12	по отношению к которому	1	1
13	незаместимое место в событии	1	1
14	занимать особую притом двустороннюю	1	1
15	случае мы имеем дело	1	1
16	особую притом двустороннюю позицию	1	1
17	свое незаместимое место в	1	1
18	к автору и по	1	1
19	и по отношению к	3	1
20	двустороннюю позицию в нем	1	1
21	в нем по отношению	1	1
22	в событии художественного творчества	1	1
23	нем по отношению к	1	1
24	с одной стороны и	2	1
25	художественного творчества он должен	1	1
26	позицию в нем по	1	1
27	событии художественного творчества он	1	1
28	по отношению к автору	1	1
29	притом двустороннюю позицию в	1	1
30	но в то же	1	1
31	не может быть и	2	1
32	одним и тем же	1	1
33	он должен занимать особую	1	1
34	какой бы то ни	1	1
35	позицию по отношению к	1	1
36	место в событии художественного	1	1
37	мы имеем дело с	1	1
38	творчества он должен занимать	1	1
39	искусства и в частности	1	1
