N	4gram	Vygotskiy_	Problemy
1	в то же время	2	26
2	бы то ни было	1	6
3	в том что он	1	5
4	в одной плоскости с	1	4
5	в то время как	6	3
6	одно и то же	1	3
7	с другой стороны и	2	3
8	дело в том что	1	2
9	отношении друг к другу	1	2
10	и т п все	2	2
11	те же и что	1	1
12	никогда не может быть	2	1
13	мы его не видим	1	1
14	какого бы то ни	1	1
15	само по себе не	1	1
16	во что бы то	1	1
17	что с точки зрения	1	1
18	лежат в одной плоскости	1	1
19	с одной стороны и	1	1
20	она резко отличается от	1	1
21	само по себе как	1	1
22	он не может найти	1	1
23	не бывает и в	1	1
24	и т п с	1	1
25	в сущности ничего не	1	1
26	ни на минуту не	1	1
27	в зависимости от того	1	1
28	мы видели что в	1	1
29	и т п но	1	1
30	не может найти в	1	1
31	и не может быть	1	1
32	что на самом деле	1	1
33	материала для социологии стиля	1	1
34	о том что он	1	1
35	что бы то ни	1	1
36	бы то ни стало	1	1
37	одного и того же	1	1
38	в собственном смысле слова	2	1
39	один и тот же	2	1
40	и в самом деле	3	1
41	того что на самом	1	1
42	заключается в том что	7	1
43	все больше и больше	2	1
44	в том числе и	1	1
45	сам по себе и	1	1
46	т п все это	2	1
47	не в самом деле	1	1
48	но в таком случае	1	1
49	несмотря на то что	2	1
50	вопрос о том что	1	1
51	и т п в	2	1
52	и т д и	1	1
53	само по себе но	1	1
54	и в сущности ничего	1	1
55	каково бы ни было	1	1
56	во всяком случае в	2	1
57	одну и ту же	1	1
58	на самом деле нет	1	1
59	если бы не было	1	1
60	и т п так	1	1
61	так же как и	2	1
62	не в том что	1	1
63	в том или ином	1	1
