N	3gram	Kanaev_Sov	Russkaja
1	друг с другом	2	14
2	то же время	1	10
3	в то же	1	10
4	с точки зрения	5	9
5	в том что	1	7
6	на самом деле	1	6
7	во всяком случае	2	6
8	до сих пор	1	5
9	в том случае	1	4
10	не может быть	4	4
11	бы то ни	1	4
12	той или иной	1	3
13	можно было бы	1	3
14	в данном случае	1	3
15	в этом случае	1	3
16	не может не	3	3
17	и не может	1	3
18	тот факт что	1	2
19	в этом направлении	1	2
20	по самому своему	1	2
21	в настоящее время	2	2
22	она не может	1	2
23	том случае когда	1	1
24	где это только	1	1
25	подлежит никакому сомнению	1	1
26	всюду где это	1	1
27	в самом деле	1	1
28	дело в том	1	1
29	ни одна не	1	1
30	что же это	3	1
31	мы уже знаем	1	1
32	уже знаем что	1	1
33	мы не знаем	1	1
34	не подлежит сомнению	2	1
35	так же как	1	1
36	по отношению к	1	1
37	и прежде всего	1	1
38	никакому сомнению что	1	1
39	знаем что это	1	1
40	по крайней мере	1	1
41	с самого начала	3	1
42	не может но	1	1
43	самому своему существу	1	1
44	всяком случае не	1	1
45	то ни было	1	1
46	но мы знаем	1	1
47	но мы уже	1	1
48	заключает в себе	1	1
49	это только возможно	1	1
50	в связи с	1	1
51	то же самое	2	1
52	и все же	1	1
53	тем не менее	2	1
54	но все же	1	1
55	это то же	1	1
56	в свою очередь	2	1
57	прежде всего необходимо	1	1
58	не подлежит никакому	1	1
59	на этот вопрос	1	1
60	данном случае и	1	1
61	тот или иной	1	1
62	и в этом	1	1
