N	3gram	Medvedev_F	Istorich
1	и т д	11	142
2	с другой стороны	4	46
3	мы видим что	1	30
4	до сих пор	7	30
5	в этом случае	1	29
6	с одной стороны	5	28
7	так же как	1	27
8	мы знаем что	1	26
9	в том что	3	25
10	не может быть	11	24
11	вместе с тем	5	23
12	но все же	2	23
13	тем не менее	2	23
14	мы имеем в	1	19
15	в связи с	9	17
16	мы уже знаем	1	15
17	в данном случае	2	15
18	по отношению к	4	14
19	таким образом мы	1	13
20	мы увидим что	1	13
21	но и в	4	12
22	как мы видели	5	12
23	не что иное	1	11
24	во всех этих	1	11
25	т е в	2	11
26	что иное как	1	11
27	как и в	1	10
28	что и в	2	10
29	уже знаем что	1	9
30	как мы увидим	3	9
31	более или менее	7	9
32	же как и	1	9
33	на этот вопрос	1	8
34	но вместе с	1	8
35	в зависимости от	4	8
36	в большинстве случаев	5	7
37	с этой стороны	1	7
38	смысле этого слова	4	7
39	с тем что	3	7
40	во всяком случае	6	7
41	что он не	1	7
42	и в других	1	6
43	это значит что	1	6
44	этой точки зрения	1	6
45	в своей работе	2	6
46	все же не	1	6
47	с этой точки	1	6
48	это может быть	1	6
49	но тем не	1	6
50	с самого начала	2	6
51	мы не можем	3	6
52	то что он	1	5
53	для того чтобы	3	5
54	в отличие от	2	5
55	со всех сторон	1	5
56	в том чтобы	3	5
57	в нем и	2	5
58	в других случаях	1	5
59	в том числе	1	5
60	есть не что	1	5
61	то же происходит	1	5
62	так и в	6	5
63	мы и здесь	1	5
64	на самом деле	7	5
65	мы здесь не	1	4
66	влечет за собой	1	4
67	они должны были	1	4
68	так или иначе	1	4
69	не только на	1	4
70	на своем пути	1	4
71	и может быть	1	4
72	только то что	1	4
73	с точки зрения	17	4
74	состоит в том	1	4
75	тем что он	1	4
76	то же что	1	4
77	иметь в виду	1	4
78	по себе не	1	4
79	нам кажется что	1	4
80	сами по себе	4	4
81	в это время	1	4
82	и в особенности	1	4
83	при помощи которой	1	4
84	но они не	1	4
85	между прочим и	1	4
86	одной стороны и	4	3
87	все то что	1	3
88	ложные представления о	1	3
89	как один из	2	3
90	и многие другие	1	3
91	что в данном	1	3
92	не только с	1	3
93	не только не	2	3
94	и тем самым	2	3
95	по этому поводу	1	3
96	к тому что	3	3
97	это не так	1	3
98	и здесь нет	1	3
99	есть еще одна	1	3
100	по сравнению с	1	3
101	не в том	3	3
102	не могло быть	1	3
103	то ни было	1	3
104	мы увидим дальше	1	3
105	бы то ни	4	3
106	только в связи	1	3
107	но он не	1	3
108	таким образом в	1	3
109	т е к	1	3
110	в том смысле	3	3
111	каждый из этих	1	3
112	в связи со	2	3
113	именно так и	1	3
114	прежде всего мы	1	3
115	что в нем	2	3
116	увидим дальше что	1	3
117	а в связи	1	2
118	каждого из них	1	2
119	по себе но	1	2
120	т е его	1	2
121	по себе а	2	2
122	в том как	1	2
123	том отношении что	1	2
124	и т п	11	2
125	бы мы ни	1	2
126	не в этом	1	2
127	часто встречается в	1	2
128	в самом деле	5	2
129	и социальной жизни	1	2
130	друг от друга	2	2
131	она не может	1	2
132	в таком случае	1	2
133	ничего не говорят	1	2
134	сам по себе	2	2
135	в особенности в	1	2
136	ничего общего с	2	2
137	том числе и	1	2
138	между этими двумя	2	2
139	как если бы	2	2
140	то и другое	1	2
141	сама по себе	2	2
142	самом же деле	1	2
143	на самом же	1	2
144	все это не	1	2
145	все дело в	1	2
146	из того что	1	2
147	и входит в	1	2
148	в одном месте	1	2
149	и вступает в	1	2
150	на первый план	1	2
151	к тому чтобы	2	2
152	только в том	1	2
153	всецело зависит от	1	2
154	и должно было	1	2
155	в виду что	1	2
156	не сам по	1	2
157	вместо того чтобы	1	2
158	не могут быть	4	2
159	т е что	1	2
160	очень близки к	1	2
161	и глубже чем	2	2
162	может быть и	4	2
163	но все эти	2	2
164	т е на	1	2
165	и должен быть	1	2
166	но оно не	1	2
167	только тем что	1	2
168	совершенно очевидно что	1	2
169	все новые и	1	2
170	имеют отношение к	1	2
171	так и с	1	2
172	и в конце	1	2
173	хотя бы в	4	2
174	это конечно не	1	2
175	в книге о	1	2
176	явлений связанных с	1	2
177	для нас это	1	2
178	и прежде всего	2	2
179	что они не	1	2
180	в этой роли	1	2
181	глубже чем это	1	2
182	и то и	1	2
183	на то чтобы	2	2
184	со всем что	1	2
185	и в том	1	2
186	но эти случаи	1	2
187	и не может	5	2
188	то что было	1	2
189	с тем это	1	2
190	в свою очередь	6	2
191	большей или меньшей	1	2
192	равно как и	1	2
193	тем что в	1	2
194	и пр то	1	2
195	но есть еще	1	2
196	так как они	1	2
197	они никогда не	1	2
198	и сам он	1	2
199	по этому вопросу	1	2
200	в общих чертах	1	2
201	в том отношении	1	2
202	новые и новые	1	2
203	вне связи с	1	2
204	и в какой	2	2
205	эти две формы	1	2
206	не мешает ему	1	2
207	она до сих	1	1
208	всего этого не	1	1
209	другую сторону и	1	1
210	еще одну особенность	1	1
211	что в литературе	1	1
212	к которому отнесены	1	1
213	что не мешает	1	1
214	речи и т	1	1
215	и в этих	1	1
216	же это за	1	1
217	том что искусство	2	1
218	ее и этим	1	1
219	а не как	1	1
220	их функций в	1	1
221	и пр необходимо	1	1
222	в действиях в	1	1
223	не в формах	1	1
224	может быть наиболее	1	1
225	мы не найдем	1	1
226	говоря уже о	1	1
227	в предыдущей главе	1	1
228	и др но	1	1
229	чтобы вслед за	1	1
230	конечно не может	1	1
231	это приводит к	2	1
232	то что уже	1	1
233	а с точки	1	1
234	органической связи с	1	1
235	но и с	2	1
236	вместе с ними	1	1
237	и некоторые другие	1	1
238	в пределах которого	1	1
239	сводится к тому	2	1
240	но при этом	1	1
241	при помощи этого	1	1
242	и должна быть	1	1
243	ему в то	1	1
244	становится особенно ясным	1	1
245	что он в	1	1
246	с тем и	2	1
247	прежде всего и	1	1
248	по аналогии с	4	1
249	и извне и	1	1
250	каждого из этих	1	1
251	в отдельности и	1	1
252	можно говорить о	1	1
253	эта связь может	1	1
254	не столько с	1	1
255	чем иным как	1	1
256	с обратным знаком	1	1
257	к отказу от	1	1
258	к какому выводу	1	1
259	и пр в	1	1
260	в первой главе	1	1
261	но в этом	2	1
262	в целом и	1	1
263	не входит в	1	1
264	не менее в	1	1
265	совершенно естественно что	1	1
266	ни к какому	1	1
267	к вопросу о	1	1
268	они были не	1	1
269	быть дана только	1	1
270	и пр это	1	1
271	но и непосредственно	1	1
272	все эти формы	1	1
273	и потому не	1	1
274	а также и	1	1
275	с ним на	1	1
276	и здесь не	2	1
277	это то что	1	1
278	первый и основной	1	1
279	не по существу	1	1
280	и к ней	1	1
281	друг друга не	1	1
282	в узком смысле	1	1
283	не один а	1	1
284	происходит и в	1	1
285	и нисколько не	1	1
286	он является если	1	1
287	некоторые изменения и	1	1
288	в целом его	1	1
289	как мы знаем	2	1
290	прежде всего то	1	1
291	в ней и	2	1
292	может быть дана	1	1
293	в социальной жизни	2	1
294	в чем же	1	1
295	важен как фактор	1	1
296	как это делается	1	1
297	в развитии этого	1	1
298	может быть даже	1	1
299	нами в предыдущей	1	1
300	главным образом на	2	1
301	в этом смысле	3	1
302	не в своей	1	1
303	все в этом	1	1
304	и состоит в	1	1
305	или сам становится	1	1
306	связи с этим	4	1
307	друг другу и	1	1
308	до тех пор	1	1
309	что он уже	1	1
310	и с помощью	1	1
311	в эту сторону	1	1
312	в частности вопрос	1	1
313	и в частности	2	1
314	вовсе не есть	1	1
315	смысле в каком	1	1
316	как и все	2	1
317	все эти вопросы	1	1
318	никогда не скажет	1	1
319	ситуация при которой	1	1
320	этого слова а	1	1
321	в пределах одного	1	1
322	как это делали	1	1
323	и все в	1	1
324	образом не только	1	1
325	остановиться на одном	1	1
326	сам он не	1	1
327	языка не может	1	1
328	и в каждом	2	1
329	большинстве случаев очень	1	1
330	случае уже не	1	1
331	ведется от лица	1	1
332	сказать что и	1	1
333	по тем же	1	1
334	таким образом оказывается	1	1
335	все это в	1	1
336	прежде всего в	5	1
337	ее т е	1	1
338	с этой теорией	1	1
339	является не чем	1	1
340	имеющие отношения к	1	1
341	в большей или	1	1
342	кажется что из	1	1
343	в самом начале	1	1
344	тем более не	1	1
345	и пр каждый	1	1
346	в более или	1	1
347	не имеющие отношения	1	1
348	что же это	1	1
349	сюжет или мотив	1	1
350	том смысле что	2	1
351	до известной степени	3	1
352	с помощью своего	1	1
353	он уже не	1	1
354	же и в	1	1
355	здесь может быть	1	1
356	в процессе развития	1	1
357	она должна быть	1	1
358	тут-то и вступает	1	1
359	то или иное	1	1
360	т е она	1	1
361	т е он	1	1
362	должно было бы	1	1
363	в частности например	1	1
364	к его пониманию	1	1
365	в жизни и	1	1
366	что связано с	1	1
367	тот или другой	1	1
368	и пр но	2	1
369	эти два вида	1	1
370	социальной жизни и	3	1
371	может быть уже	1	1
372	можно будет установить	1	1
373	с другой все	1	1
374	изнутри и извне	1	1
375	могут быть найдены	1	1
376	на эти вопросы	1	1
377	в этом отношении	7	1
378	не непосредственно а	1	1
379	в том случае	2	1
380	если представить себе	1	1
381	в литературе нет	1	1
382	не чем иным	1	1
383	в такой же	1	1
384	можно указать на	1	1
385	что перед нами	2	1
386	сам он становится	1	1
387	в то что	1	1
388	в этой книге	1	1
389	тех или иных	1	1
390	не было и	1	1
391	должен был получиться	1	1
392	что между ними	1	1
393	отношении что они	1	1
