N	2gram	Propp_Isto	BTomashe
1	у нас	4	3
2	все это	9	2
3	в ней	4	2
4	можно было	3	2
5	больше чем	2	2
6	и не	12	2
7	видеть в	3	2
8	вопрос о	6	1
9	и о	2	1
10	некоторого единства	1	1
11	и нет	3	1
12	не только	30	1
13	а о	1	1
14	всего в	1	1
15	таким образом	15	1
16	изучение и	1	1
17	не было	3	1
18	прежде всего	6	1
19	и в	41	1
20	так и	8	1
21	на которой	1	1
22	в своей	4	1
23	во всяком	3	1
24	и потому	1	1
25	и во	1	1
26	также что	1	1
27	же не	2	1
28	как часть	1	1
29	с другой	20	1
30	об этом	7	1
31	как будто	4	1
32	этой книги	1	1
33	не о	1	1
34	другой стороны	17	1
35	всяком случае	3	1
36	кроме того	6	1
37	было бы	4	1
38	стоит на	3	1
39	и ее	6	1
40	только одной	1	1
41	чем на	1	1
42	одной из	4	1
43	в данном	8	1
44	должна быть	3	1
45	необходимо отметить	1	1
46	об исторических	1	1
47	в области	3	1
48	далеко не	3	1
49	тем более	2	1
50	не вполне	5	1
51	и более	2	1
52	имеющихся в	2	1
53	что все	1	1
54	не все	4	1
55	нельзя не	1	1
56	никак не	2	1
57	в книге	5	1
58	его не	4	1
59	также не	3	1
60	а не	9	1
61	и на	12	1
62	между ними	1	1
63	еще не	13	1
64	к ней	3	1
65	все же	14	1
66	что в	21	1
67	материала по	3	1
