N	3gram	Propp_Isto	VrazhdaK
1	в связи с	5	3
2	в том что	6	2
3	не может быть	8	2
4	но в то	1	2
5	это время он	1	1
6	что в жизни	1	1
7	его отношения к	1	1
8	потому что исследователи	1	1
9	в то время	3	1
10	они не совсем	1	1
11	в себе силы	1	1
12	равно как и	1	1
13	за что же	1	1
14	во время сна	1	1
15	он как бы	1	1
16	ли не самым	1	1
17	о том как	2	1
18	точно так же	8	1
19	так же как	6	1
20	но это не	1	1
21	на то что	5	1
22	в соответствии с	1	1
23	что они не	1	1
24	в этом смысле	1	1
25	не только не	1	1
26	о том что	5	1
27	его в том	1	1
28	при этом он	1	1
29	не вдаваясь в	2	1
30	об этом говорят	1	1
31	до сих пор	11	1
32	в высшей степени	1	1
33	но об этом	1	1
34	в это время	2	1
35	ему нужно было	1	1
36	тем не менее	7	1
37	едва ли не	1	1
38	с другой стороны	7	1
39	в другой раз	1	1
40	что это за	5	1
41	в третий раз	2	1
42	что у него	1	1
43	и в ней	3	1
44	но в целом	1	1
45	на первый взгляд	2	1
46	и уже по	1	1
47	и то же	1	1
48	в этом отношении	1	1
49	и что он	1	1
50	к себе не	1	1
51	все же не	2	1
52	и в этом	1	1
53	ответ на это	1	1
