N	4gram	Bakhtin_sl	Psycholo
1	в то время как	2	13
2	одной и той же	1	12
3	с этой точки зрения	1	10
4	одно и то же	2	7
5	в том что он	1	7
6	все более и более	1	4
7	в том что в	1	4
8	никогда не может быть	2	3
9	в то же время	15	3
10	том что он не	1	3
11	о которых мы говорили	2	3
12	одни и те же	1	3
13	дело в том что	1	3
14	приходится иметь дело с	2	3
15	привело к тому что	1	3
16	и т п то	1	2
17	и т п все	1	2
18	и т п в	2	2
19	т п все это	1	2
20	в том что оно	1	2
21	до сих пор не	2	2
22	с одной стороны и	2	2
23	все дело в том	1	2
24	бы то ни было	1	2
25	в двух планах в	2	2
26	или во всяком случае	2	2
27	и с точки зрения	1	1
28	именно в том что	1	1
29	как мы уже говорили	1	1
30	и т п и	1	1
31	лежащая в их основе	2	1
32	образом с одной стороны	1	1
33	и до наших дней	1	1
34	в тесной связи с	1	1
35	ни в какой степени	1	1
36	таким образом с одной	1	1
37	и потому не может	1	1
38	по самому своему существу	1	1
39	в каждый данный момент	4	1
40	и т п не	1	1
41	и т п так	1	1
42	в какой степени не	1	1
43	как и в поэзии	1	1
44	с одной стороны оно	1	1
45	в узком смысле слова	1	1
46	него те или иные	1	1
47	одной стороны и между	1	1
48	за тридевять земель от	1	1
49	и то же слово	2	1
50	так что они утрачивают	1	1
51	и т п но	2	1
52	и неподвижном состоянии оно	1	1
53	из области поэзии и	1	1
54	в одной плоскости с	1	1
55	и параллельно с этим	1	1
56	ни в чем не	1	1
57	а также и в	1	1
58	слов и т п	1	1
59	можно прямо сказать что	2	1
60	в том числе и	1	1
61	во всем ее объеме	1	1
62	на чужом языке и	1	1
63	с самого начала в	1	1
64	и связанная с ним	1	1
65	что они утрачивают свою	1	1
66	могут быть отнесены к	1	1
67	в целом ряде случаев	1	1
68	на каждом шагу в	1	1
69	могут быть сведены к	1	1
70	которая лежит в основе	1	1
