1	в то же время	4	7
2	одного и того же	1	4
3	с одной стороны и	1	3
4	дело в том что	4	3
5	имеем дело не с	2	2
6	и в то же	3	2
7	ни о чем не	1	2
8	одно и то же	5	2
9	мы имеем дело не	2	2
10	а в том что	1	2
11	себе более или менее	1	1
12	только в том что	1	1
13	свидетельствует о том что	3	1
14	том что он не	1	1
15	подобно тому как в	1	1
16	не только потому что	1	1
17	они предстают перед нами	1	1
18	подобно тому как мы	1	1
19	заключается в том что	2	1
20	принципиально не может быть	1	1
21	не может быть ни	3	1
22	не есть она сама	2	1
23	одном и том же	1	1
24	в том что он	2	1
25	в себе более или	1	1
26	когда она еще не	1	1
27	или по крайней мере	2	1
28	к одному и тому	1	1
29	одному и тому же	1	1
30	в том что и	1	1
