N	2gram	Bakhtin_Pr	Sovremen
1	не может	27	17
2	может быть	26	12
3	точки зрения	8	12
4	таким образом	10	11
5	в каждом	2	8
6	в этом	15	7
7	и в	38	7
8	не можем	2	7
9	мы можем	6	6
10	в результате	1	6
11	каждый раз	1	6
12	как и	7	6
13	ничего не	6	6
14	и не	42	6
15	с точки	6	5
16	прежде всего	13	5
17	все эти	5	5
18	и наконец	6	5
19	в дальнейшем	3	4
20	а в	6	4
21	вопрос о	1	4
22	это не	5	4
23	не только	9	4
24	мы должны	2	4
25	с помощью	7	4
26	как бы	22	4
27	нет и	3	4
28	жизни и	1	4
29	вместе с	1	4
30	в целом	3	4
31	в том	8	4
32	из них	1	4
33	и к	3	3
34	и потому	4	3
35	и мы	1	3
36	то же	5	3
37	при этом	5	3
38	можем назвать	1	3
39	не в	7	3
40	а не	5	3
41	для нас	1	3
42	все это	3	3
43	как он	1	3
44	в одном	1	3
45	у нас	2	3
46	основной вопрос	1	3
47	в наших	1	3
48	было бы	8	3
49	в первом	1	3
50	ли мы	3	3
51	в этой	1	3
52	и все	3	3
53	мы называем	1	3
54	в себе	4	3
55	ясно что	3	3
56	не подлежит	1	3
57	он может	2	3
58	одна из	2	3
59	все же	6	3
60	в области	11	3
61	отличается от	2	3
62	отнюдь не	19	3
63	в нем	15	3
64	но в	4	3
65	еще не	7	3
66	что в	7	2
67	этих двух	1	2
68	тем не	3	2
69	в самом	7	2
70	дает нам	2	2
71	совершенно не	7	2
72	значение в	1	2
73	и что	2	2
74	отличие от	5	2
75	и пр	2	2
76	о значении	4	2
77	с одной	3	2
78	принципиально не	4	2
79	в отличие	5	2
80	в свою	2	2
81	в его	43	2
82	не будем	3	2
83	не дает	2	2
84	в которую	1	2
85	еще более	1	2
86	то ни	3	2
87	с совершенно	2	2
88	что это	2	2
89	или же	1	2
90	быть и	1	2
91	в некоторых	2	2
92	реальный момент	1	2
93	из которых	2	2
94	только один	1	2
95	может иметь	5	2
96	говорить о	3	2
97	все те	1	2
98	представлять себе	4	2
99	на их	1	2
100	для его	1	2
101	не могут	2	2
102	в виде	2	2
