N	3gram	Propp_Isto	DiskursI
1	в том что	7	28
2	по отношению к	3	17
3	с одной стороны	11	14
4	не может быть	5	12
5	в данном случае	7	12
6	о том что	9	9
7	состоит в том	1	8
8	как и в	3	7
9	тогда как в	1	7
10	так и в	3	6
11	к тому же	1	6
12	с точки зрения	1	6
13	одной стороны и	1	5
14	то же самое	1	5
15	с другой стороны	17	5
16	и может быть	1	5
17	не только в	9	5
18	тем не менее	4	4
19	можно сказать что	1	4
20	а с другой	1	4
21	и не может	1	4
22	в свое время	1	4
23	и мн др	1	4
24	в этом случае	4	4
25	более или менее	3	3
26	в качестве примера	1	3
27	в обоих случаях	1	3
28	далеко еще не	1	3
29	на первый взгляд	5	3
30	а не в	1	3
31	как в сказании	2	3
32	в одной из	2	3
33	в себе не	1	3
34	том что в	2	3
35	во всяком случае	3	3
36	на передний план	2	3
37	это прежде всего	1	3
38	бы то ни	1	2
39	в большинстве случаев	1	2
40	на том что	2	2
41	в предыдущей главе	1	2
42	он не может	1	2
43	отличие от рассмотренных	1	2
44	между мифом и	1	2
45	не представляет собой	3	2
46	сами по себе	1	2
47	но в данном	1	2
48	в этом мире	1	2
49	по себе не	1	2
50	а в том	2	2
51	то ни было	1	2
52	лицом к лицу	1	2
53	жизнью и смертью	1	2
54	мысль о том	1	2
55	но и в	4	2
56	в том чтобы	2	2
57	и в особенности	1	2
58	только то что	1	2
59	все же не	1	2
60	только в том	1	2
61	как в мифе	1	2
62	а потом и	1	2
63	как мы видели	3	2
64	и то что	1	2
65	тех случаях когда	6	2
66	легко может быть	1	2
67	в тех случаях	7	2
68	все того же	1	2
69	что он не	1	1
70	но все эти	1	1
71	тем более не	1	1
72	в этом направлении	1	1
73	и тем самым	1	1
74	он как бы	1	1
75	о том как	3	1
76	но они же	1	1
77	на обе стороны	1	1
78	но и на	2	1
79	мы можем видеть	1	1
80	том что на	1	1
81	так например в	1	1
82	дело не в	3	1
83	она сводится к	1	1
84	на определенной стадии	1	1
85	в самом деле	1	1
86	но далеко не	1	1
87	и он мог	1	1
88	подойти к ней	1	1
89	для того чтобы	1	1
90	героя а его	1	1
91	у него в	1	1
92	свою принадлежность к	1	1
93	говорит о том	1	1
94	друг на друга	2	1
95	на спине и	1	1
96	что у него	5	1
97	так или иначе	2	1
98	до сих пор	4	1
99	в иных случаях	1	1
100	за тридевять земель	8	1
101	от рассмотренных выше	1	1
102	не согласиться с	1	1
103	нет у них	1	1
104	не в качестве	1	1
105	мог быть только	1	1
106	что они не	1	1
107	не могло быть	2	1
108	не только на	1	1
109	но не исчезает	1	1
110	при этом он	1	1
111	имеет отношение к	1	1
112	как в сказке	2	1
113	в связи с	1	1
114	и на примере	1	1
115	вообще ничего не	1	1
116	при этом на	1	1
117	но все же	3	1
118	в другом месте	2	1
119	и в современной	1	1
120	все дело в	1	1
121	но это не	3	1
122	и не стоит	1	1
123	из потустороннего мира	1	1
124	полном соответствии с	1	1
125	мы все же	1	1
126	могло и не	1	1
127	во второй половине	1	1
128	возу с сеном	1	1
129	в ответ на	3	1
130	мы видели не	1	1
131	в этих случаях	12	1
132	а не с	1	1
133	и потому что	1	1
134	отца к сыну	4	1
135	ситуации в которой	1	1
136	с первых слов	1	1
137	можно предположить что	3	1
138	вместе с тем	6	1
139	в полном соответствии	1	1
140	той ситуации в	1	1
141	и те же	1	1
142	на русском языке	1	1
143	на то что	1	1
144	мере того как	1	1
145	в этом же	1	1
146	как и вся	1	1
147	а иногда и	1	1
148	в которой он	1	1
149	ту или иную	1	1
150	по мере того	1	1
151	но в целом	1	1
152	от отца к	4	1
153	то что в	4	1
154	и что это	1	1
155	не в состоянии	1	1
156	от тестя к	3	1
157	и тем более	1	1
158	но тут же	1	1
159	такой же как	2	1
160	хотя и не	1	1
161	одна из этих	2	1
162	у того же	1	1
163	сказка никогда не	1	1
164	он представляет собой	1	1
165	но еще не	1	1
166	власти от тестя	2	1
167	он вступает в	1	1
168	и должны быть	1	1
169	что во всех	1	1
170	одной стороны он	1	1
171	можно было бы	3	1
172	однако и в	1	1
173	только потому что	1	1
174	о потустороннем мире	1	1
175	во всех этих	6	1
176	в этой связи	1	1
177	с ней и	1	1
178	том что он	1	1
179	то чего не	1	1
180	при встрече с	1	1
181	в общих чертах	1	1
182	и не могло	1	1
183	до наших дней	1	1
184	в сказке но	2	1
185	одна из них	1	1
186	как бы в	1	1
187	при переходе от	1	1
188	оно может быть	1	1
189	ее к себе	1	1
190	к себе и	2	1
191	исторического бытия в	1	1
192	к этому же	1	1
193	в какой ситуации	1	1
194	в чистом виде	1	1
195	тестя к зятю	3	1
196	имеем дело с	1	1
197	после того как	4	1
198	может быть названо	1	1
199	а не от	1	1
