N	3gram	Losev_Dial	Psycholo
1	в том что	12	78
2	для того чтобы	1	70
3	на то что	3	55
4	в самом деле	6	51
5	и т п	1	37
6	заключается в том	1	36
7	о том что	6	34
8	совершенно ясно что	1	33
9	то же самое	1	31
10	с точки зрения	25	29
11	с одной стороны	3	28
12	не может быть	12	23
13	до сих пор	1	23
14	и т д	38	22
15	к тому что	2	20
16	с другой стороны	3	20
17	на самом деле	1	17
18	мы видим что	2	16
19	не только не	7	16
20	с самого начала	1	16
21	в зависимости от	3	15
22	так же как	2	14
23	во всяком случае	3	14
24	само по себе	8	14
25	в то время	6	14
26	в этом отношении	2	14
27	и в этом	4	13
28	то время как	6	13
29	сам по себе	6	12
30	этой точки зрения	4	12
31	в конце концов	1	12
32	и той же	4	12
33	одной и той	4	12
34	тот факт что	1	11
35	мы никогда не	1	11
36	в конечном счете	1	11
37	по сравнению с	1	11
38	подобно тому как	5	11
39	с этой точки	4	10
40	и то что	1	10
41	не в том	5	10
42	сами по себе	3	10
43	потому что в	1	9
44	таким образом что	1	9
45	в отличие от	1	9
46	и что в	1	9
47	точно так же	3	9
48	в данном случае	3	9
49	не в состоянии	1	9
50	и как бы	2	8
51	и то же	2	8
52	речь идет о	1	8
53	и таким образом	1	8
54	с тем что	1	8
55	что в нем	1	8
56	та же самая	1	7
57	в этом смысле	1	7
58	если бы мы	1	7
59	только то что	1	7
60	можно сказать что	1	7
61	одно и то	2	7
62	что и в	1	7
63	и так как	1	7
64	как и в	3	7
65	потому что она	2	6
66	сама по себе	11	6
67	по самому существу	1	6
68	и та же	3	6
69	и может быть	1	6
70	не что иное	6	6
71	до тех пор	1	6
72	мы не можем	2	6
73	тех пор пока	1	6
74	тем не менее	10	6
75	более или менее	1	6
76	что у него	1	6
77	по себе не	1	6
78	и в том	1	6
79	того или иного	3	6
80	то что мы	3	6
81	не только в	1	6
82	что иное как	6	6
83	ни в каком	8	5
84	о том как	2	5
85	в собственном смысле	1	5
86	в таком случае	11	5
87	сказать что в	1	5
88	и вместе с	1	5
89	что в основе	1	5
90	мы видим в	1	5
91	не было бы	1	5
92	и в частности	2	5
93	в жизни и	1	5
94	и во всех	1	5
95	показывает что в	1	5
96	в силу того	1	5
97	в том смысле	1	5
98	как бы в	1	5
99	не имеет никакого	3	5
100	потому что все	1	5
101	в лучшем случае	2	5
102	же как и	1	5
103	имеет в виду	1	4
104	в применении к	1	4
105	прямо сказать что	1	4
106	самом деле если	1	4
107	каждый из них	1	4
108	к тому же	2	4
109	ничего не может	1	4
110	заключается не в	1	4
111	есть не просто	1	4
112	из того что	2	4
113	но так как	1	4
114	и в этой	1	4
115	за то что	1	4
116	эта точка зрения	1	4
117	ясно что в	1	4
118	того и другого	1	4
119	что оно есть	1	4
120	вопрос о том	1	4
121	это было бы	3	4
122	том что у	2	4
123	то или иное	4	4
124	он не может	3	4
125	вовсе не в	3	4
126	не значит что	2	4
127	это не просто	1	4
128	том что в	1	4
129	и никогда не	1	4
130	по себе и	1	4
131	это вовсе не	1	4
132	только тогда когда	6	4
133	и не может	1	4
134	внимание на то	1	4
135	что это есть	4	4
136	от того что	4	4
137	если мы хотим	1	4
138	только потому что	1	4
139	принять во внимание	1	4
140	одна и та	3	4
141	на то как	1	4
142	и что он	1	4
143	это и есть	4	4
144	в основе своей	1	4
145	по себе а	2	3
146	что в ней	1	3
147	в себя и	1	3
148	в учении о	1	3
149	и что она	2	3
150	друг от друга	1	3
151	не потому что	2	3
152	в последнее время	2	3
153	и для этого	2	3
154	но если бы	1	3
155	что это не	3	3
156	на наших глазах	1	3
157	что она есть	5	3
158	а не только	2	3
159	мы не имеем	2	3
160	столько же сколько	1	3
161	во внимание что	1	3
162	целый ряд таких	1	3
163	как и на	1	3
164	ни одна из	1	3
165	не могут быть	3	3
166	нет никакой возможности	1	3
167	никак не могут	1	3
168	о котором мы	1	3
169	том смысле что	1	3
170	она должна быть	1	3
171	заключается только в	1	3
172	случае не может	1	3
173	на том же	1	3
174	иметь в виду	3	3
175	легко заметить что	2	3
176	в нем нет	2	3
177	по самому смыслу	1	3
178	бы то ни	2	3
179	то же время	3	3
180	о котором я	1	3
181	на этом примере	1	3
182	как только мы	3	3
183	так как мы	1	3
184	она не имеет	1	3
185	что в сущности	1	3
186	в это время	1	3
187	не может и	1	3
188	той же самой	1	3
189	есть в сущности	2	3
190	в то же	3	3
191	то и другое	2	3
192	я не могу	1	3
193	и то и	1	3
194	то обстоятельство что	1	3
195	то что все	1	3
196	одной стороны и	1	2
197	что мы не	1	2
198	не только то	1	2
