N	4gram	Ircho_Kome	Freidism
1	в то же время	5	6
2	ни в чем не	1	4
3	в том что он	4	2
4	бы то ни было	4	2
5	какую бы то ни	1	1
6	необходимо вкратце остановиться на	1	1
7	впечатление которое производит на	1	1
8	ни в коем случае	1	1
9	не следует упускать из	1	1
10	как мы уже знаем	1	1
11	же что и в	1	1
12	тот же что и	1	1
13	ответ на это дает	1	1
14	в то время когда	1	1
15	во всяком случае в	1	1
16	в том что в	1	1
17	можно сделать вывод что	1	1
18	от начала до конца	1	1
19	до сих пор не	1	1
20	которую можно было бы	1	1
21	не что иное как	1	1
