N	2gram	Medvedev_F	Freidism
1	таким образом	28	34
2	и не	34	34
3	точки зрения	21	31
4	не может	26	30
5	и пр	30	29
6	в этом	39	28
7	может быть	30	28
8	и в	54	28
9	прежде всего	34	26
10	в его	30	25
11	и его	27	22
12	с помощью	13	20
13	как бы	10	19
14	как мы	10	18
15	то что	14	17
16	вовсе не	18	16
17	с точки	17	15
18	точка зрения	3	15
19	все эти	12	15
20	так как	4	15
21	с ним	3	14
22	в своей	16	14
23	так и	24	14
24	самом деле	12	14
25	в душе	2	13
26	и все	9	13
27	как и	18	13
28	по отношению	4	13
29	но в	9	13
30	во всех	9	13
31	в самом	17	12
32	то же	16	12
33	ни в	3	12
34	что он	8	12
35	том что	3	12
36	во внешнем	2	12
37	для него	9	12
38	все это	11	12
39	и потому	9	12
40	и наконец	7	12
41	мы видели	5	12
42	только в	6	11
43	мы знаем	3	11
44	сказать что	3	11
45	отношению к	4	11
46	его в	5	11
47	один из	4	10
48	не только	14	10
49	и с	17	10
50	но и	18	10
51	конечно не	5	10
52	что же	6	10
53	никогда не	6	10
54	в том	17	10
55	мы уже	1	10
56	он не	8	10
57	все те	2	10
58	за пределы	2	10
59	не в	16	10
60	и на	10	9
61	те же	1	9
62	уже не	9	9
63	во всяком	6	9
64	совершенно не	5	9
65	мы не	6	9
66	с его	12	9
67	к этому	3	9
68	к нему	3	9
69	в чем	2	9
70	а не	11	9
71	и др	8	9
72	могут быть	7	9
73	при этом	14	8
74	все же	8	8
75	еще не	6	8
76	с этим	6	8
77	было бы	10	8
78	и вот	2	8
79	знаем что	2	8
80	а в	11	8
81	по мнению	1	8
82	с другими	11	8
83	на этом	2	8
84	в ней	15	8
85	всяком случае	6	8
86	что в	10	7
87	и к	7	7
88	не могут	8	7
89	связь с	1	7
90	в жизни	3	7
91	роль в	2	7
92	так сказать	6	7
93	его жизни	1	7
94	хотя бы	10	7
95	в каком	1	7
96	если мы	5	7
97	до конца	9	7
98	и для	5	7
99	из них	5	7
100	сознания с	1	7
101	того что	7	7
102	не является	3	7
103	но не	5	7
104	с самого	2	7
105	в нем	25	7
106	быть и	5	7
107	в этой	10	7
108	отношение к	4	7
109	в себе	4	7
110	жизни и	10	7
111	и прежде	3	7
112	в то	14	7
113	и ее	15	7
114	более того	6	7
115	этого периода	1	6
116	учение о	4	6
117	если он	4	6
118	в корне	6	6
119	сознанием и	1	6
120	не менее	12	6
121	к тому	6	6
122	для марксизма	3	6
123	можно сказать	2	6
124	в основе	7	6
125	в свою	8	6
126	для того	3	6
127	же время	13	6
128	из этих	4	6
129	высшей степени	4	6
130	мы имеем	1	6
131	ни о	3	6
132	как раз	8	6
133	что такое	2	6
134	на самом	8	6
135	здесь в	2	6
136	сознания и	1	6
137	чем же	3	6
138	в таком	2	6
139	большинстве случаев	5	6
140	в психике	1	6
141	она не	8	6
142	совсем не	2	6
143	и что	2	6
144	в пределах	13	6
145	и о	3	6
146	в высшей	4	6
147	и только	5	6
148	для этого	6	6
149	всех этих	6	6
150	не можем	3	6
151	что это	1	5
152	марксизм и	1	5
153	в более	2	5
154	со всеми	3	5
155	в своих	3	5
156	ее в	3	5
157	конечно и	1	5
158	в процессе	17	5
159	с ними	1	5
160	вместе с	8	5
161	со стороны	7	5
162	на первый	1	5
163	тех же	2	5
164	того чтобы	4	5
165	увидим что	1	5
166	говорить о	4	5
167	и до	8	5
168	и те	2	5
169	самого начала	2	5
170	по поводу	1	5
171	во внутреннем	1	5
172	той же	2	5
173	это не	4	5
174	в ее	10	5
175	что и	10	5
176	с их	2	5
177	в которой	5	5
178	тому что	3	5
179	между ними	3	5
180	первый период	6	5
181	в этих	3	5
182	внутренней речи	1	5
183	и по	3	5
184	таким путем	1	5
185	не было	7	5
186	другими словами	1	5
187	во второй	3	5
188	не знает	1	5
189	как это	8	5
190	далеко не	2	5
191	только то	1	5
192	от того	2	5
193	в большинстве	6	5
194	заключается в	1	5
195	ничего не	5	5
196	в общем	8	5
197	отнюдь не	13	5
198	с которыми	1	4
199	все основные	1	4
200	мы и	1	4
201	в последнем	2	4
202	как с	2	4
203	в основном	3	4
204	смысле слова	1	4
205	уже знаем	1	4
206	сам по	2	4
207	характер и	2	4
208	борьбы с	3	4
209	в виду	2	4
210	сводится к	6	4
211	по себе	10	4
212	если бы	8	4
213	общения между	1	4
214	именно и	1	4
215	так называемый	1	4
216	именно в	12	4
217	в собственном	1	4
218	может стать	1	4
219	подхода к	4	4
220	как в	12	4
221	этот вопрос	2	4
222	зависимости от	5	4
223	и истории	5	4
224	из которого	1	4
225	ничего общего	2	4
226	это и	7	4
227	данном случае	2	4
228	из тех	1	4
