N	2gram	Bakhtin_KF	Myshleni
1	в том	6	195
2	в этом	15	167
3	то что	7	166
4	и в	28	162
5	том что	4	161
6	точки зрения	13	143
7	что в	4	119
8	мышления и	2	117
9	не только	5	116
10	того что	3	109
11	в процессе	2	101
12	потому что	2	95
13	того чтобы	2	91
14	может быть	45	89
15	с точки	10	89
16	что он	2	86
17	не может	29	81
18	как и	5	79
19	для того	3	78
20	так как	1	78
21	и не	28	78
22	только в	18	75
23	в целом	10	74
24	как мы	1	72
25	но и	9	70
26	в его	42	67
27	как бы	9	64
28	вместе с	1	62
29	было бы	8	60
30	в качестве	2	60
31	то же	5	58
32	в основе	5	58
33	в отношении	1	55
34	между собой	1	53
35	что мы	1	53
36	в самом	1	52
37	мы должны	1	50
38	к тому	1	49
39	тем что	3	48
40	мы можем	1	48
41	понятий и	1	47
42	тогда когда	3	47
43	на основе	7	47
44	мы не	3	47
45	если бы	8	46
46	по отношению	26	45
47	но не	12	45
48	в мышлении	1	44
49	с тем	2	43
50	тем самым	4	43
51	тому что	2	42
52	как это	1	42
53	отношению к	22	42
54	не является	1	41
55	о том	3	40
56	по своей	1	40
57	никогда не	5	39
58	так и	2	39
59	в области	2	38
60	и к	1	37
61	вопрос о	2	37
62	если мы	1	37
63	мы видим	1	37
64	не в	13	37
65	в этой	2	37
66	в своем	17	36
67	все эти	11	36
68	как в	2	36
69	а не	17	36
70	и его	18	36
71	того же	1	35
72	в себе	21	35
73	в которой	1	35
74	и т.д	4	35
75	он не	6	35
76	для себя	7	35
77	и как	2	34
78	приводит к	1	34
79	прежде всего	4	33
80	при этом	4	33
81	по себе	2	33
82	именно в	5	32
83	и на	3	32
84	той же	1	32
85	по своему	3	32
86	же самое	1	32
87	что и	7	32
88	и тем	3	32
89	но в	5	32
90	слова и	1	32
91	все же	5	31
92	и то	2	31
93	мысли и	1	30
94	на то	1	30
95	этого слова	2	29
96	между тем	4	29
97	могут быть	3	29
98	от того	3	29
99	с этим	1	28
100	самом деле	3	28
101	только что	1	27
102	в результате	1	27
103	в то	3	27
104	и с	1	27
105	в своей	11	27
106	связь между	1	27
107	что все	1	27
108	в их	9	26
109	нашего исследования	1	26
110	что это	4	26
111	для него	13	26
112	мысли в	1	26
113	в чем	4	25
114	что она	1	25
115	еще не	5	25
116	все это	10	25
117	можно сказать	1	25
118	своего развития	1	25
119	только не	1	25
120	мы уже	1	25
121	это не	10	25
122	в смысле	6	24
123	тот же	3	24
124	зависимости от	1	24
125	в какой	1	24
126	что эта	2	24
127	в нем	32	24
128	оба эти	2	24
129	друг друга	1	23
130	ни в	12	23
131	связи между	1	23
132	слова в	2	23
133	во всяком	1	22
134	смысле этого	1	22
135	столь же	1	22
136	в известном	1	22
137	в зависимости	1	22
138	между ними	1	21
139	к этому	2	21
140	и ее	2	21
141	в нашем	1	21
142	его в	5	21
143	показать что	1	21
144	там где	5	21
145	и все	9	21
146	не имеет	6	21
147	в истории	1	21
148	в сознании	2	21
149	ее в	1	21
150	отношений между	1	21
151	отношение к	6	21
152	мышления как	2	20
153	в виду	3	20
154	не менее	3	20
155	в котором	24	20
156	в другом	3	20
157	и других	2	20
158	а в	5	20
159	едва ли	2	20
160	как раз	1	20
161	к выводу	1	20
162	на этом	1	20
163	должно быть	6	20
164	их развития	1	20
165	и их	6	20
166	но мы	1	19
167	во всех	11	19
168	а с	2	19
169	и по	1	19
170	один из	2	19
171	независимо от	3	19
172	в данном	2	19
173	с ним	5	19
174	в себя	8	19
175	из которых	2	19
176	во всем	7	18
177	к действительности	1	18
178	во всей	4	18
179	одного и	2	18
180	но это	6	18
181	этом смысле	3	18
182	всяком случае	1	18
183	чем в	1	18
184	в этих	1	17
185	в своих	4	17
186	к другим	1	17
187	их в	1	17
188	в одном	5	17
189	я не	6	17
190	не есть	22	17
191	сих пор	1	17
192	до сих	1	17
193	мысль не	2	17
194	это положение	1	17
195	в свою	3	17
196	тем же	1	17
197	до конца	3	17
198	и для	10	17
199	смысловой стороны	1	17
200	для этого	2	17
201	мышлением и	1	17
202	все что	1	17
203	нами в	2	17
204	и того	2	17
205	ту же	1	17
206	и от	1	17
207	и есть	10	17
208	совпадает с	1	17
209	и только	7	17
210	слово и	1	16
211	мы имеем	5	16
212	вовсе не	7	16
213	такой же	1	16
214	и даже	1	16
215	между отдельными	1	16
216	по поводу	1	16
217	для нас	4	16
218	которую мы	1	16
219	мышление и	2	15
220	от этого	2	15
221	и это	12	15
222	со всеми	2	15
223	на все	1	15
224	хотя бы	5	15
225	отличается от	1	15
226	но как	5	15
227	известном смысле	1	15
228	значит что	1	15
229	том же	1	15
230	ничего не	3	15
