N	3gram	Savitsky_E	Istorich
1	и т д	1	142
2	с другой стороны	2	46
3	с одной стороны	8	28
4	так же как	5	27
5	в том что	6	25
6	не может быть	2	24
7	не только в	4	19
8	в связи с	1	17
9	мы видели что	1	16
10	в данном случае	2	15
11	на то что	2	14
12	в некоторых случаях	1	14
13	в то время	1	13
14	мы увидим что	1	13
15	то время как	1	13
16	но и в	1	12
17	как мы видели	2	12
18	в тех случаях	1	11
19	всех этих случаях	1	11
20	во всех этих	1	11
21	можно было бы	3	10
22	тех случаях когда	1	10
23	друг с другом	3	9
24	но так как	1	9
25	более или менее	1	9
26	же как и	3	9
27	приводит нас к	2	8
28	на этот вопрос	1	8
29	в северной америке	2	8
30	в большинстве случаев	2	7
31	смысле этого слова	1	7
32	то что в	2	7
33	с тем что	1	7
34	во всяком случае	3	7
35	к тому же	1	6
36	это значит что	1	6
37	этой точки зрения	5	6
38	с этой точки	5	6
39	это может быть	1	6
40	мы не можем	1	6
41	для того чтобы	5	5
42	в отличие от	1	5
43	в нем и	1	5
44	в других случаях	1	5
45	в том числе	1	5
46	так и в	2	5
47	на своем пути	1	4
48	с точки зрения	16	4
49	независимо от того	1	4
50	в одной из	1	4
51	не означает что	1	4
52	что наряду с	1	4
53	что мы знаем	1	4
54	через некоторое время	1	4
55	по себе не	2	4
56	при вступлении в	1	4
57	нам кажется что	2	4
58	можно сказать что	3	4
59	между прочим и	2	4
60	одной стороны и	6	3
61	а через некоторое	1	3
62	этот вопрос мы	1	3
63	что в этом	1	3
64	и тем самым	1	3
65	к тому что	1	3
66	что в тех	1	3
67	в одном из	2	3
68	один и тот	1	3
69	дело в том	1	3
70	но и для	1	3
71	и тот же	1	3
72	по сравнению с	2	3
73	само по себе	4	3
74	в соответствии с	1	3
75	то ни было	4	3
76	мы хотели бы	1	3
77	бы то ни	4	3
78	только тогда когда	1	3
79	в исторической перспективе	1	3
80	можно утверждать что	1	3
81	в том смысле	1	3
82	и не только	1	3
83	она никогда не	1	2
84	каждого из них	1	2
85	и тем более	1	2
86	как и другие	1	2
87	друг от друга	2	2
88	в частности в	2	2
89	сказать что в	2	2
90	том числе и	1	2
91	во многих случаях	1	2
92	в хозяйственной жизни	1	2
93	то и другое	1	2
94	из того что	2	2
95	нельзя сказать чтобы	1	2
96	же обстоит дело	1	2
97	к тому чтобы	2	2
98	может быть речи	1	2
99	только в том	2	2
100	во всех случаях	3	2
101	это мы видим	1	2
102	вместо того чтобы	1	2
103	не могут быть	1	2
104	может быть и	1	2
105	почти никогда не	1	2
106	вовсе не в	1	2
107	но и то	1	2
108	совершенно очевидно что	1	2
109	так и с	1	2
110	хотя бы в	2	2
111	это один из	1	2
112	и прежде всего	3	2
113	и то и	1	2
114	северной америке есть	1	2
115	на то чтобы	1	2
116	а именно в	1	2
117	в свою очередь	2	2
118	т е не	1	2
119	большей или меньшей	1	2
120	в качестве примера	1	2
121	чтобы ответить на	1	2
122	хотя и не	1	2
123	другой стороны в	1	2
124	иначе обстоит дело	2	2
125	вопрос о характере	1	1
126	но было бы	2	1
127	от того в	1	1
128	и в этих	1	1
129	говоря уже о	1	1
130	к предположению что	1	1
131	во многих отношениях	1	1
132	при помощи которого	1	1
133	кроме того что	1	1
