N	3gram	Trubetskoy	Myshleni
1	в том что	7	133
2	с точки зрения	9	89
3	для того чтобы	6	78
4	заключается в том	1	51
5	по отношению к	1	42
6	так же как	1	39
7	с самого начала	1	36
8	друг с другом	14	35
9	то же самое	1	31
10	в этом отношении	1	30
11	можно было бы	3	28
12	в этом случае	3	27
13	вместе с тем	3	26
14	на то что	4	25
15	о том что	2	25
16	не может быть	4	23
17	смысле этого слова	1	22
18	к тому что	2	22
19	в самом деле	1	19
20	и тем самым	2	19
21	состоит в том	1	18
22	во всяком случае	6	18
23	до сих пор	5	17
24	и того же	1	17
25	в связи с	1	17
26	одного и того	1	17
27	и то что	3	15
28	в данном случае	3	15
29	друг от друга	2	14
30	на этот вопрос	1	14
31	в свою очередь	1	14
32	точно так же	2	13
33	в другом месте	1	13
34	то и другое	1	13
35	в том чтобы	1	12
36	тем не менее	1	12
37	том числе и	1	10
38	тот факт что	2	10
39	от того что	1	10
40	в том числе	1	10
41	сама по себе	2	9
42	более или менее	4	9
43	на самом деле	6	9
44	друг к другу	1	9
45	только в том	2	8
46	в силу этого	1	8
47	речь идет о	1	8
48	мы говорили выше	1	8
49	той или иной	3	8
50	что он не	2	8
51	в том же	1	8
52	и вместе с	2	7
53	к тому чтобы	4	7
54	вопрос о том	1	7
55	в том виде	1	7
56	по сравнению со	1	6
57	в этом и	1	6
58	и таким образом	1	6
59	и в частности	1	6
60	именно в силу	1	6
61	в этом вопросе	1	6
62	заключает в себе	1	6
63	в лучшем случае	3	6
64	только то что	1	6
65	и не может	3	6
66	в том и	2	6
67	и как бы	1	5
68	указывает на то	1	5
69	но мы должны	1	5
70	так как это	1	5
71	но все же	1	5
72	остается в силе	1	5
73	того и другого	1	5
74	содержат в себе	1	5
75	и что в	1	5
76	прежде всего в	1	5
77	в конце концов	3	5
78	между собой и	1	5
79	не может не	3	5
80	с другом в	1	5
81	и в этом	1	5
82	и ту же	1	5
83	в то же	10	5
84	о которых мы	1	4
85	не могут не	2	4
86	таким же образом	2	4
87	должны были бы	1	4
88	которых мы говорили	1	4
89	одну и ту	1	4
90	к вопросу о	3	4
91	и во всяком	2	4
92	что с точки	1	4
93	эта точка зрения	1	4
94	в себе и	2	4
95	таким образом оказывается	1	4
96	несмотря на то	1	4
97	в значительной степени	1	4
98	том виде как	1	4
99	которая в свою	1	3
100	в применении к	1	3
101	то ни было	1	3
102	и в другом	2	3
103	она не может	2	3
104	подлежит никакому сомнению	1	3
105	но при этом	1	3
106	к тому же	1	3
107	так как оно	1	3
108	ее отношения к	1	3
109	то же время	10	3
110	и только в	1	3
111	в результате этого	1	3
112	дело в том	1	3
113	того или иного	2	3
114	из которых каждый	2	3
115	неизбежно приводит к	1	3
116	бы показать что	1	3
117	связаны друг с	1	3
118	но мы знаем	1	3
119	в совершенно ином	1	3
120	представить себе что	1	3
121	по самому своему	2	3
122	тех или иных	1	3
123	что оно является	1	3
124	что он может	1	3
125	совершенно очевидно что	1	3
126	бы то ни	4	3
127	не подлежит никакому	1	3
128	свою очередь является	1	3
129	в значительной мере	2	3
130	а следовательно и	2	3
131	в настоящее время	2	3
132	тем что они	1	3
133	с внешней стороны	1	3
134	то что для	1	3
135	потому что они	1	3
136	в этом направлении	2	2
137	не могло бы	1	2
138	образом оказывается что	1	2
139	точки зрения этой	2	2
140	с ним в	1	2
141	по отношению ко	1	2
142	как бы не	1	2
143	то что эта	1	2
144	тем более что	1	2
145	тогда когда они	2	2
146	имеют между собой	1	2
147	лишь постольку поскольку	1	2
148	во всех областях	1	2
149	за то что	1	2
150	не только для	1	2
151	никакому сомнению что	1	2
152	собой разумеется что	1	2
153	в тот или	1	2
154	что не только	1	2
155	не только к	2	2
156	и в своем	1	2
157	что оно есть	1	2
158	но на самом	1	2
159	совершенно ином виде	1	2
160	если только не	1	2
161	и все же	1	2
162	о котором мы	1	2
163	он еще не	1	2
164	бы обозначить как	1	2
165	до известной степени	1	2
166	он не может	1	2
167	в том случае	4	2
168	на точку зрения	1	2
169	в силе и	1	2
170	с другом не	1	2
171	по этому пути	1	2
172	потому что и	1	2
173	в большинстве случаев	2	2
174	или хотя бы	1	2
175	само собой разумеется	1	2
176	том случае если	3	2
177	котором мы говорили	1	2
178	в противоречие с	2	2
179	мы не знаем	1	2
180	том что для	1	2
181	что все это	1	2
182	и не только	1	2
183	и с точки	1	2
184	и вопрос о	1	2
185	когда речь идет	1	2
186	если бы все	1	2
187	только для того	1	2
188	и в некоторых	1	2
189	во всех этих	1	2
190	в другом случае	2	2
191	из которых каждая	1	2
192	сводится к тому	1	2
193	в единое целое	1	2
194	тот или иной	1	2
195	даже тогда когда	1	1
196	на целый ряд	1	1
197	связи между собой	1	1
198	мы уже знаем	1	1
199	тем сильнее чем	1	1
200	значение независимое от	1	1
201	говорили в начале	1	1
202	понятий благодаря этому	1	1
203	но совершенно очевидно	1	1
204	основе его лежит	1	1
205	о сущности и	1	1
206	мы подходим к	1	1
207	точка зрения приводит	1	1
208	всяком случае одно	1	1
209	свою точку зрения	1	1
210	может интересовать только	1	1
211	но даже и	1	1
212	превращается в какую-то	1	1
213	отдельные ее части	1	1
214	сами в этом	1	1
215	с другом как	1	1
