N	2gram	Medvedev_U	Morfolog
1	может быть	6	61
2	таким образом	2	26
3	могут быть	2	21
4	мы имеем	1	19
5	не может	7	19
6	в этом	7	18
7	и в	14	17
8	и не	8	16
9	прежде всего	8	14
10	по существу	2	13
11	и др	1	12
12	а не	10	11
13	что в	1	10
14	то же	5	10
15	но если	1	10
16	этом случае	1	10
17	в том	2	10
18	так и	1	10
19	что и	2	10
20	то что	7	10
21	все же	3	9
22	с другой	4	9
23	но и	4	9
24	не только	10	8
25	имеем в	1	8
26	мы не	2	8
27	в качестве	1	8
28	но не	2	8
29	не могут	2	7
30	том что	2	7
31	о том	1	6
32	не все	2	6
33	но это	2	6
34	это не	3	6
35	очень часто	1	6
36	из которых	1	5
37	другой стороны	3	5
38	что он	2	5
39	хотя бы	5	5
40	было бы	3	5
41	ничего не	2	5
42	на его	1	5
43	об этом	1	5
44	мы можем	1	5
45	сюда же	1	5
46	между тем	2	5
47	он не	1	5
48	далеко не	1	5
49	в некоторых	2	4
50	как и	3	4
51	самом деле	2	4
52	тем что	2	4
53	уже не	1	4
54	входит в	1	4
55	сказать что	1	4
56	и для	2	4
57	но в	3	4
58	к этому	1	4
59	в то	3	4
60	независимо от	1	4
61	это уже	2	3
62	только в	2	3
63	состоит из	1	3
64	на первый	2	3
65	не существует	1	3
66	и что	1	3
67	и вне	1	3
68	с его	2	3
69	что при	1	3
70	бы то	3	3
71	первый взгляд	1	3
72	того что	1	3
73	что такое	4	3
74	ее в	1	3
75	у нас	3	3
76	в виде	1	3
77	как таковое	1	3
78	но для	1	3
79	даже не	1	3
80	это было	2	3
81	форма в	1	3
82	и у	2	3
83	вопроса о	2	3
84	то ни	3	3
85	если бы	2	3
86	не в	2	3
87	в которой	1	3
88	в пределах	1	3
89	в этой	4	3
90	приводит к	1	3
91	не значит	1	3
92	же в	1	3
93	на то	1	3
94	и только	5	3
95	является в	2	2
96	которой все	1	2
97	как таковой	2	2
98	должна быть	2	2
