N	2gram	Vinokur_Ku	formyVre
1	и в	44	148
2	в этом	31	73
3	в нем	7	51
4	прежде всего	14	46
5	и т	62	40
6	и не	23	37
7	в его	16	36
8	и его	8	36
9	вовсе не	18	35
10	но и	13	33
11	то же	12	32
12	т п	39	32
13	не только	29	32
14	в литературе	1	32
15	но в	11	31
16	жизни и	1	31
17	так и	10	29
18	времени в	1	27
19	может быть	25	27
20	не в	18	26
21	как мы	2	26
22	как и	3	25
23	как бы	11	25
24	человеческой жизни	1	24
25	точки зрения	25	24
26	мы уже	1	24
27	только в	15	23
28	в то	4	23
29	в том	47	22
30	то что	14	22
31	связи с	8	21
32	во всех	1	21
33	жизни в	1	21
34	же время	4	21
35	все эти	17	21
36	в своем	4	19
37	и др	1	19
38	и на	8	19
39	в основном	1	19
40	и для	3	19
41	таким образом	17	18
42	у него	3	18
43	и все	4	18
44	еще не	10	18
45	по существу	9	18
46	при этом	6	17
47	те же	1	17
48	с этим	6	17
49	в особенности	6	17
50	так как	16	17
51	в пределах	8	17
52	все же	17	16
53	в условиях	1	16
54	в связи	4	16
55	того же	6	16
56	и во	1	16
57	и их	2	16
58	не может	13	16
59	в разных	2	15
60	в одном	4	15
61	в них	10	15
62	в дальнейшем	1	15
63	никогда не	2	15
64	с точки	16	15
65	так сказать	5	15
66	с его	4	15
67	i гл	1	15
68	вместе с	8	15
69	лишь в	6	15
70	и как	3	14
71	и с	11	14
72	так же	8	14
73	в конце	5	14
74	всех этих	4	14
75	а не	17	14
76	как раз	10	14
77	все это	10	14
78	в самом	20	13
79	в котором	4	13
80	для того	23	13
81	с ним	5	13
82	как в	6	13
83	роль в	6	13
84	здесь в	1	13
85	в их	3	13
86	в частности	6	13
87	того чтобы	25	13
88	а в	7	13
89	же в	5	13
90	конечно не	3	12
91	время в	2	12
92	не было	6	12
93	он не	4	12
94	значение и	2	12
95	отнюдь не	5	12
96	что в	25	12
97	это время	1	12
98	потому что	40	12
99	в истории	3	12
100	ничего не	6	12
101	но не	11	12
102	из них	4	11
103	хотя и	7	11
104	его в	1	11
105	между ними	2	11
106	и у	3	11
107	ни в	3	11
108	уже в	5	11
109	в ней	6	11
110	и другие	1	10
111	кроме того	2	10
112	уже не	13	10
113	и того	2	10
114	влияние на	1	10
115	в ее	2	10
116	вещей и	1	10
117	сих пор	5	10
118	также и	7	10
119	до сих	5	10
120	на основе	2	10
121	здесь не	5	10
122	тот же	7	10
123	в большинстве	3	10
124	и даже	5	9
125	но все	5	9
126	их в	1	9
127	на этой	4	9
128	с другой	14	9
129	наряду с	2	9
130	всего в	2	9
131	на протяжении	1	9
132	здесь нет	1	9
133	должно быть	6	9
134	к себе	4	9
135	и следовательно	2	9
136	и это	3	9
137	в других	1	9
138	могут быть	5	9
139	та же	1	9
140	отношения к	2	9
141	оно не	5	9
142	том что	30	9
143	в самой	6	9
144	для него	2	9
145	есть в	6	9
146	и других	1	9
147	одного и	2	9
148	и к	1	8
149	в результате	8	8
150	в виду	7	8
151	в этих	5	8
152	к тому	8	8
153	но эти	1	8
154	в некоторых	1	8
155	все его	1	8
156	с одной	3	8
157	что и	5	8
158	характер и	2	8
159	рядом с	7	8
160	здесь мы	2	8
161	и по	4	8
162	один из	8	8
163	в жизни	1	8
164	для себя	1	8
165	если бы	21	8
166	связанные с	3	8
167	большинстве случаев	3	8
168	до конца	3	8
169	и то	7	8
170	значение в	1	8
171	во всяком	8	8
172	это не	13	8
173	а также	3	8
174	на фоне	3	8
175	и потому	6	8
176	отношение к	2	8
177	отношению к	9	8
178	или иной	3	8
179	в целом	5	8
180	в той	6	7
181	еще более	1	7
182	не как	2	7
183	широком смысле	5	7
184	связанных с	2	7
185	к ним	2	7
186	к этому	4	7
187	из этих	5	7
188	в себе	4	7
189	но он	2	7
190	не знает	4	7
191	в которой	7	7
192	в себя	2	7
193	в форме	3	7
194	в процессе	1	7
195	например в	5	7
196	поэтому и	1	7
197	и он	4	7
198	себя и	1	7
199	нет ничего	1	7
200	было бы	28	7
201	не могло	1	7
202	в отличие	3	7
203	том же	3	7
204	т д	21	7
205	у них	1	7
206	того что	11	7
207	этот процесс	1	7
208	этом отношении	8	7
209	ее в	2	7
210	отличие от	3	7
211	место в	1	7
212	за счет	2	7
213	что было	2	6
214	все что	1	6
215	именно в	7	6
216	уже на	3	6
217	с тем	5	6
218	только для	3	6
219	на первый	1	6
220	о том	10	6
221	с помощью	12	6
222	в различных	1	6
223	ни одного	2	6
224	поэтому все	1	6
225	сказать что	5	6
226	в качестве	12	6
227	xviii века	1	6
228	в таком	3	6
229	здесь как	3	6
230	мы можем	2	6
231	ту же	6	6
232	одной стороны	2	6
233	а как	1	6
234	и самое	1	6
235	смысле слова	3	6
236	в сущности	11	6
237	в отношении	2	6
238	не могут	5	6
239	в которых	8	6
240	друг от	1	6
241	своей жизни	1	6
242	не является	2	6
243	тех же	2	6
244	слова и	8	6
245	в совершенно	2	6
246	литературы в	1	6
247	имеем в	1	6
248	нет и	1	6
