N	3gram	Tiupa_Anal	Marksizm
1	с точки зрения	6	46
2	не может быть	17	25
3	в самом деле	3	19
4	по отношению к	9	15
5	то же время	7	15
6	в то же	9	15
7	в том что	13	14
8	в связи с	2	14
9	и не может	4	12
10	то ни было	3	12
11	бы то ни	3	12
12	для того чтобы	3	11
13	до сих пор	1	11
14	в отличие от	8	10
15	одного и того	2	9
16	как если бы	1	9
17	и того же	2	9
18	но в то	2	9
19	в отношении к	1	8
20	то же самое	3	8
21	смысле этого слова	1	7
22	с другой стороны	2	7
23	в свою очередь	1	7
24	на то что	2	6
25	во всяком случае	1	6
26	если бы он	1	6
27	с одной стороны	6	6
28	отнюдь не является	1	5
29	одни и те	2	5
30	и как бы	1	5
31	в таком случае	5	5
32	к тому что	2	5
33	самом же деле	1	5
34	на самом же	1	5
35	той или иной	8	5
36	и те же	2	5
37	в этом случае	4	5
38	в этом отношении	5	5
39	внутреннего и внешнего	2	4
40	в первом случае	2	4
41	в зависимости от	1	4
42	так как если	1	4
43	оно ни было	1	4
44	о том что	8	4
45	можно сказать что	1	4
46	том что он	2	4
47	в той или	3	3
48	и тот же	2	3
49	не только в	3	3
50	в применении к	1	3
51	в данном контексте	1	3
52	тем не менее	3	3
53	и тем же	1	3
54	хотя бы и	1	3
55	в системе языка	1	3
56	в том числе	3	3
57	более или менее	2	3
58	и то же	2	3
59	друг с другом	2	3
60	том числе и	1	3
61	не могут быть	2	3
62	в значительной степени	1	3
63	или хотя бы	1	3
64	а не в	3	3
65	и в этом	4	3
66	в этом последнем	1	3
67	в науке о	1	3
68	языка и в	1	3
69	но и в	3	3
70	в данный момент	2	3
71	выходят за пределы	1	3
72	один и тот	1	3
73	какой бы то	2	3
74	и не в	4	3
75	и той же	1	3
76	на этот вопрос	1	3
77	одним и тем	1	3
78	одно и то	2	3
79	во внутренней речи	1	3
80	все без исключения	1	3
81	можно было бы	1	3
82	одной и той	1	3
83	тех пор пока	1	2
84	а не к	1	2
85	до известной степени	1	2
86	в этом смысле	3	2
87	самом деле в	1	2
88	именно здесь в	1	2
89	в собственном смысле	1	2
90	далеко за пределы	1	2
91	в коем случае	2	2
92	так или иначе	1	2
93	а между тем	1	2
94	между тем как	2	2
95	может быть ничего	1	2
96	в данном случае	3	2
97	в том или	3	2
98	к тому же	6	2
99	сама по себе	1	2
100	а не только	2	2
101	со всех сторон	1	2
102	в нашем случае	3	2
103	собственном смысле слова	1	2
104	сами по себе	3	2
105	того или иного	3	2
106	нет ничего что	1	2
