N	4gram	Bakhtin_Fr	StatiiOP
1	дело в том что	2	9
2	в то же время	12	9
3	заключается в том что	1	6
4	говорит о том что	1	5
5	о том что он	1	4
6	не имеет ничего общего	1	3
7	имеет ничего общего с	1	3
8	одним и тем же	1	3
9	в том числе и	2	2
10	с точки зрения их	1	2
11	о том что в	1	2
12	но в то же	3	2
13	и то обстоятельство что	1	2
14	в той или иной	1	2
15	и в этом отношении	1	2
16	новую фазу своего развития	1	1
17	и в том и	1	1
18	до сих пор еще	3	1
19	был тесно связан с	1	1
20	после того как он	2	1
21	в нос и в	1	1
22	в том же духе	1	1
23	было бы думать что	1	1
24	за то что тот	1	1
25	но на самом деле	1	1
26	и по отношению к	2	1
27	той или иной мере	1	1
28	нужно сказать что в	1	1
29	в новую фазу своего	1	1
30	за то что он	1	1
