N	4gram	Tiupa_Lite	formyVre
1	в то же время	12	18
2	одного и того же	1	9
3	и в то же	1	8
4	с одной стороны и	1	5
5	одно и то же	1	5
6	каковы бы ни были	1	3
7	но в то же	1	3
8	к себе самому и	1	2
9	только и не столько	1	2
10	все более и более	1	2
11	дело в том что	2	2
12	не только и не	1	2
13	именно в том что	1	1
14	с этой точки зрения	3	1
15	то же время он	1	1
16	в том что в	1	1
17	и прежде всего в	1	1
18	ничего не меняет в	1	1
19	только в том что	2	1
20	не только в том	2	1
21	как раз и является	1	1
22	в том что он	1	1
23	дело не только в	2	1
24	то же время не	2	1
25	но дело в том	1	1
