N	2gram	Tiupa_Anal	SlovoVZh
1	не может	3	16
2	может быть	19	14
3	точки зрения	3	14
4	как бы	14	13
5	и его	18	13
6	таким образом	4	12
7	и в	36	12
8	отношению к	9	11
9	по отношению	9	11
10	в нашем	4	11
11	и не	14	10
12	если бы	2	9
13	прежде всего	7	8
14	для нас	1	7
15	сказать что	2	7
16	художественного произведения	1	7
17	и героя	2	6
18	в ней	2	6
19	слова и	1	6
20	с помощью	1	6
21	в том	16	6
22	только в	9	6
23	в нем	3	6
24	при этом	19	6
25	к содержанию	3	6
26	и др	1	5
27	можно сказать	5	5
28	что мы	2	5
29	героя и	7	5
30	хотя бы	1	5
31	то же	7	5
32	а не	16	5
33	в виду	1	5
34	то что	5	5
35	в жизни	2	5
36	как и	27	5
37	как в	9	5
38	отнюдь не	7	5
39	том что	19	5
40	но в	8	5
41	никогда не	7	5
42	в самом	7	4
43	и к	7	4
44	к автору	1	4
45	высказывания как	2	4
46	в литературе	3	4
47	и на	5	4
48	не только	40	4
49	и является	3	4
50	на самом	1	4
51	как если	1	4
52	за пределы	3	4
53	его в	4	4
54	с другой	10	4
55	не в	9	4
56	дело в	3	4
57	отношение к	2	4
58	что не	3	4
59	так и	19	4
60	уже не	9	4
61	жизни и	2	4
62	в этом	19	4
63	все же	6	4
64	зависимости от	1	4
65	как к	2	3
66	и с	1	3
67	ее и	1	3
68	до сих	1	3
69	и более	1	3
70	с героем	2	3
71	автору и	2	3
72	и по	3	3
73	мы не	4	3
74	то ни	1	3
75	между тем	8	3
76	для него	8	3
77	с ним	2	3
78	того что	4	3
79	когда он	2	3
80	тем не	3	3
81	имеет в	1	3
82	все это	5	3
83	он должен	1	3
84	с автором	1	3
85	в пределах	5	3
86	сколько бы	1	3
87	по себе	6	3
88	так же	1	3
89	в них	4	3
90	самом деле	2	3
91	только на	1	3
92	в себе	7	3
93	произведения и	2	3
94	все эти	2	3
95	о том	9	3
96	в своей	12	3
97	и герой	1	3
98	здесь не	8	3
99	не менее	9	3
100	из этого	1	3
101	в художественном	1	3
102	в такой	1	3
103	нуждается в	2	3
104	да и	3	3
105	но и	26	3
106	бы мы	1	3
107	ведь и	2	3
108	и для	4	3
109	художественное произведение	1	3
110	и ее	3	3
111	и наконец	1	3
112	сих пор	1	3
113	и вообще	1	3
114	формы и	1	3
115	еще не	7	3
116	в особенности	4	2
117	что в	15	2
118	этих двух	2	2
119	все они	2	2
120	но это	3	2
121	не так	2	2
122	и потому	3	2
123	и другие	1	2
124	и то	2	2
125	мы можем	2	2
126	героя или	1	2
127	в данном	12	2
128	в то	8	2
129	еще раз	1	2
130	по природе	3	2
131	сливается с	1	2
132	разрыв между	1	2
133	данном случае	11	2
134	в момент	3	2
135	со всех	1	2
136	нас и	1	2
137	в основном	1	2
138	зависит от	1	2
139	с одной	3	2
140	совпадает с	4	2
141	уже в	5	2
142	высказывания и	1	2
143	там где	2	2
144	в его	12	2
145	с этой	1	2
146	она не	3	2
147	это не	4	2
148	одной стороны	3	2
149	автора и	5	2
150	как уже	4	2
151	дело с	3	2
152	с точки	2	2
153	мы имеем	5	2
154	искусства и	1	2
155	остаются вне	1	2
156	с чисто	1	2
157	на него	1	2
158	тем как	1	2
159	в себя	6	2
160	от всех	2	2
161	как это	7	2
162	те же	3	2
163	но зато	2	2
164	если же	1	2
165	содержания и	1	2
166	не способен	1	2
167	и что	2	2
168	что и	10	2
169	в отношении	2	2
170	в форме	2	2
171	почти исключительно	1	2
172	на примере	2	2
173	другой стороны	7	2
174	этой стороны	1	2
175	и вполне	1	2
176	и те	1	2
177	в этих	2	2
178	тому же	7	2
179	связь с	3	2
180	оно не	2	2
181	к ним	1	2
182	и здесь	4	2
183	как на	1	2
184	и все	3	2
185	но не	13	2
186	его как	3	2
187	не есть	6	2
188	могут быть	4	2
189	значения и	1	2
190	героев и	1	2
191	с другими	1	2
192	стороны и	1	2
193	в своем	7	2
194	имеет место	3	2
195	вместе с	3	2
196	между ними	3	2
197	место в	4	2
198	в зависимости	1	2
199	к его	2	2
200	такой же	2	2
201	и так	1	2
202	до известной	3	2
203	со словом	1	2
204	с его	15	2
205	себя и	2	2
206	формы то	1	2
207	его к	1	2
208	известной степени	3	2
209	к этому	3	2
210	бы не	1	2
211	подчеркнуть что	1	2
212	между собой	1	2
213	он не	9	2
214	независимо от	1	2
215	жизни если	1	2
216	в чем	2	2
217	частной жизни	2	2
218	едва ли	6	2
219	ничего не	3	2
220	возможна только	1	2
221	или иным	2	1
222	природу художественной	1	1
223	произведения что	1	1
224	и мир	1	1
225	мы обратимся	1	1
226	в русской	9	1
227	к одному	2	1
228	остается в	1	1
229	жизнь и	3	1
230	себе в	1	1
231	именно эту	1	1
232	не ту	1	1
233	то в	4	1
234	слова это	1	1
235	во всяком	6	1
236	нам не	2	1
237	от него	1	1
238	в стиле	1	1
239	это и	4	1
240	и тех	2	1
241	литературы в	1	1
242	что они	3	1
243	и активное	1	1
244	его и	1	1
245	является в	1	1
246	входя в	1	1
247	в искусстве	3	1
248	во всех	4	1
249	не является	5	1
250	и политического	1	1
251	а с	2	1
252	поэтому не	1	1
253	только к	2	1
254	и он	4	1
255	мы могли	3	1
256	это делает	1	1
257	та же	1	1
258	по преимуществу	3	1
259	художественное значение	1	1
260	и автора	1	1
261	произведения с	2	1
262	ситуацию жизнь	1	1
263	основе своей	2	1
264	отражение в	1	1
265	на этом	2	1
