N	3gram	Trubetskoy	NovoeSre
1	не может быть	4	4
2	не во имя	1	4
3	вопрос о том	1	2
4	в том и	2	2
5	ни одна из	2	2
6	вместе с тем	3	2
7	и должно быть	1	2
8	так же как	1	2
9	он не может	1	2
10	никогда не было	1	2
11	она не может	2	2
12	быть не может	1	1
13	лишь в том	2	1
14	в том что	7	1
15	культуры в котором	1	1
16	в том случае	4	1
17	и для чего	1	1
18	и в жизни	1	1
19	до сих пор	5	1
20	а во имя	1	1
21	от того чтобы	1	1
22	это конечно не	1	1
23	отказаться от того	1	1
24	что он может	1	1
25	они считают себя	1	1
26	но для этого	1	1
27	том числе и	1	1
28	можно было бы	3	1
29	и вместе с	2	1
30	приводит к отрицанию	1	1
31	то это есть	1	1
32	в большинстве случаев	2	1
33	в том чтобы	1	1
34	в значительной степени	1	1
35	но она не	2	1
36	в самом себе	2	1
37	о том что	2	1
38	и того же	1	1
39	россия никогда не	1	1
40	во имя своих	1	1
41	заключает в себе	1	1
42	не может когда	1	1
43	и вырабатывает свою	1	1
44	том случае если	3	1
45	в советской россии	1	1
46	во всяком случае	6	1
47	к одному из	1	1
48	в том числе	1	1
49	к вопросу о	3	1
50	еще не было	1	1
51	это и есть	1	1
52	о том чтобы	2	1
53	в зависимость от	2	1
54	есть по существу	1	1
55	и не может	3	1
56	одного и того	1	1
