N	4gram	Voloshinov	VeschiIm
1	не что иное как	1	12
2	бы то ни было	11	12
3	одно и то же	3	5
4	с этой точки зрения	1	4
5	дело в том что	1	4
6	в то же время	7	4
7	какого бы то ни	2	2
8	в том что он	3	2
9	она так или иначе	1	1
10	на самом же деле	5	1
11	ни в коем случае	2	1
12	какой бы то ни	3	1
13	взятая сама по себе	1	1
14	не есть вещь и	1	1
15	нужно прибавить еще и	1	1
16	сказать что почти все	1	1
17	но что же такое	1	1
18	может быть и речи	4	1
19	с точки зрения этого	1	1
20	и более или менее	1	1
21	с одной стороны и	1	1
22	выражение в свою очередь	1	1
23	до сих пор мы	1	1
24	каких бы то ни	3	1
25	одного и того же	9	1
26	и та и другая	1	1
27	с какой точки зрения	1	1
28	в коем случае не	1	1
29	это значит что в	1	1
30	не может обойтись без	1	1
31	не сможет понять и	1	1
32	если мы скажем что	1	1
33	иначе и быть не	1	1
34	в нем нет ничего	1	1
35	потому в нем нет	1	1
36	но в то же	6	1
37	что они состоят из	1	1
38	не может быть и	4	1
39	какое бы то ни	1	1
40	и не было бы	1	1
41	в ту или иную	1	1
42	в том что это	1	1
43	один и тот же	3	1
