N	4gram	Vygotskiy_	VeschiIm
1	не что иное как	2	12
2	бы то ни было	1	12
3	есть не что иное	2	8
4	одно и то же	1	5
5	с этой точки зрения	7	4
6	в то время как	4	4
7	заключается в том что	10	2
8	в том что он	3	2
9	вопрос о том как	1	2
10	было бы сказать что	1	2
11	это не значит что	1	1
12	только в том что	2	1
13	уже по одному этому	3	1
14	в том смысле что	1	1
15	в интересующей нас области	1	1
16	к одному и тому	2	1
17	нем те или другие	1	1
18	до самого последнего времени	1	1
19	но и то что	1	1
20	когда мы говорим что	2	1
21	с одной стороны и	2	1
22	в нем те или	1	1
23	мы видим таким образом	1	1
24	одного и того же	8	1
25	то же самое время	1	1
26	как и во всяком	1	1
27	сами по себе совершенно	1	1
28	то и другое есть	1	1
29	но само по себе	1	1
30	можно только то что	1	1
31	в то же самое	1	1
32	следовательно никак не может	1	1
33	не может не быть	1	1
34	и следовательно никак не	1	1
35	одному и тому же	2	1
36	какое бы то ни	1	1
37	и не может понять	1	1
38	видим таким образом что	1	1
39	в этом и заключается	2	1
40	заключается в том чтобы	2	1
41	и вместе с тем	1	1
42	подобно тому как в	3	1
43	тем не менее эта	1	1
44	один и тот же	5	1
45	что в свою очередь	2	1
