N	3gram	Voloshinov	Vvedenie
1	для того чтобы	7	22
2	в том что	9	15
3	о том что	2	13
4	не может быть	23	10
5	в этом смысле	2	10
6	тем не менее	3	9
7	в широком смысле	2	7
8	до сих пор	10	7
9	в применении к	1	6
10	в самом деле	13	6
11	в то же	7	6
12	в этом случае	3	6
13	то же время	7	6
14	на этот вопрос	3	5
15	не что иное	1	5
16	что иное как	1	5
17	с другой стороны	6	5
18	во всяком случае	4	5
19	вопрос о том	2	5
20	и в том	1	4
21	широком смысле слова	1	4
22	по отношению к	9	4
23	по крайней мере	1	4
24	с точки зрения	31	4
25	по сравнению с	1	4
26	так или иначе	2	4
27	само по себе	2	4
28	можно было бы	2	4
29	не только в	2	4
30	в отличие от	7	4
31	но все же	4	4
32	с одной стороны	2	4
33	в этом отношении	4	4
34	одной стороны и	1	3
35	той или иной	5	3
36	большей или меньшей	1	3
37	о языке и	1	3
38	в чем же	2	3
39	истории языка и	1	3
40	в собственном смысле	2	3
41	и в самом	1	3
42	можно сказать что	4	3
43	того чтобы понять	2	3
44	дело в том	1	3
45	но в то	6	3
46	как мы видели	4	3
47	в зависимости от	2	3
48	что такое язык	1	3
49	с тем что	1	3
50	то же самое	8	3
51	сама по себе	2	3
52	в целом ряде	1	2
53	на этой почве	4	2
54	как она есть	1	2
55	в свою очередь	5	2
56	второй половины xix	1	2
57	дать ответ на	1	2
58	мы уже знаем	2	2
59	на том что	1	2
60	таким образом по	1	2
61	этой точки зрения	1	2
62	до наших дней	1	2
63	хотя бы и	1	2
64	что же касается	1	2
65	с этой точки	1	2
66	может быть в	1	2
67	и той же	2	2
68	и то же	3	2
69	как мы уже	3	2
70	не говоря уже	1	2
71	а между тем	1	2
72	смысле этого слова	6	2
73	в первом случае	3	2
74	в конце концов	3	2
75	одно и то	3	2
76	одной и той	2	2
77	в данном отношении	1	2
78	в соответствии с	1	2
79	тем или иным	1	2
80	и того же	9	2
81	подобно тому как	1	2
82	не могут быть	3	2
83	же самое что	1	2
84	в связи с	12	2
85	в другом месте	1	2
86	между тем именно	1	2
87	одного и того	9	2
88	языка и его	6	2
89	вовсе не в	1	2
90	может быть и	8	2
91	и т.д и	1	1
92	выходящее за пределы	1	1
93	не только по	1	1
94	но ведь это	1	1
95	в истории языка	1	1
96	тех пор пока	2	1
97	в той или	3	1
98	собственном смысле слова	2	1
99	в науке о	3	1
100	соответствии с этим	1	1
101	вопрос о конкретных	1	1
102	а не иначе	1	1
103	из всего сказанного	2	1
104	так как если	2	1
105	быть и речи	4	1
106	вообще не существует	1	1
107	одним из наиболее	1	1
108	так называемой национальной	1	1
109	и эта черта	1	1
110	или иной степени	2	1
111	более того не	1	1
112	и чем они	1	1
113	тем что в	1	1
114	этого слова как	1	1
115	науки о языке	3	1
116	сторон во-первых с	1	1
117	который мог бы	1	1
118	но и в	3	1
119	от того что	2	1
120	было бы в	1	1
121	как мы знаем	6	1
122	себе отчет в	2	1
123	речь идет об	1	1
124	и тогда когда	1	1
125	все это и	1	1
126	философии языка и	4	1
127	само собой разумеющимся	1	1
128	и в результате	1	1
129	в этом качестве	1	1
130	имеется в виду	1	1
131	на самом деле	5	1
132	то или иное	1	1
133	ее выражение и	1	1
134	здесь как и	1	1
135	о том каким	1	1
136	и без того	1	1
137	язык в его	1	1
138	отсюда следует что	5	1
139	отчет в том	1	1
140	какой бы то	3	1
141	и не в	3	1
142	и для которого	1	1
143	и его учеников	1	1
144	иной степени в	1	1
145	в том числе	3	1
146	и история языка	1	1
147	наоборот как мы	1	1
148	но если мы	1	1
149	связи с этим	3	1
150	на нее не	1	1
