N	2gram	Medvedev_B	VLabPisa
1	таким образом	1	32
2	не только	1	26
3	и в	1	26
4	и не	2	20
5	все это	2	13
6	прежде всего	1	13
7	что в	1	11
8	с другой	1	11
9	об этом	1	9
10	другой стороны	1	8
11	было бы	1	8
12	не следует	1	8
13	не было	1	7
14	а не	1	7
15	все же	1	6
16	так и	1	6
17	художественного произведения	1	6
18	в пределах	1	5
19	что все	1	4
20	художественном произведении	1	4
21	в своей	1	4
22	отнюдь не	1	4
23	и ее	1	4
24	никак не	1	3
25	видеть в	2	3
26	у нас	3	3
27	творчества и	1	3
28	между ними	1	3
29	говорить не	1	3
30	в значительной	1	3
31	его не	1	3
32	далеко не	1	3
33	самом понятии	1	2
34	также что	1	2
35	должна быть	1	2
36	говорить о	1	2
37	не о	1	2
38	короче говоря	1	2
39	а о	1	2
40	в ней	2	2
41	не вполне	1	2
42	еще не	1	2
43	во всяком	1	2
44	и потому	1	2
45	всяком случае	1	2
46	по крайней	1	2
47	можно было	2	2
48	в книге	1	2
49	будто бы	1	2
50	одной из	1	2
51	в области	1	2
52	крайней мере	1	2
53	со всем	1	1
54	моментом в	1	1
55	не присуща	1	1
56	кроме того	1	1
57	о свободе	1	1
58	их что	1	1
59	меньшей мере	1	1
60	не все	1	1
61	работа по	1	1
62	совершенно не	1	1
63	в данном	1	1
64	тем более	1	1
65	вопрос о	1	1
66	имеющихся у	1	1
67	нельзя не	1	1
68	не признать	1	1
69	за пределы	1	1
70	то как	1	1
71	же не	1	1
72	к ней	1	1
73	и во	1	1
74	забывать что	1	1
75	свести к	1	1
76	как будто	1	1
77	по меньшей	1	1
78	является только	1	1
