N	3gram	Propp_Isto	Hudozhes
1	по отношению к	2	10
2	в том что	4	8
3	в то же	1	7
4	в отличие от	1	7
5	то же время	1	7
6	с другой стороны	10	6
7	для того чтобы	3	5
8	состоит в том	1	5
9	не может быть	6	4
10	мы имеем в	2	3
11	с точки зрения	1	3
12	в том числе	3	3
13	тем не менее	6	3
14	можно сказать что	1	3
15	и то же	2	3
16	одно и то	2	3
17	подобно тому как	2	3
18	в связи с	6	3
19	с одной стороны	7	3
20	в свою очередь	1	2
21	это своего рода	1	2
22	по большей части	1	2
23	этой точки зрения	2	2
24	с этой точки	2	2
25	в самом деле	1	2
26	с ними и	1	2
27	в таком случае	1	2
28	том числе и	2	2
29	не могло быть	1	2
30	на наших глазах	1	2
31	и не могло	1	2
32	в основе своей	1	2
33	может быть и	1	2
34	точно так же	3	1
35	что он не	1	1
36	может быть это	1	1
37	типа так в	1	1
38	и потому что	1	1
39	в соответствии с	1	1
40	на задний план	3	1
41	он не только	1	1
42	в противоречие с	1	1
43	один из видов	1	1
44	но в таком	1	1
45	о том что	5	1
46	то или иное	1	1
47	есть как бы	1	1
48	одной стороны и	1	1
49	дело не в	1	1
50	в себе и	1	1
51	как и в	4	1
52	ни к каким	1	1
53	как один из	1	1
54	состоит не в	1	1
55	в таких случаях	2	1
56	и тем более	1	1
57	который может быть	1	1
58	в этих случаях	7	1
59	в то время	3	1
60	том что она	1	1
61	в одной из	1	1
62	в особенности в	2	1
63	в иных случаях	1	1
64	не что иное	1	1
65	таким образом и	1	1
66	иметь в виду	1	1
67	в зависимости от	1	1
68	а тот кто	1	1
69	что он это	1	1
70	так же как	10	1
71	и тем самым	2	1
72	мы видим в	2	1
73	речь идет о	1	1
74	в этом случае	13	1
75	есть не что	1	1
76	уже говорилось выше	1	1
77	не могут быть	1	1
78	в частности в	1	1
79	героя о чем	1	1
80	то же самое	1	1
81	что иное как	1	1
82	еще и потому	1	1
83	только то что	1	1
84	что все люди	1	1
85	в одном случае	1	1
86	из того что	1	1
87	а не только	1	1
88	я думаю что	1	1
89	не тот кто	1	1
90	это и есть	1	1
91	в виду что	1	1
92	и в том	1	1
93	ведь это не	1	1
94	в чистом виде	1	1
95	это было бы	1	1
