N	2gram	Bakhtin_Fr	Stilisti
1	и в	73	42
2	как бы	15	30
3	не только	11	28
4	и т.п	21	25
5	прежде всего	18	22
6	и т.д	3	21
7	то же	16	16
8	но и	15	16
9	и не	13	14
10	может быть	5	13
11	не может	4	13
12	как и	19	12
13	что мы	2	11
14	мы уже	25	11
15	точки зрения	6	11
16	в этом	21	10
17	в себе	16	10
18	и как	5	10
19	как мы	19	10
20	мы не	2	9
21	при этом	5	9
22	все же	2	9
23	язык и	2	9
24	то что	12	9
25	в то	14	9
26	таким образом	34	8
27	так как	9	8
28	с тем	2	8
29	и это	6	8
30	в ней	10	8
31	тем самым	3	8
32	что же	1	8
33	с его	5	8
34	ничего не	4	8
35	и на	12	7
36	так и	13	7
37	слов и	6	7
38	мы можем	1	7
39	только в	7	7
40	в которой	3	7
41	и его	18	7
42	потому что	9	7
43	того чтобы	2	7
44	другими словами	2	7
45	и тем	3	7
46	же время	12	7
47	было бы	5	7
48	той же	9	7
49	и от	10	7
50	а не	2	7
51	никогда не	6	7
52	во всех	13	6
53	в его	18	6
54	не в	12	6
55	в нем	18	6
56	в конце	9	6
57	в процессе	3	6
58	и так	2	6
59	на его	1	6
60	бы в	3	6
61	точкой зрения	1	6
62	в свою	3	6
63	жестов и	1	6
64	с помощью	11	6
65	если б	2	6
66	одно и	2	6
67	в форме	6	6
68	или как	1	6
69	в этой	18	6
70	слова в	1	6
71	мы будем	1	6
72	или иной	1	6
73	в области	3	6
74	в той	8	5
75	в самом	9	5
76	связанных с	5	5
77	то есть	36	5
78	уже в	9	5
79	и их	5	5
80	с точки	4	5
81	те же	3	5
82	не является	1	5
83	все время	4	5
84	самом деле	4	5
85	но все	5	5
86	и с	17	5
87	но в	12	5
88	вместе с	9	5
89	а с	1	5
90	мы увидим	4	5
91	слова и	2	5
92	как это	2	5
93	а в	10	5
94	же самое	1	5
95	в нашем	2	5
96	в сознании	1	5
97	и то	3	5
98	же мы	2	5
99	обратное влияние	1	5
100	и наконец	6	5
101	мы видели	7	5
102	всего в	5	4
103	и к	6	4
104	мы видим	13	4
105	один из	5	4
106	того времени	2	4
107	что это	9	4
108	на него	2	4
109	все это	19	4
110	в качестве	11	4
111	в одном	5	4
112	влияние на	5	4
113	его в	3	4
114	и все	19	4
115	с самого	2	4
116	в слове	1	4
117	так сказать	5	4
118	у нас	4	4
119	в словах	2	4
120	да и	1	4
121	как только	1	4
122	уже не	2	4
123	к тому	2	4
124	о том	13	4
125	связаны с	7	4
126	и без	1	4
127	той или	1	4
128	самого начала	1	4
129	в каждом	1	4
130	если мы	2	4
131	не существует	1	4
132	о своей	1	4
133	не что	1	4
134	можно было	4	4
135	свою очередь	3	4
136	на это	1	4
137	так же	11	4
138	лишь в	2	4
139	в целом	1	4
140	не забудем	1	4
141	себя в	3	4
142	мы называем	1	4
143	тем же	1	4
144	не знаем	2	4
145	что именно	2	4
146	само собой	1	4
147	точка зрения	2	4
148	не просто	3	4
149	которой мы	1	4
150	того что	5	4
151	какую роль	2	3
152	что было	1	3
153	не так	1	3
154	видели что	1	3
155	и здесь	5	3
156	та же	7	3
157	что у	3	3
158	что эти	1	3
159	если он	1	3
160	для нас	2	3
161	и вот	3	3
162	в том	13	3
163	отношения к	1	3
164	несмотря на	3	3
165	для него	7	3
166	хотя и	5	3
167	в разных	2	3
168	в ее	6	3
169	забудем что	1	3
170	из которых	2	3
171	расстояние между	1	3
172	мы в	2	3
173	этих слов	1	3
174	то мы	1	3
175	на самом	2	3
176	и уже	1	3
177	что и	6	3
178	в виду	4	3
179	между ними	2	3
180	и развития	1	3
181	связи с	5	3
182	и даже	4	3
183	в основе	3	3
184	словом и	1	3
185	может стать	2	3
186	вряд ли	1	3
187	все эти	24	3
188	как в	9	3
189	по своему	3	3
190	том что	8	3
191	вследствие этого	1	3
192	роль в	4	3
193	об этом	2	3
194	конце концов	5	3
195	перед нами	5	3
196	еще не	3	3
197	до того	3	3
198	его и	1	3
199	то он	2	3
200	выражение в	3	3
201	а к	1	3
202	в котором	4	3
203	домашнего очага	1	3
204	ведь в	2	3
205	свое выражение	1	3
206	т.п и	1	3
207	между тем	2	3
208	явления природы	1	3
209	во второй	3	3
210	не знает	4	3
211	в частности	2	3
212	только на	2	3
213	не с	1	3
214	в тех	1	3
215	в начале	4	3
216	целый ряд	4	3
217	и слово	1	3
218	конечно не	2	3
219	уже видели	2	3
220	их в	5	3
221	заметить что	1	3
222	не будет	1	3
223	сказать что	4	3
224	может показаться	1	3
225	будем говорить	1	3
226	жизни и	6	3
227	этого слова	1	3
228	и эта	4	3
229	к той	1	3
230	у них	3	3
231	не мог	2	3
232	и для	8	3
233	это не	7	3
234	из них	6	3
235	он должен	1	3
236	весь комплекс	1	2
237	события и	1	2
238	был и	3	2
239	культурного развития	1	2
240	находятся в	2	2
241	для всех	3	2
242	и он	4	2
243	мы найдем	4	2
244	ничем не	3	2
245	на эти	1	2
246	что иное	1	2
247	как с	1	2
248	где и	1	2
249	должно быть	4	2
250	нас не	5	2
251	увидим что	1	2
252	в языке	1	2
253	теперь же	1	2
254	был бы	1	2
255	выбор и	1	2
256	и при	1	2
257	и потому	6	2
258	каждый из	2	2
259	мы имеем	2	2
260	еще более	4	2
261	другого человека	1	2
262	своего героя	4	2
263	с самим	1	2
264	этом отношении	3	2
265	с ним	6	2
266	и указывает	1	2
267	на развитие	1	2
268	кроме того	6	2
269	о чем	2	2
270	с природой	1	2
271	для них	1	2
272	в отношении	6	2
273	это слово	1	2
274	о происхождении	2	2
275	смысле этого	1	2
276	как нечто	2	2
277	с собой	2	2
278	но это	3	2
279	в их	5	2
280	о них	1	2
281	а на	4	2
282	связь с	2	2
283	от их	2	2
284	в своих	1	2
285	не было	4	2
286	в предыдущей	2	2
287	на этот	1	2
288	все то	3	2
289	или в	5	2
290	том же	1	2
291	с ней	1	2
292	всех его	3	2
293	но эта	2	2
294	но не	1	2
295	тем что	8	2
296	все сказанное	1	2
297	он говорит	2	2
298	говорить в	1	2
299	в жизни	1	2
300	т.е от	1	2
301	в связи	3	2
302	эти три	1	2
303	что он	8	2
304	или даже	2	2
305	понимания и	1	2
306	не есть	2	2
307	в своей	4	2
308	в мире	3	2
309	на эту	1	2
310	в этих	6	2
311	как внешняя	1	2
312	на одном	7	2
313	и сам	2	2
314	связанные с	4	2
315	и жизнь	1	2
316	ли он	1	2
317	по своей	1	2
318	себе и	2	2
319	в каком	1	2
320	тому же	1	2
321	должен быть	4	2
322	на первый	2	2
323	сих пор	3	2
324	и вообще	3	2
325	связано с	3	2
326	в дальнейшем	3	2
327	с этим	4	2
328	нет ничего	1	2
329	такие слова	1	2
330	к этому	5	2
331	бы не	1	2
332	еще и	2	2
333	человека в	3	2
334	которого и	1	2
335	находит свое	2	2
336	голоса и	1	2
337	между собой	2	2
338	возникновения и	2	2
339	видим что	2	2
340	себе все	3	2
341	со всех	3	2
342	мы говорили	1	2
343	слово это	2	2
344	даже и	1	2
345	от лица	1	2
346	разных местах	1	2
347	да еще	3	2
348	в значительной	5	2
349	из этих	1	2
350	его не	1	2
351	не должен	1	2
352	также и	6	2
353	не всегда	1	2
354	и тогда	1	2
355	он не	4	2
356	значение и	1	2
357	должна была	1	2
358	в него	4	2
359	между двумя	1	2
360	и больше	1	2
361	за ними	1	2
362	для этого	2	2
363	и когда	3	2
364	ее с	1	2
365	по отношению	3	2
366	времени и	2	2
367	в пределах	1	2
368	значительной степени	3	2
369	и те	5	2
370	этот вопрос	1	2
371	не должно	3	2
372	т.п но	2	2
373	человека с	2	2
374	ту же	3	2
375	но даже	1	2
376	человека и	3	2
377	при всем	1	2
378	себе в	3	2
379	должны были	1	2
380	которые с	1	2
381	и несколько	2	2
382	отношение к	3	2
383	имели в	1	2
384	которые в	2	2
385	вовсе не	11	2
386	одной из	5	2
387	совершенно иначе	1	2
388	тот же	3	2
389	до конца	5	2
390	к которому	2	2
391	в первой	4	2
392	общества в	1	2
393	роль играет	3	2
394	место в	4	2
395	есть не	2	2
396	к миру	1	2
397	отношению к	3	2
398	природы и	3	2
399	как таковое	1	2
400	здесь не	2	2
401	человек не	1	2
402	в которых	3	2
403	ведь и	3	2
404	и нет	2	2
405	таким же	4	2
406	жизненного общения	1	2
407	точках зрения	1	2
408	иное как	1	2
409	к нему	7	2
410	собой разумеющееся	1	2
411	в особенности	5	1
412	всего того	1	1
413	к сожалению	1	1
414	что в	14	1
415	которого он	1	1
416	лишь там	1	1
417	ближе к	1	1
418	с большими	2	1
419	было так	1	1
420	как к	1	1
421	с полной	2	1
422	глядя на	2	1
423	наблюдать в	1	1
424	именно к	1	1
425	и другие	3	1
426	лице и	1	1
427	совершенно особый	1	1
428	связи и	3	1
429	непрерывно движется	1	1
430	слов о	1	1
431	в другой	2	1
432	все что	5	1
433	форм и	1	1
434	и автор	1	1
435	и самое	1	1
436	какое влияние	1	1
437	до сих	3	1
438	на языке	4	1
439	все его	3	1
440	он уже	2	1
441	еще раз	1	1
442	собой и	1	1
443	которым он	4	1
444	в прямом	1	1
445	ему в	2	1
446	одним словом	1	1
447	складывается и	1	1
448	это движение	2	1
449	заложенные в	1	1
450	подвести некоторые	1	1
451	хлеб и	1	1
452	них в	1	1
453	здесь нет	3	1
454	в самый	2	1
455	его самого	1	1
456	внешним образом	1	1
457	также что	3	1
458	в романе	10	1
459	свидетельствует о	3	1
460	все скрытые	1	1
461	роль и	1	1
462	исторической жизни	1	1
463	того как	7	1
464	и небесных	1	1
465	время и	1	1
466	в основном	2	1
467	через несколько	1	1
468	в земной	4	1
469	что человек	1	1
470	мира мира	1	1
