N	2gram	Medvedev_I	Problemy
1	и в	1	106
2	и не	2	90
3	в этом	2	52
4	из подполья	1	48
5	для него	1	39
6	он не	2	29
7	все это	1	29
8	и с	3	25
9	никогда не	1	20
10	что в	2	19
11	отношению к	1	19
12	по отношению	1	18
13	все эти	1	18
14	а в	1	17
15	так и	1	17
16	если бы	1	16
17	и сам	1	14
18	я не	1	14
19	в целом	1	13
20	ничего не	2	12
21	тем что	1	11
22	с другой	1	11
23	бы в	1	11
24	творчества достоевского	2	10
25	другой стороны	1	9
26	в них	1	9
27	самого достоевского	1	8
28	того что	1	8
29	и о	1	8
30	и со	1	7
31	о достоевском	2	7
32	и др	1	7
33	автора и	1	7
34	он с	1	7
35	в художественном	1	6
36	а с	1	6
37	себя в	1	6
38	в основе	1	6
39	по существу	1	6
40	достоевского с	1	6
41	жизни и	1	6
42	того же	1	5
43	записок из	2	5
44	бы его	1	5
45	художественного творчества	1	5
46	со всеми	1	5
47	для других	1	5
48	нисколько не	1	5
49	только что	1	4
50	на котором	1	4
51	в эту	1	4
52	то и	1	4
53	и без	1	4
54	это было	1	4
55	ибо и	1	4
56	с героем	1	3
57	говорить о	1	3
58	и еще	1	3
59	художественном творчестве	1	3
60	не дает	1	3
61	и та	1	3
62	того чтобы	1	3
63	есть только	1	3
64	ненависть к	1	3
65	и очень	1	2
66	самого себя	2	2
67	эпизод с	1	2
68	для того	1	2
69	произведения и	1	2
70	не кто	1	2
71	от этого	1	2
72	за границей	1	2
73	несут и	1	2
74	что для	1	2
75	его личности	1	2
76	них не	1	2
77	не случайно	1	2
78	от нее	1	2
79	не так	1	2
80	достоевского а	2	2
81	в значительной	1	2
82	автор не	1	2
83	должен быть	2	2
84	стало быть	1	2
85	во многом	1	2
86	же это	1	2
87	с голядкиным	1	1
88	кто иной	1	1
89	все ясно	1	1
90	только для	1	1
91	введение в	1	1
92	было не	1	1
93	доказать что	1	1
94	точно и	1	1
95	жизни этого	1	1
96	так то	1	1
97	по поводу	1	1
98	и чрезвычайно	1	1
99	видит в	1	1
100	литература о	1	1
101	смердякова и	1	1
102	этим и	1	1
103	могло бы	1	1
104	был человек	1	1
105	и тот	1	1
106	и оскорбленных	1	1
107	следовательно в	1	1
108	и ничего	1	1
109	к достоевскому	1	1
110	очень своеобразный	1	1
111	о творчестве	1	1
112	утверждает что	1	1
113	иной как	1	1
114	очерк и	1	1
115	его цель	1	1
116	остается как	1	1
117	то она	1	1
118	федор павлович	1	1
119	униженных и	1	1
120	без этого	1	1
121	еще одной	1	1
122	тех же	1	1
123	придется не	1	1
124	жил в	1	1
