N	3gram	Vinokur_Vv	Problema
1	тем не менее	9	56
2	о том что	13	39
3	в том что	15	37
4	и т д	39	33
5	то же самое	3	30
6	в настоящее время	1	30
7	в связи с	2	29
8	в данном случае	4	28
9	той или иной	3	26
10	по крайней мере	4	26
11	во всяком случае	5	25
12	с другой стороны	5	25
13	с точки зрения	4	25
14	в таком случае	1	23
15	в конце концов	2	23
16	сам по себе	2	21
17	сама по себе	3	21
18	и то что	3	20
19	в этом смысле	10	19
20	для того чтобы	22	17
21	в то же	6	17
22	точно так же	2	16
23	и тем не	3	15
24	как будто бы	2	14
25	до сих пор	7	14
26	не что иное	5	14
27	что иное как	5	14
28	в этом случае	6	14
29	того или иного	1	13
30	на самом деле	1	13
31	можно было бы	4	13
32	не может быть	10	12
33	так или иначе	4	12
34	также и то	1	12
35	и в этом	4	12
36	можно сказать что	3	12
37	дело в том	3	11
38	тех или иных	3	11
39	есть не что	3	11
40	бы то ни	1	11
41	с одной стороны	4	11
42	в той или	1	10
43	вместе с тем	3	10
44	более или менее	1	10
45	только то что	1	10
46	не только в	4	10
47	по этому поводу	3	9
48	т д и	1	9
49	что же касается	2	9
50	не говоря уже	2	9
51	в сравнении с	1	9
52	может быть и	2	9
53	никак не может	1	8
54	только в том	2	8
55	может быть только	1	8
56	потому что он	2	8
57	только тогда когда	1	8
58	заключается в том	3	8
59	говоря уже о	1	7
60	когда мы говорим	1	7
61	в чистом виде	1	7
62	но и в	1	7
63	имеется в виду	1	7
64	то или иное	1	7
65	того же автора	1	7
66	с самого начала	1	7
67	в том или	2	7
68	в значительной мере	2	7
69	только потому что	1	7
70	обратить внимание на	2	7
71	в самом деле	6	6
72	и то же	2	6
73	то что в	1	6
74	то ни было	1	6
75	в том смысле	1	6
76	в этом отношении	4	6
77	само по себе	4	6
78	в собственном смысле	3	5
79	хотя бы и	2	5
80	а также и	2	5
81	имеем в виду	1	5
82	смысле слова но	1	5
83	так же как	1	5
84	та или иная	1	5
85	в том виде	3	5
86	том смысле что	1	5
87	до н э	6	5
88	в том числе	1	5
89	в зависимости от	3	5
90	в языке и	1	5
91	и прежде всего	1	5
92	и что такое	1	5
93	не просто как	1	5
94	том виде как	1	5
95	том или ином	2	5
96	но если мы	1	5
97	одно и то	2	5
98	том что он	1	5
99	что в нем	2	5
100	потому что они	1	5
101	на том что	2	4
102	дело не в	1	4
103	как мы уже	2	4
104	связи с этим	1	4
105	но все же	4	4
106	в одном случае	1	4
107	мы имеем дело	1	4
108	и потому что	2	4
109	в том чтобы	5	4
110	этой точки зрения	2	4
111	отчет в том	1	4
112	до тех пор	1	4
113	не было бы	1	4
114	также и в	3	4
115	вопрос о том	5	4
116	еще и потому	1	4
117	собственном смысле слова	1	4
118	не значит что	1	4
119	именно потому что	1	4
120	но как мы	1	4
121	нечто целое и	1	4
122	сказать что он	1	4
123	а именно в	1	4
124	в этих случаях	2	4
125	такого же рода	1	4
126	ту или иную	1	4
127	не потому что	1	4
128	и не в	1	4
129	как мы видели	3	4
130	подобно тому как	2	4
131	всяком случае не	2	4
132	на эту тему	1	4
133	то обстоятельство что	1	4
134	в таких случаях	1	4
135	одной стороны и	3	3
136	более то менее	1	3
137	потому что она	1	3
138	нечто единое и	1	3
139	этом смысле слова	1	3
140	но если бы	1	3
141	в отличие от	4	3
142	и того же	2	3
143	то что у	1	3
144	имел в виду	1	3
145	к тому что	1	3
146	ни к какому	1	3
147	всего то что	2	3
148	не то что	1	3
149	имея в виду	1	3
150	вообще не существует	1	3
151	в чем же	3	3
152	себе отчет в	1	3
153	что не только	1	3
154	потому что все	1	3
155	именно в этом	3	3
156	но уже в	1	3
157	что мы можем	1	3
158	не сам по	1	3
159	с тем что	3	3
160	что может быть	3	3
161	с этой точки	2	3
162	тот факт что	1	3
163	н э в	1	3
164	здесь идет речь	1	3
165	по сравнению с	4	3
166	вовсе не в	2	3
167	в подлинном смысле	1	3
168	и есть то	1	3
169	но это только	1	3
170	одного и того	2	3
171	в разных областях	1	3
172	а есть только	1	3
173	это не просто	1	3
174	том что в	1	3
175	и никогда не	1	3
176	этом смысле и	1	3
177	в известном смысле	3	3
178	есть в нем	1	3
179	от того что	1	3
180	в одно целое	1	3
181	к выводу что	6	3
182	говорить о том	1	3
183	то более то	1	3
184	но в то	3	3
185	в этом понятии	1	3
186	после того как	2	3
187	по отношению к	4	2
188	и т п	5	2
189	было бы в	1	2
190	если же мы	1	2
191	как нечто целое	1	2
192	мы говорим о	1	2
193	не могут не	2	2
194	он вовсе не	1	2
195	а в том	1	2
196	с теми или	1	2
197	и как нечто	1	2
198	в частности в	1	2
199	и как они	1	2
200	том что не	1	2
201	совершенно ясно что	1	2
202	сказать что в	1	2
203	но также и	10	2
204	можно говорить о	3	2
205	каждой из них	2	2
206	что в этом	2	2
207	вовсе не только	2	2
208	и все прочие	1	2
209	ясно само собой	1	2
210	и говорить о	1	2
211	есть не просто	1	2
212	уже о том	1	2
213	всего того что	1	2
214	то что остается	2	2
215	т д все	2	2
216	а если и	1	2
217	и до наших	1	2
218	это заставляет нас	1	2
219	по содержанию своему	1	2
220	в до н	2	2
221	такой точки зрения	1	2
222	д все это	1	2
223	а так как	2	2
224	а не только	1	2
225	о котором мы	1	2
226	вв до н	1	2
227	мы имеем в	1	2
228	в каждом из	1	2
229	все равно не	1	2
230	совсем другое дело	1	2
231	одна от другой	2	2
232	мы хорошо знаем	1	2
233	в том же	1	2
234	в известной мере	2	2
235	вопрос что же	1	2
236	дело заключается в	1	2
237	идет речь не	1	2
238	а потому что	1	2
239	но в силу	1	2
240	в нем не	1	2
241	принять во внимание	2	2
242	не может не	1	2
243	потому что и	1	2
244	в свою очередь	2	2
245	не существует и	1	2
246	и в том	4	2
247	внимание на то	1	2
248	случае не есть	1	2
249	или иначе но	2	2
250	возможно только потому	1	2
251	широком смысле слова	4	2
252	так что мы	1	2
253	он должен быть	1	2
254	на одной из	1	2
255	тем что в	1	2
256	прийти к выводу	1	2
257	одним из самых	1	2
258	здесь как и	1	2
259	это не только	2	2
260	как о чем-то	1	2
261	и той же	2	2
262	только в этом	1	2
263	если принять во	1	2
264	хотя бы на	1	2
265	на то или	1	2
266	как раз в	1	2
267	одной и той	2	2
268	у меня в	1	2
269	и в самом	3	2
270	в предисловии к	1	2
271	как указание на	1	2
272	но с другой	1	2
273	нечего и говорить	1	2
274	думать так значило	1	1
275	того чтобы этот	1	1
276	выходящее за пределы	1	1
277	о котором уже	1	1
278	но ведь это	1	1
279	древней греции и	1	1
280	языка и литературы	2	1
281	пор и в	1	1
282	в одном и	1	1
283	что их можно	1	1
284	бы ее ни	1	1
285	в ней только	1	1
286	ее можно было	1	1
287	потому что даже	1	1
288	этого слова как	1	1
289	философии и науки	1	1
290	что в ней	1	1
291	уже и здесь	1	1
292	в том как	1	1
293	одной из этих	1	1
294	могут не существовать	1	1
295	том что такое	6	1
296	мере в какой	6	1
297	в прямом смысле	4	1
298	из них и	1	1
299	определения в этом	1	1
300	науки а именно	1	1
301	но уже и	1	1
302	в целом но	1	1
303	а в другом	1	1
304	превратить его в	1	1
305	т д мы	1	1
306	того чтобы понять	3	1
307	которая вырастает на	1	1
308	имеют в виду	1	1
309	а именно как	1	1
310	что также и	1	1
311	мы видели имеет	1	1
312	так как она	1	1
313	при помощи которого	1	1
314	еще и тот	1	1
315	в первом из	2	1
316	именно в этой	1	1
317	это особенно важно	1	1
318	т д в	2	1
319	этот вопрос мы	1	1
320	а между тем	2	1
321	того что в	1	1
322	бы оно было	1	1
323	да и с	1	1
324	т д можно	1	1
325	с этой стороны	1	1
326	вырастает на почве	1	1
327	смысле этого слова	2	1
328	есть особого рода	1	1
329	да притом еще	1	1
330	не есть и	1	1
331	отдать себе отчет	1	1
332	быть и речи	1	1
333	в прошлом и	1	1
334	ли кто-нибудь может	1	1
335	он встречается с	1	1
336	на этот вопрос	5	1
337	того о чем	1	1
338	дошедших до нас	1	1
339	но вместе с	2	1
340	и был первым	1	1
341	гораздо ближе к	2	1
342	это то же	1	1
343	все это не	1	1
344	и более конкретно	1	1
345	то все это	1	1
346	смысле не может	1	1
347	по самой своей	2	1
348	значение и как	1	1
349	второй половины xviii	1	1
350	науки и техники	1	1
351	чистом виде потому	1	1
352	как только на	1	1
353	вечных стремлений человека	1	1
354	как целое как	1	1
355	может пониматься как	1	1
356	который мог бы	1	1
357	идет речь о	1	1
358	на задний план	2	1
359	и могут быть	1	1
360	и том же	1	1
361	именно такого же	1	1
362	но и самый	1	1
363	тот смысл что	1	1
364	в каждой из	1	1
365	науки о языке	1	1
366	дело не с	2	1
367	так значило бы	1	1
368	в xix в	1	1
369	как это было	1	1
370	не в содержании	1	1
371	виде потому что	1	1
372	приходит к выводу	1	1
373	ступени культурного развития	1	1
374	и в особенности	4	1
375	об этом необходимо	1	1
376	и в дальнейшем	1	1
377	и даже просто	1	1
378	в большей части	2	1
379	было бы сказать	1	1
380	заключается не только	1	1
381	в своей работе	1	1
382	может быть в	2	1
383	как один из	1	1
384	и есть тот	1	1
385	когда говорил о	1	1
386	как бы ее	1	1
387	в средние века	1	1
388	и для того	1	1
389	здесь не может	1	1
390	состоит в том	2	1
391	из того что	1	1
392	не вмещается в	1	1
393	сказать что они	1	1
394	в этот вопрос	1	1
395	одном и том	1	1
396	т д для	1	1
397	значение далеко выходящее	1	1
398	что такое язык	3	1
399	уже и в	1	1
400	чтобы ее можно	1	1
401	xix в и	1	1
402	не менее совершенно	1	1
403	и народов но	1	1
404	что наряду с	1	1
405	и речи даже	1	1
406	с разных сторон	1	1
407	тем или иным	2	1
408	тем что она	1	1
409	достаточно для того	1	1
410	что представляет собой	3	1
411	до наших дней	2	1
412	чтобы можно было	2	1
413	и в значительной	1	1
414	в указании на	1	1
415	здесь таким образом	1	1
416	чем то что	1	1
417	это прежде всего	1	1
418	не только как	4	1
419	прежде всего в	1	1
420	свое значение и	2	1
421	же самое и	1	1
422	далеко выходящее за	1	1
423	бы и не	1	1
424	здесь нет никакого	1	1
425	так как обычно	1	1
426	быть и не	1	1
427	не только по	1	1
428	того чтобы действительно	1	1
429	если бы ему	1	1
430	во главе с	1	1
431	чтобы понять что	3	1
432	себе полный отчет	1	1
433	и в результате	1	1
434	и что поэтому	1	1
435	того чтобы ее	1	1
436	в тех областях	1	1
437	и со стороны	2	1
438	а это в	1	1
439	во всех отношениях	1	1
440	который хотя и	1	1
441	в этом втором	1	1
442	не в том	2	1
443	об этом сказано	1	1
444	языке и литературе	1	1
445	если бы и	1	1
446	от себя не	1	1
447	уже потому что	1	1
448	все же в	1	1
449	в общем смысле	1	1
450	совершенно то же	1	1
451	языка как такового	1	1
452	но что такое	1	1
453	нужно было бы	1	1
454	может быть не	1	1
455	в первом случае	2	1
456	из которой состоит	1	1
457	полный отчет в	1	1
458	в самой себе	1	1
459	самой своей природе	2	1
460	как та или	1	1
461	сих пор и	1	1
462	как на нечто	1	1
463	которые не только	1	1
464	во-вторых с точки	1	1
465	не только о	1	1
466	все это можно	1	1
467	не могут быть	2	1
468	как нечто вполне	1	1
469	по себе не	1	1
470	и вопрос о	1	1
471	ни при каких	1	1
