N	4gram	Medvedev_V	Stilisti
1	в то же время	5	7
2	одно и то же	1	5
3	одном и том же	2	2
4	одну и ту же	1	2
5	но в то же	1	2
6	и в то же	3	2
7	та или иная оценка	1	1
8	в плоть и кровь	1	1
9	иметь в виду что	1	1
10	и по отношению к	1	1
11	но все же и	1	1
12	что оно является только	1	1
13	в одном и том	1	1
14	из которых он может	1	1
15	но вместе с тем	1	1
16	всего бросается в глаза	1	1
17	и не может быть	2	1
18	нет и не может	1	1
19	об одном и том	1	1
20	не может обойтись без	1	1
21	которое не было бы	1	1
22	на то или иное	1	1
