N	3gram	Losev_Vesc	NovoeSre
1	не может быть	22	4
2	подобно тому как	5	3
3	не значит что	1	3
4	вопрос о том	2	2
5	вместе с тем	3	2
6	равно как и	4	2
7	так же как	2	2
8	в нем нет	2	2
9	в этом смысле	2	2
10	значит что в	1	2
11	не в смысле	1	2
12	не может уже	1	2
13	когда мы говорим	1	2
14	с одной стороны	3	2
15	с другой стороны	3	2
16	она не может	3	2
17	это не значит	1	2
18	быть не может	1	1
19	сами по себе	3	1
20	в том что	9	1
21	не в том	1	1
22	но это значит	2	1
23	было то что	1	1
24	до сих пор	1	1
25	я не могу	1	1
26	и быть не	1	1
27	в ней нет	1	1
28	тому как в	1	1
29	как будто бы	1	1
30	в последние годы	2	1
31	и потому что	1	1
32	что она не	1	1
33	в зависимости от	1	1
34	жизни и бытия	3	1
35	не верят в	1	1
36	и весь смысл	1	1
37	по своей природе	1	1
38	она сама себя	1	1
39	не только потому	1	1
40	по существу своему	1	1
41	и это есть	1	1
42	можно было бы	3	1
43	и вместе с	1	1
44	то что он	2	1
45	только потому что	1	1
46	не только в	5	1
47	но и в	1	1
48	и оно же	1	1
49	бы сказать что	2	1
50	в том чтобы	2	1
51	в том смысле	1	1
52	мы говорим что	3	1
53	и потому оно	1	1
54	как это было	1	1
55	в этом он	1	1
56	есть прежде всего	4	1
57	не к чему	1	1
58	но оно есть	1	1
59	о том что	4	1
60	и того же	1	1
61	жизни не может	1	1
62	в новое время	1	1
63	было бы сказать	2	1
64	к ней нужно	1	1
65	новые формы и	1	1
66	а не в	2	1
67	то что в	1	1
68	и не в	3	1
69	не имеют никакого	1	1
70	во всяком случае	2	1
71	для себя и	1	1
72	та или иная	1	1
73	и во всех	1	1
74	в котором и	1	1
75	это не есть	2	1
76	это значит что	25	1
77	а не к	2	1
78	в то время	4	1
79	это и есть	4	1
80	устарели и потеряли	1	1
81	то время как	4	1
82	по природе своей	2	1
83	и не может	1	1
84	одного и того	1	1
85	может быть только	6	1
86	не будет уже	1	1
