N	4gram	Tiupa_Anal	EvropaiC
1	в том случае если	1	4
2	заключается в том что	1	3
3	бы то ни было	3	3
4	одного и того же	2	3
5	лишь в том что	1	3
6	несмотря на то что	1	2
7	для того чтобы быть	1	2
8	лишь в том случае	1	2
9	в то же время	7	2
10	только тогда когда оно	1	1
11	состоит в том что	6	1
12	с этой точки зрения	2	1
13	ставит себя на место	1	1
14	то же самое что	1	1
15	два различных аспекта одного	1	1
16	мысль о том что	1	1
17	состоит лишь в том	1	1
18	не говоря уже о	1	1
19	в том что он	2	1
20	одно и то же	2	1
21	из того что в	2	1
22	же самое что и	1	1
23	аспекта одного и того	1	1
24	различных аспекта одного и	1	1
25	и не может быть	4	1
26	в тех случаях когда	1	1
27	в том числе и	1	1
28	приводит к тому что	1	1
29	в том виде в	1	1
30	нет и не может	2	1
31	одной и той же	1	1
32	тем не менее в	1	1
33	в том или ином	3	1
34	дело тут не в	1	1
