N	3gram	Vinokur_Ku	Freidism
1	с точки зрения	16	15
2	не может быть	5	14
3	по отношению к	8	11
4	в самом деле	14	10
5	в том что	23	9
6	как мы видели	1	8
7	во всяком случае	8	8
8	в то же	4	6
9	мы знаем что	2	6
10	то же время	4	6
11	может быть и	1	6
12	в большинстве случаев	2	5
13	можно сказать что	2	5
14	в ее целом	1	4
15	в свою очередь	4	4
16	это вовсе не	1	4
17	мы увидим что	2	4
18	тем не менее	9	4
19	сам по себе	1	4
20	на самом деле	3	4
21	в зависимости от	7	4
22	в данном случае	1	4
23	и его ученики	1	4
24	в первый период	2	4
25	не могут быть	1	4
26	в этом отношении	8	4
27	все то что	1	3
28	только то что	1	3
29	отнюдь не является	1	3
30	для того чтобы	21	3
31	о том что	6	3
32	в собственном смысле	1	3
33	до сих пор	5	3
34	что же касается	4	3
35	к тому чтобы	2	3
36	и той же	1	3
37	далеко не всегда	1	3
38	бы то ни	1	3
39	на этот вопрос	3	3
40	так и в	2	3
41	узком смысле слова	1	3
42	что все эти	2	3
43	одной и той	1	3
44	но во всяком	1	3
45	а вовсе не	1	3
46	в конечном счете	2	3
47	не в силах	1	3
48	если бы он	1	3
49	и тем не	4	2
50	ни в каком	2	2
51	в применении к	1	2
52	и может быть	1	2
53	может быть это	1	2
54	в этом смысле	8	2
55	заключается в том	2	2
56	то или иное	2	2
57	ни в какой	1	2
58	хотя бы и	4	2
59	вовсе не в	1	2
60	в конце концов	3	2
61	а следовательно и	2	2
62	с помощью которого	1	2
63	а с другой	3	2
64	мы могли бы	1	2
65	том что она	1	2
66	и пр и	2	2
67	в таких случаях	3	2
68	по своему содержанию	1	2
69	в узком смысле	2	2
70	что же такое	1	2
71	и все его	1	2
72	зависимости от того	1	2
73	что и в	1	2
74	и таким путем	1	2
75	в отличие от	3	2
76	том что он	4	2
77	таким образом в	2	2
78	то ни было	1	2
79	то обстоятельство что	15	2
80	в связь с	1	2
81	к тому что	2	2
82	не укладывается в	1	2
83	с одной стороны	2	2
84	пр и пр	2	2
85	как раз и	1	2
86	связанных с ними	1	2
87	а также и	1	2
88	и т д	21	1
89	на этой почве	2	1
90	того что он	1	1
91	и политическая революция	1	1
92	из них как	1	1
93	в этом случае	4	1
94	было бы гораздо	1	1
95	которую можно было	1	1
96	собственном смысле слова	1	1
97	в таких словах	2	1
98	а может быть	1	1
99	все это для	1	1
100	они свидетельствуют о	1	1
101	того или иного	5	1
102	от того чтобы	1	1
103	право говорить о	1	1
104	той или иной	1	1
105	но прежде всего	1	1
106	речи так как	1	1
107	вместе с ним	1	1
108	но так ли	1	1
109	в противоречии с	2	1
110	по аналогии с	1	1
111	сводится к тому	2	1
112	что же это	1	1
113	и с его	1	1
114	является как бы	1	1
115	и на все	1	1
116	ответить на этот	1	1
117	прежде всего от	1	1
118	бы гораздо более	1	1
119	что можно сказать	2	1
120	от того что	1	1
121	с того момента	1	1
122	позицию по отношению	1	1
123	только в его	1	1
124	не замечать ее	1	1
125	по крайней мере	11	1
126	в сторону от	2	1
127	в данный момент	2	1
128	по сравнению с	1	1
129	большую роль в	2	1
130	конечно и все	1	1
131	и все те	1	1
132	имеется в виду	1	1
133	помощью которого они	1	1
134	и его школы	1	1
135	имеем в виду	1	1
136	все той же	1	1
137	и вовсе не	4	1
138	не может конечно	1	1
139	и приводит к	1	1
140	мы должны признать	1	1
141	и на более	1	1
142	в себе и	1	1
143	деле можно ли	1	1
144	одни из этих	1	1
145	лет тому назад	1	1
146	оставаясь на почве	1	1
147	сводится к следующему	1	1
148	политическая революция в	1	1
149	в свое время	4	1
150	в первые годы	1	1
151	о которых говорит	1	1
152	и пр но	2	1
153	что в данном	1	1
154	в нормальный обиход	1	1
155	ответ на это	1	1
156	на это дает	1	1
157	чтобы ответить на	1	1
158	только в контексте	1	1
159	но даже и	2	1
160	и то же	1	1
161	и во многих	1	1
162	то что известно	1	1
163	вот один из	1	1
164	с их помощью	1	1
165	и в таком	1	1
166	но что же	1	1
167	интересны в этом	1	1
168	уже не может	3	1
169	хотя и не	1	1
170	находит свое выражение	1	1
171	что к этому	1	1
172	но не только	1	1
173	данном случае в	1	1
174	все это только	1	1
175	в особенности в	1	1
176	не только из	1	1
177	ничего общего с	2	1
178	это дает сам	1	1
179	не что иное	2	1
180	остается тот же	1	1
181	то же что	1	1
182	вовсе не есть	1	1
183	дело в том	1	1
184	иметь в виду	1	1
185	очень большую роль	1	1
186	ответ на этот	1	1
187	одно и то	1	1
188	его борьбы с	1	1
189	у всех народов	1	1
190	мы не знаем	1	1
191	но для этого	1	1
192	таким образом остается	1	1
193	так же как	3	1
194	не выходит за	1	1
195	с первого же	2	1
196	оно превращается в	1	1
197	только потому что	11	1
198	это уже не	1	1
199	смысле этого слова	2	1
200	во всех этих	1	1
201	том что в	1	1
202	потому что оно	2	1
203	можно говорить о	2	1
204	роковую роль в	1	1
205	точки зрения в	2	1
206	к основной теме	1	1
207	и в то	1	1
208	с ним было	1	1
209	того чтобы вообще	1	1
210	их для нас	1	1
211	есть не что	1	1
212	роль в истории	1	1
213	этот процесс в	1	1
214	и должны быть	1	1
215	в каком контексте	1	1
216	и тогда когда	3	1
217	в целом и	2	1
218	на своем месте	1	1
219	и все же	1	1
220	в наше время	3	1
221	же относится к	1	1
222	но это один	1	1
223	обе составные части	1	1
224	самом деле можно	1	1
225	что с точки	1	1
226	что иное как	2	1
227	все же остается	1	1
228	в пределах данной	1	1
229	не нуждается в	1	1
230	на этом же	1	1
231	но все же	3	1
232	едва ли не	1	1
233	все это не	3	1
234	на этом пути	1	1
235	в виду их	1	1
236	мы имеем в	1	1
237	может быть предметом	1	1
238	как наука о	1	1
239	между тем как	1	1
240	она становится уже	1	1
241	что когда он	1	1
242	не то что	1	1
243	этой науки в	1	1
244	связанная с ним	1	1
245	само собою разумеется	1	1
246	до конца и	1	1
247	дана уже в	1	1
248	тот или иной	1	1
249	можно было бы	11	1
250	свой смысл и	1	1
251	прежде всего на	1	1
252	в настоящее время	2	1
253	несколько слов о	2	1
254	это было бы	1	1
