N	2gram	Bakhtin_sl	formyVre
1	и в	69	148
2	в этом	21	73
3	то есть	46	70
4	в романе	64	58
5	в нем	44	51
6	прежде всего	14	46
7	и т	56	40
8	и не	32	37
9	в его	19	36
10	и его	45	36
11	вовсе не	16	35
12	но и	37	33
13	то же	17	32
14	т п	49	32
15	не только	37	32
16	в литературе	1	32
17	но в	13	31
18	жизни и	5	31
19	так и	22	29
20	может быть	40	27
21	не в	14	26
22	как мы	15	26
23	как и	8	25
24	у рабле	3	25
25	как бы	16	25
26	точки зрения	24	24
27	мы уже	4	24
28	только в	9	23
29	в то	17	23
30	человека в	5	23
31	в том	7	22
32	то что	2	22
33	связи с	4	21
34	во всех	25	21
35	жизни в	2	21
36	же время	15	21
37	все эти	15	21
38	в своем	9	19
39	и др	17	19
40	и на	17	19
41	в основном	7	19
42	и для	7	19
43	таким образом	16	18
44	у него	5	18
45	и все	9	18
46	еще не	9	18
47	по существу	3	18
48	при этом	12	17
49	те же	3	17
50	с этим	5	17
51	в особенности	10	17
52	так как	7	17
53	в пределах	27	17
54	человека и	3	17
55	все же	10	16
56	в условиях	3	16
57	в связи	2	16
58	того же	7	16
59	в основе	8	16
60	и во	3	16
61	и их	6	16
62	не может	27	16
63	в разных	3	15
64	в одном	4	15
65	в них	11	15
66	никогда не	9	15
67	с точки	11	15
68	так сказать	11	15
69	с его	8	15
70	в пространстве	1	15
71	вместе с	3	15
72	лишь в	6	15
73	и как	3	14
74	и с	10	14
75	так же	2	14
76	в конце	1	14
77	его жизни	1	14
78	всех этих	8	14
79	а не	29	14
80	истории романа	2	14
81	как раз	3	14
82	все это	14	14
83	в самом	6	13
84	в котором	2	13
85	для того	2	13
86	друг с	2	13
87	с ним	12	13
88	как в	18	13
89	роль в	4	13
90	здесь в	6	13
91	в их	6	13
92	с другом	2	13
93	в частности	3	13
94	того чтобы	1	13
95	а в	10	13
96	же в	2	13
97	и до	2	12
98	конечно не	7	12
99	время в	1	12
100	не было	4	12
101	он не	5	12
102	отнюдь не	1	12
103	что в	3	12
104	потому что	2	12
105	в истории	6	12
106	ничего не	5	12
107	но не	7	12
108	и наконец	9	12
109	из них	3	11
110	хотя и	4	11
111	его в	7	11
112	между ними	2	11
113	романе в	6	11
114	и у	2	11
115	романа в	5	11
116	ни в	4	11
117	смерть и	1	11
118	уже в	2	11
119	мира и	4	11
120	смерти в	1	11
121	в ней	7	11
122	и времени	1	11
123	и другие	3	10
124	кроме того	6	10
125	уже не	5	10
126	и того	1	10
127	входит в	8	10
128	влияние на	3	10
129	в ее	2	10
130	сих пор	4	10
131	также и	5	10
132	до сих	4	10
133	уже говорили	1	10
134	и проч	4	10
135	здесь не	6	10
136	тот же	1	10
137	в большинстве	16	10
138	и даже	11	9
139	но все	2	9
140	на этой	1	9
141	с другой	8	9
142	всего в	1	9
143	на протяжении	3	9
144	здесь нет	1	9
145	должно быть	3	9
146	к себе	1	9
147	и следовательно	8	9
148	и это	1	9
149	в других	4	9
150	могут быть	25	9
151	та же	1	9
152	отношения к	3	9
153	оно не	12	9
154	том что	6	9
155	в самой	1	9
156	для него	8	9
157	есть в	1	9
158	жизнь и	1	9
159	и других	5	9
160	одного и	1	9
161	мира в	2	9
162	и к	9	8
163	в результате	4	8
164	в виду	2	8
165	в этих	8	8
166	время как	2	8
167	к тому	3	8
168	но эти	3	8
169	в этот	1	8
170	и т.п	1	8
171	в некоторых	3	8
172	все его	4	8
173	с одной	7	8
174	что и	2	8
175	романе и	2	8
176	характер и	2	8
177	рядом с	7	8
178	в мире	1	8
179	героя и	5	8
180	здесь на	1	8
181	образ человека	1	8
182	в роман	22	8
183	и по	3	8
184	один из	9	8
185	в жизни	1	8
186	со всеми	3	8
187	если бы	1	8
188	связанные с	7	8
189	большинстве случаев	11	8
190	до конца	25	8
191	мы еще	1	8
192	жизни но	2	8
193	и то	2	8
194	значение в	2	8
195	том числе	1	8
196	во всяком	9	8
197	это не	8	8
198	и прежде	1	8
199	а также	5	8
200	на фоне	11	8
201	и потому	9	8
202	отношение к	8	8
203	отношению к	2	8
204	или иной	13	8
205	себе самому	1	8
206	здесь они	1	8
207	в целом	3	8
208	в той	13	7
209	для всех	2	7
210	еще более	7	7
211	не как	4	7
212	этого типа	2	7
213	время это	1	7
214	широком смысле	3	7
215	между собой	3	7
216	связанных с	4	7
217	к ним	2	7
218	в реальном	1	7
219	к этому	3	7
220	из этих	3	7
221	в себе	3	7
222	но он	4	7
223	не знает	3	7
224	в которой	4	7
225	в себя	3	7
226	в форме	3	7
227	с ее	6	7
228	героев и	2	7
229	в процессе	14	7
230	например в	6	7
231	поэтому и	7	7
232	и он	1	7
233	то время	2	7
234	себя и	2	7
235	нет ничего	1	7
236	на античной	3	7
237	было бы	3	7
238	не могло	3	7
239	в отличие	12	7
240	том же	4	7
241	т д	7	7
242	в романах	3	7
243	у них	2	7
244	того что	4	7
245	мир в	1	7
246	этот процесс	1	7
247	этом отношении	2	7
248	отличие от	13	7
249	место в	2	7
250	все что	1	6
251	роман в	4	6
252	именно в	5	6
253	только для	1	6
254	на первый	1	6
255	о том	5	6
256	с помощью	5	6
257	между двумя	1	6
258	в различных	1	6
