N	4gram	Tiupa_Teor	Vvedenie
1	той мере в какой	1	6
2	в той мере в	1	6
3	в то же время	8	6
4	не что иное как	1	5
5	и в самом деле	2	3
6	с одной стороны и	1	3
7	дело в том что	1	3
8	но в то же	2	3
9	есть не что иное	1	3
10	состоит в том что	5	2
11	с этой точки зрения	2	2
12	заключается в том что	1	2
13	одно и то же	2	2
14	по тем или иным	1	2
15	одного и того же	4	2
16	в том или ином	1	2
17	мере в какой их	1	1
18	одном и том же	1	1
19	в этом втором случае	1	1
20	по отношению к нему	1	1
21	в том что он	2	1
22	в одном и том	1	1
23	в связи с этим	1	1
24	бы то ни было	2	1
25	тем не менее не	1	1
26	то что входит в	1	1
27	специфическом значении этого термина	1	1
28	мы имеем в виду	3	1
29	в той или иной	1	1
30	не может быть и	1	1
31	в том что в	1	1
32	какой бы то ни	1	1
33	мы имеем дело с	1	1
34	еще и потому что	1	1
35	точно так же как	1	1
