N	2gram	Medvedev_V	StatiiOP
1	и в	2	103
2	в том	2	89
3	том что	2	77
4	в этом	1	76
5	и не	1	41
6	все это	1	29
7	и его	1	24
8	потому что	1	23
9	только в	1	19
10	в самом	1	17
11	самом деле	1	17
12	по поводу	1	15
13	я не	1	15
14	то же	1	14
15	именно в	1	13
16	в конце	2	13
17	но это	1	13
18	дело в	1	13
19	хотя бы	1	12
20	так как	1	12
21	в другом	1	11
22	ясно что	1	11
23	в частности	1	10
24	к этому	1	8
25	в которых	1	8
26	в их	1	8
27	гораздо более	1	7
28	и то	1	7
29	другое дело	1	7
30	тем более	1	7
31	конце концов	2	7
32	крайней мере	1	6
33	в устах	1	6
34	по крайней	1	6
35	по существу	1	6
36	даже не	1	5
37	стр и	1	5
38	столь же	1	5
39	том же	1	5
40	другом месте	1	5
41	и только	1	5
42	с о	1	4
43	да и	1	4
44	более чем	1	4
45	в значительной	1	4
46	значительной степени	1	4
47	за свою	1	4
48	но разве	1	3
49	все время	1	3
50	не хочу	1	3
51	с большой	1	3
52	то я	1	3
53	так в	1	3
54	не хотел	1	3
55	в книге	3	3
56	этом и	1	3
57	по своим	1	2
58	чего не	1	2
59	а только	1	2
60	значит и	1	2
61	время в	1	2
62	связанным с	1	2
63	хочу сказать	1	2
64	для них	1	2
65	от других	1	2
66	далеко не	1	2
67	ведь это	1	2
68	совершенно ясно	1	2
69	не стоило	1	1
70	ибо никакой	1	1
71	что слово	1	1
72	все дело	1	1
73	заключается что	1	1
74	разве это	1	1
75	что язык	1	1
76	один пример	1	1
77	стоило бы	1	1
78	в одессе	1	1
79	на заре	1	1
80	и стоит	1	1
81	речи и	1	1
82	одно и	1	1
83	бы уже	1	1
84	и обработки	1	1
85	о или	1	1
86	все то	1	1
87	месте по	1	1
88	ни к	1	1
89	аргументацию в	1	1
90	дело именно	1	1
91	связаны и	1	1
92	которые они	1	1
93	не будем	1	1
94	впрочем не	1	1
95	г стр	1	1
96	на одном	1	1
97	и почти	1	1
98	этому и	1	1
99	и т.д	1	1
