N	4gram	Medvedev_V	Freidism
1	в то же время	5	6
2	не может быть и	1	4
3	может быть и речи	1	3
4	но в то же	1	3
5	и не может быть	2	3
6	не чем иным как	1	2
7	нет и не может	1	2
8	с того момента когда	1	1
9	если бы он был	1	1
10	сводящийся к тому что	1	1
11	таково в основных чертах	1	1
12	только с того момента	1	1
13	в этом отношении может	1	1
14	и по отношению к	1	1
15	одно и то же	1	1
16	до сих пор не	1	1
17	но даже и не	1	1
18	говорит о том что	1	1
19	и в то же	3	1
20	не может обойтись без	1	1
21	ответ на этот вопрос	1	1
22	если можно так выразиться	1	1
